Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cooper Kupp (24745137),Cooper Kupp,24745137,WR/FLEX,9700,CAR@LAR 10/16/2022 04:05PM ET,LAR,29.02
WR,Stefon Diggs (24745131),Stefon Diggs,24745131,WR/FLEX,8400,BUF@KC 10/16/2022 04:25PM ET,BUF,25.76
RB,Christian McCaffrey (24745159),Christian McCaffrey,24745159,RB/FLEX,8300,CAR@LAR 10/16/2022 04:05PM ET,CAR,20.24
QB,Josh Allen (24745189),Josh Allen,24745189,QB,8200,BUF@KC 10/16/2022 04:25PM ET,BUF,32.11
QB,Patrick Mahomes (24745183),Patrick Mahomes,24745183,QB,8000,BUF@KC 10/16/2022 04:25PM ET,KC,25.62
TE,Travis Kelce (24745088),Travis Kelce,24745088,TE/FLEX,7800,BUF@KC 10/16/2022 04:25PM ET,KC,22.96
QB,Kyler Murray (24745196),Kyler Murray,24745196,QB,7300,ARI@SEA 10/16/2022 04:05PM ET,ARI,20.99
WR,Marquise Brown (24745268),Marquise Brown,24745268,WR/FLEX,7200,ARI@SEA 10/16/2022 04:05PM ET,ARI,20.14
WR,DK Metcalf (24745261),DK Metcalf,24745261,WR/FLEX,6800,ARI@SEA 10/16/2022 04:05PM ET,SEA,15.64
WR,Gabe Davis (24745276),Gabe Davis,24745276,WR/FLEX,6500,BUF@KC 10/16/2022 04:25PM ET,BUF,15.72
RB,Clyde Edwards-Helaire (24745274),Clyde Edwards-Helaire,24745274,RB/FLEX,6300,BUF@KC 10/16/2022 04:25PM ET,KC,16.4
QB,Matthew Stafford (24745082),Matthew Stafford,24745082,QB,6200,CAR@LAR 10/16/2022 04:05PM ET,LAR,13.38
RB,James Conner (24745145),James Conner,24745145,RB/FLEX,6100,ARI@SEA 10/16/2022 04:05PM ET,ARI,10.06
RB,Devin Singletary (24745239),Devin Singletary,24745239,RB/FLEX,5900,BUF@KC 10/16/2022 04:25PM ET,BUF,10.92
QB,Geno Smith (24745099),Geno Smith,24745099,QB,5700,ARI@SEA 10/16/2022 04:05PM ET,SEA,21.18
WR,Tyler Lockett (24745121),Tyler Lockett,24745121,WR/FLEX,5600,ARI@SEA 10/16/2022 04:05PM ET,SEA,17.92
RB,Kenneth Walker III (24745333),Kenneth Walker III,24745333,RB/FLEX,5400,ARI@SEA 10/16/2022 04:05PM ET,SEA,7
RB,Cam Akers (24745270),Cam Akers,24745270,RB/FLEX,5300,CAR@LAR 10/16/2022 04:05PM ET,LAR,4.78
WR,DeAndre Hopkins (24745109),DeAndre Hopkins,24745109,WR/FLEX,5300,ARI@SEA 10/16/2022 04:05PM ET,ARI,0
RB,Rashaad Penny (24745184),Rashaad Penny,24745184,RB/FLEX,5200,ARI@SEA 10/16/2022 04:05PM ET,SEA,11.04
WR,JuJu Smith-Schuster (24745173),JuJu Smith-Schuster,24745173,WR/FLEX,5200,BUF@KC 10/16/2022 04:25PM ET,KC,9.34
WR,DJ Moore (24745192),DJ Moore,24745192,WR/FLEX,5100,CAR@LAR 10/16/2022 04:05PM ET,CAR,9.32
RB,Darrell Henderson Jr. (24745235),Darrell Henderson Jr.,24745235,RB/FLEX,5100,CAR@LAR 10/16/2022 04:05PM ET,LAR,7.72
QB,Baker Mayfield (24745151),Baker Mayfield,24745151,QB,5000,CAR@LAR 10/16/2022 04:05PM ET,CAR,11.90
QB,Colt McCoy (24745081),Colt McCoy,24745081,QB,5000,ARI@SEA 10/16/2022 04:05PM ET,ARI,0
QB,Drew Lock (24745206),Drew Lock,24745206,QB,5000,ARI@SEA 10/16/2022 04:05PM ET,SEA,0
QB,Chad Henne (24745080),Chad Henne,24745080,QB,5000,BUF@KC 10/16/2022 04:25PM ET,KC,0
WR,Isaiah McKenzie (24745157),Isaiah McKenzie,24745157,WR/FLEX,5000,BUF@KC 10/16/2022 04:25PM ET,BUF,12.22
WR,Allen Robinson II (24745127),Allen Robinson II,24745127,WR/FLEX,4900,CAR@LAR 10/16/2022 04:05PM ET,LAR,5.74
QB,P.J. Walker (24745152),P.J. Walker,24745152,QB,4900,CAR@LAR 10/16/2022 04:05PM ET,CAR,2.4
QB,John Wolford (24745178),John Wolford,24745178,QB,4900,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
TE,Zach Ertz (24745095),Zach Ertz,24745095,TE/FLEX,4900,ARI@SEA 10/16/2022 04:05PM ET,ARI,12.98
RB,Isiah Pacheco (24745313),Isiah Pacheco,24745313,RB/FLEX,4900,BUF@KC 10/16/2022 04:25PM ET,KC,4
QB,Sam Darnold (24745199),Sam Darnold,24745199,QB,4800,CAR@LAR 10/16/2022 04:05PM ET,CAR,0
QB,Case Keenum (24745085),Case Keenum,24745085,QB,4800,BUF@KC 10/16/2022 04:25PM ET,BUF,0.16
RB,Jerick McKinnon (24745111),Jerick McKinnon,24745111,RB/FLEX,4700,BUF@KC 10/16/2022 04:25PM ET,KC,5.94
TE,Tyler Higbee (24745117),Tyler Higbee,24745117,TE/FLEX,4600,CAR@LAR 10/16/2022 04:05PM ET,LAR,12.4
RB,Eno Benjamin (24745264),Eno Benjamin,24745264,RB/FLEX,4600,ARI@SEA 10/16/2022 04:05PM ET,ARI,8.26
RB,DeeJay Dallas (24745272),DeeJay Dallas,24745272,RB/FLEX,4500,ARI@SEA 10/16/2022 04:05PM ET,SEA,1.36
WR,Marquez Valdes-Scantling (24745143),Marquez Valdes-Scantling,24745143,WR/FLEX,4500,BUF@KC 10/16/2022 04:25PM ET,KC,8.9
RB,James Cook (24745331),James Cook,24745331,RB/FLEX,4500,BUF@KC 10/16/2022 04:25PM ET,BUF,4.32
RB,Chuba Hubbard (24745296),Chuba Hubbard,24745296,RB/FLEX,4400,CAR@LAR 10/16/2022 04:05PM ET,CAR,0.36
RB,Travis Homer (24745251),Travis Homer,24745251,RB/FLEX,4300,ARI@SEA 10/16/2022 04:05PM ET,SEA,3.03
RB,Zack Moss (24745228),Zack Moss,24745228,RB/FLEX,4300,BUF@KC 10/16/2022 04:25PM ET,BUF,3.56
WR,Rondale Moore (24745325),Rondale Moore,24745325,WR/FLEX,4200,ARI@SEA 10/16/2022 04:05PM ET,ARI,8.4
DST,Rams  (24745076),Rams ,24745076,DST,4100,CAR@LAR 10/16/2022 04:05PM ET,LAR,5.8
WR,Robbie Anderson (24745125),Robbie Anderson,24745125,WR/FLEX,4100,CAR@LAR 10/16/2022 04:05PM ET,CAR,8.32
WR,Ben Skowronek (24745243),Ben Skowronek,24745243,WR/FLEX,4100,CAR@LAR 10/16/2022 04:05PM ET,LAR,7.22
WR,A.J. Green (24745090),A.J. Green,24745090,WR/FLEX,4100,ARI@SEA 10/16/2022 04:05PM ET,ARI,3.72
RB,Malcolm Brown (24745119),Malcolm Brown,24745119,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
RB,D'Onta Foreman (24745167),D'Onta Foreman,24745167,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,CAR,0.36
QB,Bryce Perkins (24745186),Bryce Perkins,24745186,QB,4000,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
QB,Jacob Eason (24745232),Jacob Eason,24745232,QB,4000,CAR@LAR 10/16/2022 04:05PM ET,CAR,0
RB,Jake Funk (24745233),Jake Funk,24745233,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
RB,Ronnie Rivers (24745278),Ronnie Rivers,24745278,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
RB,John Lovett (24745298),John Lovett,24745298,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,CAR,0
RB,Raheem Blackshear (24745304),Raheem Blackshear,24745304,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,CAR,0
QB,Matt Corral (24745310),Matt Corral,24745310,QB,4000,CAR@LAR 10/16/2022 04:05PM ET,CAR,0
RB,Kyren Williams (24745337),Kyren Williams,24745337,RB/FLEX,4000,CAR@LAR 10/16/2022 04:05PM ET,LAR,0
QB,Sean Mannion (24745106),Sean Mannion,24745106,QB,4000,ARI@SEA 10/16/2022 04:05PM ET,SEA,0
RB,Godwin Igwebuike (24745147),Godwin Igwebuike,24745147,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,SEA,0
RB,Darrel Williams (24745155),Darrel Williams,24745155,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,ARI,3.54
RB,Cullen Gillaspia (24745171),Cullen Gillaspia,24745171,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,SEA,0
QB,Trace McSorley (24745177),Trace McSorley,24745177,QB,4000,ARI@SEA 10/16/2022 04:05PM ET,ARI,2.48
WR,Greg Dortch (24745221),Greg Dortch,24745221,WR/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,ARI,9.48
RB,Jonathan Ward (24745226),Jonathan Ward,24745226,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,ARI,0
RB,Darwin Thompson (24745317),Darwin Thompson,24745317,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,SEA,0
RB,Keaontay Ingram (24745323),Keaontay Ingram,24745323,RB/FLEX,4000,ARI@SEA 10/16/2022 04:05PM ET,ARI,0
RB,Taiwan Jones (24745086),Taiwan Jones,24745086,RB/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,BUF,0
QB,Matt Barkley (24745094),Matt Barkley,24745094,QB,4000,BUF@KC 10/16/2022 04:25PM ET,BUF,0
RB,Michael Burton (24745104),Michael Burton,24745104,RB/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,KC,0.4
RB,Duke Johnson (24745129),Duke Johnson,24745129,RB/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,BUF,0
RB,Ronald Jones II (24745200),Ronald Jones II,24745200,RB/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,KC,0
QB,Shane Buechele (24745223),Shane Buechele,24745223,QB,4000,BUF@KC 10/16/2022 04:25PM ET,KC,0
RB,Reggie Gilliam (24745237),Reggie Gilliam,24745237,RB/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,BUF,2.78
WR,Mecole Hardman (24745247),Mecole Hardman,24745247,WR/FLEX,4000,BUF@KC 10/16/2022 04:25PM ET,KC,6.54
