Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Josh Allen (24379275),Josh Allen,24379275,CPT,19200,BUF@BAL 10/02/2022 01:00PM ET,BUF,32.29
QB,Lamar Jackson (24379276),Lamar Jackson,24379276,CPT,18900,BUF@BAL 10/02/2022 01:00PM ET,BAL,37.75
WR,Stefon Diggs (24379277),Stefon Diggs,24379277,CPT,17100,BUF@BAL 10/02/2022 01:00PM ET,BUF,30.47
TE,Mark Andrews (24379278),Mark Andrews,24379278,CPT,15300,BUF@BAL 10/02/2022 01:00PM ET,BAL,22.6
QB,Josh Allen (24379328),Josh Allen,24379328,FLEX,12800,BUF@BAL 10/02/2022 01:00PM ET,BUF,32.29
QB,Lamar Jackson (24379329),Lamar Jackson,24379329,FLEX,12600,BUF@BAL 10/02/2022 01:00PM ET,BAL,37.75
WR,Gabe Davis (24379279),Gabe Davis,24379279,CPT,12300,BUF@BAL 10/02/2022 01:00PM ET,BUF,12.75
WR,Stefon Diggs (24379330),Stefon Diggs,24379330,FLEX,11400,BUF@BAL 10/02/2022 01:00PM ET,BUF,30.47
RB,Devin Singletary (24379280),Devin Singletary,24379280,CPT,11100,BUF@BAL 10/02/2022 01:00PM ET,BUF,12.13
TE,Mark Andrews (24379331),Mark Andrews,24379331,FLEX,10200,BUF@BAL 10/02/2022 01:00PM ET,BAL,22.6
WR,Rashod Bateman (24379281),Rashod Bateman,24379281,CPT,9900,BUF@BAL 10/02/2022 01:00PM ET,BAL,14.87
WR,Isaiah McKenzie (24379282),Isaiah McKenzie,24379282,CPT,9600,BUF@BAL 10/02/2022 01:00PM ET,BUF,12.27
QB,Case Keenum (24379283),Case Keenum,24379283,CPT,9000,BUF@BAL 10/02/2022 01:00PM ET,BUF,0.2
QB,Anthony Brown (24379284),Anthony Brown,24379284,CPT,9000,BUF@BAL 10/02/2022 01:00PM ET,BAL,0
QB,Matt Barkley (24379285),Matt Barkley,24379285,CPT,9000,BUF@BAL 10/02/2022 01:00PM ET,BUF,0
QB,Tyler Huntley (24379286),Tyler Huntley,24379286,CPT,9000,BUF@BAL 10/02/2022 01:00PM ET,BAL,0
RB,J.K. Dobbins (24379287),J.K. Dobbins,24379287,CPT,8400,BUF@BAL 10/02/2022 01:00PM ET,BAL,6
WR,Gabe Davis (24379332),Gabe Davis,24379332,FLEX,8200,BUF@BAL 10/02/2022 01:00PM ET,BUF,12.75
WR,Devin Duvernay (24379288),Devin Duvernay,24379288,CPT,7800,BUF@BAL 10/02/2022 01:00PM ET,BAL,14.63
