Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Aaron Jones (24125325),Aaron Jones,24125325,CPT,18300,CHI@GB 09/18/2022 08:20PM ET,GB,10.6
QB,Aaron Rodgers (24125326),Aaron Rodgers,24125326,CPT,15900,CHI@GB 09/18/2022 08:20PM ET,GB,5.7000000000000002
QB,Justin Fields (24125327),Justin Fields,24125327,CPT,15300,CHI@GB 09/18/2022 08:20PM ET,CHI,14.640000000000001
WR,Allen Lazard (24125328),Allen Lazard,24125328,CPT,14100,CHI@GB 09/18/2022 08:20PM ET,GB,0
RB,David Montgomery (24125329),David Montgomery,24125329,CPT,13500,CHI@GB 09/18/2022 08:20PM ET,CHI,8
RB,AJ Dillon (24125330),AJ Dillon,24125330,CPT,12600,CHI@GB 09/18/2022 08:20PM ET,GB,20.100000000000001
RB,Aaron Jones (24125379),Aaron Jones,24125379,FLEX,12200,CHI@GB 09/18/2022 08:20PM ET,GB,10.6
WR,Darnell Mooney (24125331),Darnell Mooney,24125331,CPT,11700,CHI@GB 09/18/2022 08:20PM ET,CHI,1.8
WR,Sammy Watkins (24125332),Sammy Watkins,24125332,CPT,10800,CHI@GB 09/18/2022 08:20PM ET,GB,4.7999999999999998
QB,Aaron Rodgers (24125380),Aaron Rodgers,24125380,FLEX,10600,CHI@GB 09/18/2022 08:20PM ET,GB,5.7000000000000002
QB,Justin Fields (24125381),Justin Fields,24125381,FLEX,10200,CHI@GB 09/18/2022 08:20PM ET,CHI,14.640000000000001
TE,Robert Tonyan (24125333),Robert Tonyan,24125333,CPT,10200,CHI@GB 09/18/2022 08:20PM ET,GB,6.5999999999999996
WR,Allen Lazard (24125382),Allen Lazard,24125382,FLEX,9400,CHI@GB 09/18/2022 08:20PM ET,GB,0
RB,David Montgomery (24125383),David Montgomery,24125383,FLEX,9000,CHI@GB 09/18/2022 08:20PM ET,CHI,8
QB,Jordan Love (24125334),Jordan Love,24125334,CPT,9000,CHI@GB 09/18/2022 08:20PM ET,GB,2.6000000000000001
QB,Nathan Peterman (24125335),Nathan Peterman,24125335,CPT,9000,CHI@GB 09/18/2022 08:20PM ET,CHI,0
QB,Danny Etling (24125336),Danny Etling,24125336,CPT,9000,CHI@GB 09/18/2022 08:20PM ET,GB,0
QB,Trevor Siemian (24125337),Trevor Siemian,24125337,CPT,9000,CHI@GB 09/18/2022 08:20PM ET,CHI,0
WR,Equanimeous St. Brown (24125338),Equanimeous St. Brown,24125338,CPT,8700,CHI@GB 09/18/2022 08:20PM ET,CHI,8.8000000000000007
RB,AJ Dillon (24125384),AJ Dillon,24125384,FLEX,8400,CHI@GB 09/18/2022 08:20PM ET,GB,20.100000000000001
WR,Romeo Doubs (24125339),Romeo Doubs,24125339,CPT,8400,CHI@GB 09/18/2022 08:20PM ET,GB,8.8000000000000007
WR,Randall Cobb (24125340),Randall Cobb,24125340,CPT,8100,CHI@GB 09/18/2022 08:20PM ET,GB,3.3999999999999999
WR,Darnell Mooney (24125385),Darnell Mooney,24125385,FLEX,7800,CHI@GB 09/18/2022 08:20PM ET,CHI,1.8
RB,Khalil Herbert (24125341),Khalil Herbert,24125341,CPT,7800,CHI@GB 09/18/2022 08:20PM ET,CHI,11.300000000000001
WR,Byron Pringle (24125342),Byron Pringle,24125342,CPT,7500,CHI@GB 09/18/2022 08:20PM ET,CHI,3.2000000000000002
WR,Sammy Watkins (24125386),Sammy Watkins,24125386,FLEX,7200,CHI@GB 09/18/2022 08:20PM ET,GB,4.7999999999999998
WR,Dante Pettis (24125343),Dante Pettis,24125343,CPT,7200,CHI@GB 09/18/2022 08:20PM ET,CHI,12.1
WR,Christian Watson (24125344),Christian Watson,24125344,CPT,6900,CHI@GB 09/18/2022 08:20PM ET,GB,6.0999999999999996
TE,Robert Tonyan (24125387),Robert Tonyan,24125387,FLEX,6800,CHI@GB 09/18/2022 08:20PM ET,GB,6.5999999999999996
DST,Packers  (24125345),Packers ,24125345,CPT,6600,CHI@GB 09/18/2022 08:20PM ET,GB,1
K,Ramiz Ahmed (24125346),Ramiz Ahmed,24125346,CPT,6300,CHI@GB 09/18/2022 08:20PM ET,GB,0
K,Gabe Brkic (24125347),Gabe Brkic,24125347,CPT,6300,CHI@GB 09/18/2022 08:20PM ET,GB,0
K,Mason Crosby (24125348),Mason Crosby,24125348,CPT,6300,CHI@GB 09/18/2022 08:20PM ET,GB,1
QB,Jordan Love (24125388),Jordan Love,24125388,FLEX,6000,CHI@GB 09/18/2022 08:20PM ET,GB,2.6000000000000001
QB,Nathan Peterman (24125389),Nathan Peterman,24125389,FLEX,6000,CHI@GB 09/18/2022 08:20PM ET,CHI,0
QB,Danny Etling (24125390),Danny Etling,24125390,FLEX,6000,CHI@GB 09/18/2022 08:20PM ET,GB,0
QB,Trevor Siemian (24125391),Trevor Siemian,24125391,FLEX,6000,CHI@GB 09/18/2022 08:20PM ET,CHI,0
K,Cairo Santos (24125349),Cairo Santos,24125349,CPT,6000,CHI@GB 09/18/2022 08:20PM ET,CHI,1
WR,Equanimeous St. Brown (24125392),Equanimeous St. Brown,24125392,FLEX,5800,CHI@GB 09/18/2022 08:20PM ET,CHI,8.8000000000000007
DST,Bears  (24125350),Bears ,24125350,CPT,5700,CHI@GB 09/18/2022 08:20PM ET,CHI,10
WR,Romeo Doubs (24125393),Romeo Doubs,24125393,FLEX,5600,CHI@GB 09/18/2022 08:20PM ET,GB,8.8000000000000007
WR,Randall Cobb (24125394),Randall Cobb,24125394,FLEX,5400,CHI@GB 09/18/2022 08:20PM ET,GB,3.3999999999999999
RB,Khalil Herbert (24125395),Khalil Herbert,24125395,FLEX,5200,CHI@GB 09/18/2022 08:20PM ET,CHI,11.300000000000001
WR,Byron Pringle (24125396),Byron Pringle,24125396,FLEX,5000,CHI@GB 09/18/2022 08:20PM ET,CHI,3.2000000000000002
WR,Dante Pettis (24125397),Dante Pettis,24125397,FLEX,4800,CHI@GB 09/18/2022 08:20PM ET,CHI,12.1
WR,Christian Watson (24125398),Christian Watson,24125398,FLEX,4600,CHI@GB 09/18/2022 08:20PM ET,GB,6.0999999999999996
DST,Packers  (24125399),Packers ,24125399,FLEX,4400,CHI@GB 09/18/2022 08:20PM ET,GB,1
K,Ramiz Ahmed (24125400),Ramiz Ahmed,24125400,FLEX,4200,CHI@GB 09/18/2022 08:20PM ET,GB,0
K,Gabe Brkic (24125401),Gabe Brkic,24125401,FLEX,4200,CHI@GB 09/18/2022 08:20PM ET,GB,0
K,Mason Crosby (24125402),Mason Crosby,24125402,FLEX,4200,CHI@GB 09/18/2022 08:20PM ET,GB,1
TE,Josiah Deguara (24125351),Josiah Deguara,24125351,CPT,4200,CHI@GB 09/18/2022 08:20PM ET,GB,4.7999999999999998
K,Cairo Santos (24125403),Cairo Santos,24125403,FLEX,4000,CHI@GB 09/18/2022 08:20PM ET,CHI,1
DST,Bears  (24125404),Bears ,24125404,FLEX,3800,CHI@GB 09/18/2022 08:20PM ET,CHI,10
TE,Cole Kmet (24125352),Cole Kmet,24125352,CPT,3000,CHI@GB 09/18/2022 08:20PM ET,CHI,0
