Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (24109081),Ja'Marr Chase,24109081,CPT,18300,CIN@DAL 09/18/2022 04:25PM ET,CIN,31.9
RB,Joe Mixon (24109082),Joe Mixon,24109082,CPT,16800,CIN@DAL 09/18/2022 04:25PM ET,CIN,21.5
QB,Joe Burrow (24109083),Joe Burrow,24109083,CPT,15900,CIN@DAL 09/18/2022 04:25PM ET,CIN,26.22
QB,Cooper Rush (24109084),Cooper Rush,24109084,CPT,13200,CIN@DAL 09/18/2022 04:25PM ET,DAL,2.56
WR,Ja'Marr Chase (24109131),Ja'Marr Chase,24109131,FLEX,12200,CIN@DAL 09/18/2022 04:25PM ET,CIN,31.9
WR,CeeDee Lamb (24109085),CeeDee Lamb,24109085,CPT,12000,CIN@DAL 09/18/2022 04:25PM ET,DAL,4.9
WR,Tee Higgins (24109086),Tee Higgins,24109086,CPT,11400,CIN@DAL 09/18/2022 04:25PM ET,CIN,4.7
RB,Joe Mixon (24109132),Joe Mixon,24109132,FLEX,11200,CIN@DAL 09/18/2022 04:25PM ET,CIN,21.5
RB,Ezekiel Elliott (24109087),Ezekiel Elliott,24109087,CPT,11100,CIN@DAL 09/18/2022 04:25PM ET,DAL,5.9
RB,Tony Pollard (24109088),Tony Pollard,24109088,CPT,10800,CIN@DAL 09/18/2022 04:25PM ET,DAL,4.2
QB,Joe Burrow (24109133),Joe Burrow,24109133,FLEX,10600,CIN@DAL 09/18/2022 04:25PM ET,CIN,26.22
TE,Dalton Schultz (24109089),Dalton Schultz,24109089,CPT,10200,CIN@DAL 09/18/2022 04:25PM ET,DAL,13.2
WR,Tyler Boyd (24109090),Tyler Boyd,24109090,CPT,9900,CIN@DAL 09/18/2022 04:25PM ET,CIN,13.3
WR,Michael Gallup (24109091),Michael Gallup,24109091,CPT,9300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
QB,Dak Prescott (24109092),Dak Prescott,24109092,CPT,9000,CIN@DAL 09/18/2022 04:25PM ET,DAL,5.46
QB,Jake Browning (24109093),Jake Browning,24109093,CPT,9000,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
QB,Brandon Allen (24109094),Brandon Allen,24109094,CPT,9000,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
QB,Will Grier (24109095),Will Grier,24109095,CPT,9000,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
QB,Cooper Rush (24109134),Cooper Rush,24109134,FLEX,8800,CIN@DAL 09/18/2022 04:25PM ET,DAL,2.56
DST,Bengals  (24109096),Bengals ,24109096,CPT,8400,CIN@DAL 09/18/2022 04:25PM ET,CIN,2
WR,Noah Brown (24109097),Noah Brown,24109097,CPT,8100,CIN@DAL 09/18/2022 04:25PM ET,DAL,11.8
WR,CeeDee Lamb (24109135),CeeDee Lamb,24109135,FLEX,8000,CIN@DAL 09/18/2022 04:25PM ET,DAL,4.9
WR,Tee Higgins (24109136),Tee Higgins,24109136,FLEX,7600,CIN@DAL 09/18/2022 04:25PM ET,CIN,4.7
RB,Ezekiel Elliott (24109137),Ezekiel Elliott,24109137,FLEX,7400,CIN@DAL 09/18/2022 04:25PM ET,DAL,5.9
RB,Tony Pollard (24109138),Tony Pollard,24109138,FLEX,7200,CIN@DAL 09/18/2022 04:25PM ET,DAL,4.2
TE,Hayden Hurst (24109098),Hayden Hurst,24109098,CPT,7200,CIN@DAL 09/18/2022 04:25PM ET,CIN,9.6
RB,Samaje Perine (24109099),Samaje Perine,24109099,CPT,6900,CIN@DAL 09/18/2022 04:25PM ET,CIN,6.7
TE,Dalton Schultz (24109139),Dalton Schultz,24109139,FLEX,6800,CIN@DAL 09/18/2022 04:25PM ET,DAL,13.2
WR,Tyler Boyd (24109140),Tyler Boyd,24109140,FLEX,6600,CIN@DAL 09/18/2022 04:25PM ET,CIN,13.3
K,Evan McPherson (24109100),Evan McPherson,24109100,CPT,6300,CIN@DAL 09/18/2022 04:25PM ET,CIN,8
WR,Michael Gallup (24109141),Michael Gallup,24109141,FLEX,6200,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
QB,Dak Prescott (24109142),Dak Prescott,24109142,FLEX,6000,CIN@DAL 09/18/2022 04:25PM ET,DAL,5.46
QB,Jake Browning (24109143),Jake Browning,24109143,FLEX,6000,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
QB,Brandon Allen (24109144),Brandon Allen,24109144,FLEX,6000,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
QB,Will Grier (24109145),Will Grier,24109145,FLEX,6000,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
K,Brett Maher (24109101),Brett Maher,24109101,CPT,6000,CIN@DAL 09/18/2022 04:25PM ET,DAL,5
DST,Bengals  (24109146),Bengals ,24109146,FLEX,5600,CIN@DAL 09/18/2022 04:25PM ET,CIN,2
WR,Noah Brown (24109147),Noah Brown,24109147,FLEX,5400,CIN@DAL 09/18/2022 04:25PM ET,DAL,11.8
DST,Cowboys  (24109102),Cowboys ,24109102,CPT,5100,CIN@DAL 09/18/2022 04:25PM ET,DAL,5
TE,Hayden Hurst (24109148),Hayden Hurst,24109148,FLEX,4800,CIN@DAL 09/18/2022 04:25PM ET,CIN,9.6
RB,Samaje Perine (24109149),Samaje Perine,24109149,FLEX,4600,CIN@DAL 09/18/2022 04:25PM ET,CIN,6.7
K,Evan McPherson (24109150),Evan McPherson,24109150,FLEX,4200,CIN@DAL 09/18/2022 04:25PM ET,CIN,8
K,Brett Maher (24109151),Brett Maher,24109151,FLEX,4000,CIN@DAL 09/18/2022 04:25PM ET,DAL,5
WR,Simi Fehoko (24109103),Simi Fehoko,24109103,CPT,3600,CIN@DAL 09/18/2022 04:25PM ET,DAL,3.2
DST,Cowboys  (24109152),Cowboys ,24109152,FLEX,3400,CIN@DAL 09/18/2022 04:25PM ET,DAL,5
WR,Mike Thomas (24109104),Mike Thomas,24109104,CPT,3000,CIN@DAL 09/18/2022 04:25PM ET,CIN,3.5
WR,Simi Fehoko (24109153),Simi Fehoko,24109153,FLEX,2400,CIN@DAL 09/18/2022 04:25PM ET,DAL,3.2
WR,Mike Thomas (24109154),Mike Thomas,24109154,FLEX,2000,CIN@DAL 09/18/2022 04:25PM ET,CIN,3.5
RB,Trayveon Williams (24109105),Trayveon Williams,24109105,CPT,1800,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
WR,Jalen Tolbert (24109106),Jalen Tolbert,24109106,CPT,1500,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
RB,Trayveon Williams (24109155),Trayveon Williams,24109155,FLEX,1200,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
TE,Drew Sample (24109107),Drew Sample,24109107,CPT,1200,CIN@DAL 09/18/2022 04:25PM ET,CIN,1.2
WR,Jalen Tolbert (24109156),Jalen Tolbert,24109156,FLEX,1000,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
TE,Drew Sample (24109157),Drew Sample,24109157,FLEX,800,CIN@DAL 09/18/2022 04:25PM ET,CIN,1.2
WR,Dennis Houston (24109108),Dennis Houston,24109108,CPT,600,CIN@DAL 09/18/2022 04:25PM ET,DAL,3.6
WR,Dennis Houston (24109158),Dennis Houston,24109158,FLEX,400,CIN@DAL 09/18/2022 04:25PM ET,DAL,3.6
RB,Elijah Holyfield (24109109),Elijah Holyfield,24109109,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
RB,Chris Evans (24109110),Chris Evans,24109110,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
TE,Clark Harris (24109111),Clark Harris,24109111,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
WR,Trent Taylor (24109112),Trent Taylor,24109112,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
WR,James Washington (24109113),James Washington,24109113,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
WR,KaVontae Turpin (24109114),KaVontae Turpin,24109114,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
TE,Cal Adomitis (24109115),Cal Adomitis,24109115,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
TE,Peyton Hendershot (24109116),Peyton Hendershot,24109116,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
TE,Ian Bunting (24109117),Ian Bunting,24109117,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
TE,Jake Ferguson (24109118),Jake Ferguson,24109118,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
WR,Stanley Morgan (24109119),Stanley Morgan,24109119,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
WR,Trenton Irwin (24109120),Trenton Irwin,24109120,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
RB,Rico Dowdle (24109121),Rico Dowdle,24109121,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
TE,Nick Bowers (24109122),Nick Bowers,24109122,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,CIN,0
WR,Dontario Drummond (24109123),Dontario Drummond,24109123,CPT,300,CIN@DAL 09/18/2022 04:25PM ET,DAL,0
