Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (24490803),Jonathan Taylor,24490803,CPT,16500,IND@DEN 10/06/2022 08:15PM ET,IND,13.55
WR,Michael Pittman Jr. (24490804),Michael Pittman Jr.,24490804,CPT,15900,IND@DEN 10/06/2022 08:15PM ET,IND,17.13
QB,Russell Wilson (24490805),Russell Wilson,24490805,CPT,15600,IND@DEN 10/06/2022 08:15PM ET,DEN,17.35
QB,Matt Ryan (24490806),Matt Ryan,24490806,CPT,14400,IND@DEN 10/06/2022 08:15PM ET,IND,16.05
WR,Courtland Sutton (24490807),Courtland Sutton,24490807,CPT,14100,IND@DEN 10/06/2022 08:15PM ET,DEN,16.95
RB,Melvin Gordon III (24490808),Melvin Gordon III,24490808,CPT,13200,IND@DEN 10/06/2022 08:15PM ET,DEN,7.7
WR,Jerry Jeudy (24490809),Jerry Jeudy,24490809,CPT,11700,IND@DEN 10/06/2022 08:15PM ET,DEN,11.1
RB,Jonathan Taylor (24490853),Jonathan Taylor,24490853,FLEX,11000,IND@DEN 10/06/2022 08:15PM ET,IND,13.55
WR,Michael Pittman Jr. (24490854),Michael Pittman Jr.,24490854,FLEX,10600,IND@DEN 10/06/2022 08:15PM ET,IND,17.13
QB,Russell Wilson (24490855),Russell Wilson,24490855,FLEX,10400,IND@DEN 10/06/2022 08:15PM ET,DEN,17.35
RB,Nyheim Hines (24490810),Nyheim Hines,24490810,CPT,10200,IND@DEN 10/06/2022 08:15PM ET,IND,7.35
QB,Matt Ryan (24490856),Matt Ryan,24490856,FLEX,9600,IND@DEN 10/06/2022 08:15PM ET,IND,16.05
WR,Courtland Sutton (24490857),Courtland Sutton,24490857,FLEX,9400,IND@DEN 10/06/2022 08:15PM ET,DEN,16.95
RB,Mike Boone (24490811),Mike Boone,24490811,CPT,9300,IND@DEN 10/06/2022 08:15PM ET,DEN,1.28
QB,Nick Foles (24490812),Nick Foles,24490812,CPT,9000,IND@DEN 10/06/2022 08:15PM ET,IND,0
QB,Josh Johnson (24490813),Josh Johnson,24490813,CPT,9000,IND@DEN 10/06/2022 08:15PM ET,DEN,0
QB,Brett Rypien (24490814),Brett Rypien,24490814,CPT,9000,IND@DEN 10/06/2022 08:15PM ET,DEN,0
QB,Sam Ehlinger (24490815),Sam Ehlinger,24490815,CPT,9000,IND@DEN 10/06/2022 08:15PM ET,IND,0
RB,Melvin Gordon III (24490858),Melvin Gordon III,24490858,FLEX,8800,IND@DEN 10/06/2022 08:15PM ET,DEN,7.7
WR,Alec Pierce (24490816),Alec Pierce,24490816,CPT,8100,IND@DEN 10/06/2022 08:15PM ET,IND,7.03
WR,Jerry Jeudy (24490859),Jerry Jeudy,24490859,FLEX,7800,IND@DEN 10/06/2022 08:15PM ET,DEN,11.1
RB,Latavius Murray (24609202),Latavius Murray,24609202,CPT,7800,IND@DEN 10/06/2022 08:15PM ET,DEN,13.5
TE,Mo Alie-Cox (24490817),Mo Alie-Cox,24490817,CPT,7200,IND@DEN 10/06/2022 08:15PM ET,IND,8.72
WR,Ashton Dulin (24490818),Ashton Dulin,24490818,CPT,6900,IND@DEN 10/06/2022 08:15PM ET,IND,6.58
RB,Nyheim Hines (24490860),Nyheim Hines,24490860,FLEX,6800,IND@DEN 10/06/2022 08:15PM ET,IND,7.35
WR,KJ Hamler (24490819),KJ Hamler,24490819,CPT,6600,IND@DEN 10/06/2022 08:15PM ET,DEN,2.17
DST,Broncos  (24490820),Broncos ,24490820,CPT,6300,IND@DEN 10/06/2022 08:15PM ET,DEN,7.5
RB,Mike Boone (24490861),Mike Boone,24490861,FLEX,6200,IND@DEN 10/06/2022 08:15PM ET,DEN,1.28
QB,Nick Foles (24490862),Nick Foles,24490862,FLEX,6000,IND@DEN 10/06/2022 08:15PM ET,IND,0
QB,Josh Johnson (24490863),Josh Johnson,24490863,FLEX,6000,IND@DEN 10/06/2022 08:15PM ET,DEN,0
QB,Brett Rypien (24490864),Brett Rypien,24490864,FLEX,6000,IND@DEN 10/06/2022 08:15PM ET,DEN,0
QB,Sam Ehlinger (24490865),Sam Ehlinger,24490865,FLEX,6000,IND@DEN 10/06/2022 08:15PM ET,IND,0
K,Brandon McManus (24490821),Brandon McManus,24490821,CPT,6000,IND@DEN 10/06/2022 08:15PM ET,DEN,8.25
K,Chase McLaughlin (24490822),Chase McLaughlin,24490822,CPT,5700,IND@DEN 10/06/2022 08:15PM ET,IND,5.33
WR,Alec Pierce (24490866),Alec Pierce,24490866,FLEX,5400,IND@DEN 10/06/2022 08:15PM ET,IND,7.03
WR,Parris Campbell (24490823),Parris Campbell,24490823,CPT,5400,IND@DEN 10/06/2022 08:15PM ET,IND,4.5
RB,Latavius Murray (24609203),Latavius Murray,24609203,FLEX,5200,IND@DEN 10/06/2022 08:15PM ET,DEN,13.5
DST,Colts  (24490824),Colts ,24490824,CPT,5100,IND@DEN 10/06/2022 08:15PM ET,IND,3.75
TE,Mo Alie-Cox (24490867),Mo Alie-Cox,24490867,FLEX,4800,IND@DEN 10/06/2022 08:15PM ET,IND,8.72
TE,Kylen Granson (24490825),Kylen Granson,24490825,CPT,4800,IND@DEN 10/06/2022 08:15PM ET,IND,5.38
WR,Ashton Dulin (24490868),Ashton Dulin,24490868,FLEX,4600,IND@DEN 10/06/2022 08:15PM ET,IND,6.58
WR,KJ Hamler (24490869),KJ Hamler,24490869,FLEX,4400,IND@DEN 10/06/2022 08:15PM ET,DEN,2.17
DST,Broncos  (24490870),Broncos ,24490870,FLEX,4200,IND@DEN 10/06/2022 08:15PM ET,DEN,7.5
TE,Albert Okwuegbunam (24490826),Albert Okwuegbunam,24490826,CPT,4200,IND@DEN 10/06/2022 08:15PM ET,DEN,2.62
K,Brandon McManus (24490871),Brandon McManus,24490871,FLEX,4000,IND@DEN 10/06/2022 08:15PM ET,DEN,8.25
K,Chase McLaughlin (24490872),Chase McLaughlin,24490872,FLEX,3800,IND@DEN 10/06/2022 08:15PM ET,IND,5.33
WR,Parris Campbell (24490873),Parris Campbell,24490873,FLEX,3600,IND@DEN 10/06/2022 08:15PM ET,IND,4.5
DST,Colts  (24490874),Colts ,24490874,FLEX,3400,IND@DEN 10/06/2022 08:15PM ET,IND,3.75
TE,Jelani Woods (24490827),Jelani Woods,24490827,CPT,3300,IND@DEN 10/06/2022 08:15PM ET,IND,4.9
TE,Kylen Granson (24490875),Kylen Granson,24490875,FLEX,3200,IND@DEN 10/06/2022 08:15PM ET,IND,5.38
TE,Albert Okwuegbunam (24490876),Albert Okwuegbunam,24490876,FLEX,2800,IND@DEN 10/06/2022 08:15PM ET,DEN,2.62
RB,Deon Jackson (24490828),Deon Jackson,24490828,CPT,2400,IND@DEN 10/06/2022 08:15PM ET,IND,-0.08
TE,Jelani Woods (24490877),Jelani Woods,24490877,FLEX,2200,IND@DEN 10/06/2022 08:15PM ET,IND,4.9
TE,Eric Saubert (24490829),Eric Saubert,24490829,CPT,1800,IND@DEN 10/06/2022 08:15PM ET,DEN,3.18
RB,Deon Jackson (24490878),Deon Jackson,24490878,FLEX,1600,IND@DEN 10/06/2022 08:15PM ET,IND,-0.08
WR,Kendall Hinton (24490830),Kendall Hinton,24490830,CPT,1500,IND@DEN 10/06/2022 08:15PM ET,DEN,4.2
TE,Eric Saubert (24490879),Eric Saubert,24490879,FLEX,1200,IND@DEN 10/06/2022 08:15PM ET,DEN,3.18
WR,Kendall Hinton (24490880),Kendall Hinton,24490880,FLEX,1000,IND@DEN 10/06/2022 08:15PM ET,DEN,4.2
RB,Phillip Lindsay (24490831),Phillip Lindsay,24490831,CPT,600,IND@DEN 10/06/2022 08:15PM ET,IND,0
RB,Phillip Lindsay (24490881),Phillip Lindsay,24490881,FLEX,400,IND@DEN 10/06/2022 08:15PM ET,IND,0
