Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Patrick Mahomes (24049805),Patrick Mahomes,24049805,CPT,17700,LAC@KC 09/15/2022 08:15PM ET,KC,37.9
QB,Justin Herbert (24049806),Justin Herbert,24049806,CPT,16800,LAC@KC 09/15/2022 08:15PM ET,LAC,23.26
TE,Travis Kelce (24049807),Travis Kelce,24049807,CPT,16500,LAC@KC 09/15/2022 08:15PM ET,KC,29.1
RB,Austin Ekeler (24049808),Austin Ekeler,24049808,CPT,15300,LAC@KC 09/15/2022 08:15PM ET,LAC,11.2
WR,Keenan Allen (24049809),Keenan Allen,24049809,CPT,14400,LAC@KC 09/15/2022 08:15PM ET,LAC,10.6
WR,Mike Williams (24049810),Mike Williams,24049810,CPT,13500,LAC@KC 09/15/2022 08:15PM ET,LAC,3
RB,Clyde Edwards-Helaire (24049811),Clyde Edwards-Helaire,24049811,CPT,12900,LAC@KC 09/15/2022 08:15PM ET,KC,22.4
WR,JuJu Smith-Schuster (24049812),JuJu Smith-Schuster,24049812,CPT,12000,LAC@KC 09/15/2022 08:15PM ET,KC,12.9
QB,Patrick Mahomes (24049857),Patrick Mahomes,24049857,FLEX,11800,LAC@KC 09/15/2022 08:15PM ET,KC,37.9
QB,Justin Herbert (24049858),Justin Herbert,24049858,FLEX,11200,LAC@KC 09/15/2022 08:15PM ET,LAC,23.26
TE,Travis Kelce (24049859),Travis Kelce,24049859,FLEX,11000,LAC@KC 09/15/2022 08:15PM ET,KC,29.1
RB,Austin Ekeler (24049860),Austin Ekeler,24049860,FLEX,10200,LAC@KC 09/15/2022 08:15PM ET,LAC,11.2
WR,Keenan Allen (24049861),Keenan Allen,24049861,FLEX,9600,LAC@KC 09/15/2022 08:15PM ET,LAC,10.6
WR,Marquez Valdes-Scantling (24049813),Marquez Valdes-Scantling,24049813,CPT,9600,LAC@KC 09/15/2022 08:15PM ET,KC,8.1
WR,Mike Williams (24049862),Mike Williams,24049862,FLEX,9000,LAC@KC 09/15/2022 08:15PM ET,LAC,3
QB,Chase Daniel (24049814),Chase Daniel,24049814,CPT,9000,LAC@KC 09/15/2022 08:15PM ET,LAC,0
QB,Easton Stick (24049815),Easton Stick,24049815,CPT,9000,LAC@KC 09/15/2022 08:15PM ET,LAC,0
QB,Chris Oladokun (24049816),Chris Oladokun,24049816,CPT,9000,LAC@KC 09/15/2022 08:15PM ET,KC,0
QB,Shane Buechele (24049817),Shane Buechele,24049817,CPT,9000,LAC@KC 09/15/2022 08:15PM ET,KC,0
QB,Chad Henne (24049818),Chad Henne,24049818,CPT,9000,LAC@KC 09/15/2022 08:15PM ET,KC,0
RB,Clyde Edwards-Helaire (24049863),Clyde Edwards-Helaire,24049863,FLEX,8600,LAC@KC 09/15/2022 08:15PM ET,KC,22.4
WR,Mecole Hardman (24049819),Mecole Hardman,24049819,CPT,8400,LAC@KC 09/15/2022 08:15PM ET,KC,10.6
WR,JuJu Smith-Schuster (24049864),JuJu Smith-Schuster,24049864,FLEX,8000,LAC@KC 09/15/2022 08:15PM ET,KC,12.9
WR,Joshua Palmer (24049820),Joshua Palmer,24049820,CPT,7500,LAC@KC 09/15/2022 08:15PM ET,LAC,3.9
TE,Gerald Everett (24049821),Gerald Everett,24049821,CPT,7200,LAC@KC 09/15/2022 08:15PM ET,LAC,14.4
WR,DeAndre Carter (24049822),DeAndre Carter,24049822,CPT,6900,LAC@KC 09/15/2022 08:15PM ET,LAC,15.4
RB,Isiah Pacheco (24049823),Isiah Pacheco,24049823,CPT,6600,LAC@KC 09/15/2022 08:15PM ET,KC,12.2
WR,Marquez Valdes-Scantling (24049865),Marquez Valdes-Scantling,24049865,FLEX,6400,LAC@KC 09/15/2022 08:15PM ET,KC,8.1
QB,Chase Daniel (24049866),Chase Daniel,24049866,FLEX,6000,LAC@KC 09/15/2022 08:15PM ET,LAC,0
QB,Easton Stick (24049867),Easton Stick,24049867,FLEX,6000,LAC@KC 09/15/2022 08:15PM ET,LAC,0
QB,Chris Oladokun (24049868),Chris Oladokun,24049868,FLEX,6000,LAC@KC 09/15/2022 08:15PM ET,KC,0
QB,Shane Buechele (24049869),Shane Buechele,24049869,FLEX,6000,LAC@KC 09/15/2022 08:15PM ET,KC,0
QB,Chad Henne (24049870),Chad Henne,24049870,FLEX,6000,LAC@KC 09/15/2022 08:15PM ET,KC,0
K,Harrison Butker (24049824),Harrison Butker,24049824,CPT,6000,LAC@KC 09/15/2022 08:15PM ET,KC,9
K,Matt Ammendola (24109423),Matt Ammendola,24109423,CPT,6000,LAC@KC 09/15/2022 08:15PM ET,KC,0
K,Dustin Hopkins (24049825),Dustin Hopkins,24049825,CPT,5700,LAC@KC 09/15/2022 08:15PM ET,LAC,7
WR,Mecole Hardman (24049871),Mecole Hardman,24049871,FLEX,5600,LAC@KC 09/15/2022 08:15PM ET,KC,10.6
DST,Chiefs  (24049826),Chiefs ,24049826,CPT,5400,LAC@KC 09/15/2022 08:15PM ET,KC,3
WR,Joshua Palmer (24049872),Joshua Palmer,24049872,FLEX,5000,LAC@KC 09/15/2022 08:15PM ET,LAC,3.9
TE,Gerald Everett (24049873),Gerald Everett,24049873,FLEX,4800,LAC@KC 09/15/2022 08:15PM ET,LAC,14.4
DST,Chargers  (24049827),Chargers ,24049827,CPT,4800,LAC@KC 09/15/2022 08:15PM ET,LAC,13
WR,DeAndre Carter (24049874),DeAndre Carter,24049874,FLEX,4600,LAC@KC 09/15/2022 08:15PM ET,LAC,15.4
RB,Sony Michel (24049828),Sony Michel,24049828,CPT,4500,LAC@KC 09/15/2022 08:15PM ET,LAC,1.2
RB,Isiah Pacheco (24049875),Isiah Pacheco,24049875,FLEX,4400,LAC@KC 09/15/2022 08:15PM ET,KC,12.2
K,Harrison Butker (24049876),Harrison Butker,24049876,FLEX,4000,LAC@KC 09/15/2022 08:15PM ET,KC,9
K,Matt Ammendola (24109425),Matt Ammendola,24109425,FLEX,4000,LAC@KC 09/15/2022 08:15PM ET,KC,0
RB,Jerick McKinnon (24049829),Jerick McKinnon,24049829,CPT,3900,LAC@KC 09/15/2022 08:15PM ET,KC,7.9
K,Dustin Hopkins (24049877),Dustin Hopkins,24049877,FLEX,3800,LAC@KC 09/15/2022 08:15PM ET,LAC,7
DST,Chiefs  (24049878),Chiefs ,24049878,FLEX,3600,LAC@KC 09/15/2022 08:15PM ET,KC,3
DST,Chargers  (24049879),Chargers ,24049879,FLEX,3200,LAC@KC 09/15/2022 08:15PM ET,LAC,13
RB,Sony Michel (24049880),Sony Michel,24049880,FLEX,3000,LAC@KC 09/15/2022 08:15PM ET,LAC,1.2
WR,Skyy Moore (24049830),Skyy Moore,24049830,CPT,2700,LAC@KC 09/15/2022 08:15PM ET,KC,4
RB,Jerick McKinnon (24049881),Jerick McKinnon,24049881,FLEX,2600,LAC@KC 09/15/2022 08:15PM ET,KC,7.9
RB,Joshua Kelley (24049831),Joshua Kelley,24049831,CPT,2400,LAC@KC 09/15/2022 08:15PM ET,LAC,5.5
WR,Skyy Moore (24049882),Skyy Moore,24049882,FLEX,1800,LAC@KC 09/15/2022 08:15PM ET,KC,4
WR,Jalen Guyton (24049832),Jalen Guyton,24049832,CPT,1800,LAC@KC 09/15/2022 08:15PM ET,LAC,0
RB,Joshua Kelley (24049883),Joshua Kelley,24049883,FLEX,1600,LAC@KC 09/15/2022 08:15PM ET,LAC,5.5
RB,Ronald Jones II (24049833),Ronald Jones II,24049833,CPT,1500,LAC@KC 09/15/2022 08:15PM ET,KC,0
WR,Jalen Guyton (24049884),Jalen Guyton,24049884,FLEX,1200,LAC@KC 09/15/2022 08:15PM ET,LAC,0
RB,Zander Horvath (24049834),Zander Horvath,24049834,CPT,1200,LAC@KC 09/15/2022 08:15PM ET,LAC,8.8
RB,Ronald Jones II (24049885),Ronald Jones II,24049885,FLEX,1000,LAC@KC 09/15/2022 08:15PM ET,KC,0
TE,Jody Fortson (24049835),Jody Fortson,24049835,CPT,900,LAC@KC 09/15/2022 08:15PM ET,KC,7.1
RB,Zander Horvath (24049886),Zander Horvath,24049886,FLEX,800,LAC@KC 09/15/2022 08:15PM ET,LAC,8.8
