Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Chris Godwin (25668751),Chris Godwin,25668751,CPT,15900,NO@TB 12/05/2022 08:15PM ET,TB,14.89
QB,Tom Brady (25668752),Tom Brady,25668752,CPT,15600,NO@TB 12/05/2022 08:15PM ET,TB,16.77
RB,Alvin Kamara (25668753),Alvin Kamara,25668753,CPT,15000,NO@TB 12/05/2022 08:15PM ET,NO,16.06
WR,Mike Evans (25668754),Mike Evans,25668754,CPT,14400,NO@TB 12/05/2022 08:15PM ET,TB,14.52
QB,Andy Dalton (25668755),Andy Dalton,25668755,CPT,13500,NO@TB 12/05/2022 08:15PM ET,NO,15.47
QB,Jameis Winston (25668756),Jameis Winston,25668756,CPT,13500,NO@TB 12/05/2022 08:15PM ET,NO,17.31
WR,Chris Olave (25668757),Chris Olave,25668757,CPT,12600,NO@TB 12/05/2022 08:15PM ET,NO,15.11
RB,Leonard Fournette (25668758),Leonard Fournette,25668758,CPT,11100,NO@TB 12/05/2022 08:15PM ET,TB,15.87
WR,Chris Godwin (25668805),Chris Godwin,25668805,FLEX,10600,NO@TB 12/05/2022 08:15PM ET,TB,14.89
RB,Rachaad White (25668759),Rachaad White,25668759,CPT,10500,NO@TB 12/05/2022 08:15PM ET,TB,7.6
QB,Tom Brady (25668806),Tom Brady,25668806,FLEX,10400,NO@TB 12/05/2022 08:15PM ET,TB,16.77
RB,Alvin Kamara (25668807),Alvin Kamara,25668807,FLEX,10000,NO@TB 12/05/2022 08:15PM ET,NO,16.06
WR,Mike Evans (25668808),Mike Evans,25668808,FLEX,9600,NO@TB 12/05/2022 08:15PM ET,TB,14.52
QB,Taysom Hill (25668760),Taysom Hill,25668760,CPT,9600,NO@TB 12/05/2022 08:15PM ET,NO,8.78
QB,Andy Dalton (25668809),Andy Dalton,25668809,FLEX,9000,NO@TB 12/05/2022 08:15PM ET,NO,15.47
QB,Jameis Winston (25668810),Jameis Winston,25668810,FLEX,9000,NO@TB 12/05/2022 08:15PM ET,NO,17.31
QB,Ryan Griffin (25668761),Ryan Griffin,25668761,CPT,9000,NO@TB 12/05/2022 08:15PM ET,TB,0
QB,Jake Luton (25668762),Jake Luton,25668762,CPT,9000,NO@TB 12/05/2022 08:15PM ET,NO,0
QB,Kyle Trask (25668763),Kyle Trask,25668763,CPT,9000,NO@TB 12/05/2022 08:15PM ET,TB,0
QB,Blaine Gabbert (25668764),Blaine Gabbert,25668764,CPT,9000,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Chris Olave (25668811),Chris Olave,25668811,FLEX,8400,NO@TB 12/05/2022 08:15PM ET,NO,15.11
WR,Julio Jones (25668765),Julio Jones,25668765,CPT,8100,NO@TB 12/05/2022 08:15PM ET,TB,8.5
WR,Jarvis Landry (25668766),Jarvis Landry,25668766,CPT,7800,NO@TB 12/05/2022 08:15PM ET,NO,8.54
TE,Juwan Johnson (25668767),Juwan Johnson,25668767,CPT,7500,NO@TB 12/05/2022 08:15PM ET,NO,7.99
RB,Leonard Fournette (25668812),Leonard Fournette,25668812,FLEX,7400,NO@TB 12/05/2022 08:15PM ET,TB,15.87
DST,Buccaneers  (25668768),Buccaneers ,25668768,CPT,7200,NO@TB 12/05/2022 08:15PM ET,TB,7.36
RB,Rachaad White (25668813),Rachaad White,25668813,FLEX,7000,NO@TB 12/05/2022 08:15PM ET,TB,7.6
WR,Russell Gage (25668769),Russell Gage,25668769,CPT,6900,NO@TB 12/05/2022 08:15PM ET,TB,8.44
RB,Mark Ingram II (25668770),Mark Ingram II,25668770,CPT,6600,NO@TB 12/05/2022 08:15PM ET,NO,4.69
QB,Taysom Hill (25668814),Taysom Hill,25668814,FLEX,6400,NO@TB 12/05/2022 08:15PM ET,NO,8.78
DST,Saints  (25668771),Saints ,25668771,CPT,6300,NO@TB 12/05/2022 08:15PM ET,NO,5.25
QB,Ryan Griffin (25668815),Ryan Griffin,25668815,FLEX,6000,NO@TB 12/05/2022 08:15PM ET,TB,0
QB,Jake Luton (25668816),Jake Luton,25668816,FLEX,6000,NO@TB 12/05/2022 08:15PM ET,NO,0
QB,Kyle Trask (25668817),Kyle Trask,25668817,FLEX,6000,NO@TB 12/05/2022 08:15PM ET,TB,0
QB,Blaine Gabbert (25668818),Blaine Gabbert,25668818,FLEX,6000,NO@TB 12/05/2022 08:15PM ET,TB,0
K,Ryan Succop (25668772),Ryan Succop,25668772,CPT,6000,NO@TB 12/05/2022 08:15PM ET,TB,8.82
K,Wil Lutz (25668773),Wil Lutz,25668773,CPT,5700,NO@TB 12/05/2022 08:15PM ET,NO,7.08
WR,Julio Jones (25668819),Julio Jones,25668819,FLEX,5400,NO@TB 12/05/2022 08:15PM ET,TB,8.5
WR,Jarvis Landry (25668820),Jarvis Landry,25668820,FLEX,5200,NO@TB 12/05/2022 08:15PM ET,NO,8.54
TE,Juwan Johnson (25668821),Juwan Johnson,25668821,FLEX,5000,NO@TB 12/05/2022 08:15PM ET,NO,7.99
DST,Buccaneers  (25668822),Buccaneers ,25668822,FLEX,4800,NO@TB 12/05/2022 08:15PM ET,TB,7.36
WR,Russell Gage (25668823),Russell Gage,25668823,FLEX,4600,NO@TB 12/05/2022 08:15PM ET,TB,8.44
TE,Cameron Brate (25668774),Cameron Brate,25668774,CPT,4500,NO@TB 12/05/2022 08:15PM ET,TB,4.24
RB,Mark Ingram II (25668824),Mark Ingram II,25668824,FLEX,4400,NO@TB 12/05/2022 08:15PM ET,NO,4.69
DST,Saints  (25668825),Saints ,25668825,FLEX,4200,NO@TB 12/05/2022 08:15PM ET,NO,5.25
K,Ryan Succop (25668826),Ryan Succop,25668826,FLEX,4000,NO@TB 12/05/2022 08:15PM ET,TB,8.82
WR,Tre'Quan Smith (25668775),Tre'Quan Smith,25668775,CPT,3900,NO@TB 12/05/2022 08:15PM ET,NO,5.42
K,Wil Lutz (25668827),Wil Lutz,25668827,FLEX,3800,NO@TB 12/05/2022 08:15PM ET,NO,7.08
TE,Cameron Brate (25668828),Cameron Brate,25668828,FLEX,3000,NO@TB 12/05/2022 08:15PM ET,TB,4.24
TE,Cade Otton (25668776),Cade Otton,25668776,CPT,2700,NO@TB 12/05/2022 08:15PM ET,TB,6.01
WR,Tre'Quan Smith (25668829),Tre'Quan Smith,25668829,FLEX,2600,NO@TB 12/05/2022 08:15PM ET,NO,5.42
WR,Rashid Shaheed (25668777),Rashid Shaheed,25668777,CPT,2100,NO@TB 12/05/2022 08:15PM ET,NO,5.91
TE,Cade Otton (25668830),Cade Otton,25668830,FLEX,1800,NO@TB 12/05/2022 08:15PM ET,TB,6.01
TE,Adam Trautman (25668778),Adam Trautman,25668778,CPT,1800,NO@TB 12/05/2022 08:15PM ET,NO,3.45
WR,Rashid Shaheed (25668831),Rashid Shaheed,25668831,FLEX,1400,NO@TB 12/05/2022 08:15PM ET,NO,5.91
TE,Adam Trautman (25668832),Adam Trautman,25668832,FLEX,1200,NO@TB 12/05/2022 08:15PM ET,NO,3.45
WR,Marquez Callaway (25668779),Marquez Callaway,25668779,CPT,1200,NO@TB 12/05/2022 08:15PM ET,NO,3.78
WR,Scotty Miller (25668780),Scotty Miller,25668780,CPT,900,NO@TB 12/05/2022 08:15PM ET,TB,4.31
WR,Marquez Callaway (25668833),Marquez Callaway,25668833,FLEX,800,NO@TB 12/05/2022 08:15PM ET,NO,3.78
WR,Scotty Miller (25668834),Scotty Miller,25668834,FLEX,600,NO@TB 12/05/2022 08:15PM ET,TB,4.31
TE,Ko Kieft (25668781),Ko Kieft,25668781,CPT,600,NO@TB 12/05/2022 08:15PM ET,TB,1.52
TE,Ko Kieft (25668835),Ko Kieft,25668835,FLEX,400,NO@TB 12/05/2022 08:15PM ET,TB,1.52
WR,Kevin White (25668782),Kevin White,25668782,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,1.34
WR,Breshad Perriman (25668783),Breshad Perriman,25668783,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,2.49
WR,Keith Kirkwood (25668784),Keith Kirkwood,25668784,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,1.9
RB,David Johnson (25668785),David Johnson,25668785,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,1.7
TE,Kyle Rudolph (25668786),Kyle Rudolph,25668786,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0.8
RB,Ke'Shawn Vaughn (25668787),Ke'Shawn Vaughn,25668787,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0.47
RB,Dwayne Washington (25668788),Dwayne Washington,25668788,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0.5
WR,Jaelon Darden (25668789),Jaelon Darden,25668789,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0.44
RB,Adam Prentice (25668790),Adam Prentice,25668790,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0.2
RB,Patrick Laird (25668791),Patrick Laird,25668791,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Kirk Merritt (25668792),Kirk Merritt,25668792,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,Zach Wood (25668793),Zach Wood,25668793,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,Lucas Krull (25668794),Lucas Krull,25668794,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,J.P. Holtz (25668795),J.P. Holtz,25668795,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
RB,Derrick Gore (25668796),Derrick Gore,25668796,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
WR,Tyler Johnson (25668797),Tyler Johnson,25668797,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
TE,David Wells (25668798),David Wells,25668798,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Deven Thompkins (25668799),Deven Thompkins,25668799,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Kaylon Geiger Sr. (25668800),Kaylon Geiger Sr.,25668800,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
RB,Giovani Bernard (25668801),Giovani Bernard,25668801,CPT,300,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Michael Thomas (25668802),Michael Thomas,25668802,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,17.03
WR,Deonte Harty (25668803),Deonte Harty,25668803,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0.58
TE,Dylan Soehner (25668804),Dylan Soehner,25668804,CPT,300,NO@TB 12/05/2022 08:15PM ET,NO,0
WR,Kevin White (25668836),Kevin White,25668836,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,1.34
WR,Breshad Perriman (25668837),Breshad Perriman,25668837,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,2.49
WR,Keith Kirkwood (25668838),Keith Kirkwood,25668838,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,1.9
RB,David Johnson (25668839),David Johnson,25668839,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,1.7
TE,Kyle Rudolph (25668840),Kyle Rudolph,25668840,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0.8
RB,Ke'Shawn Vaughn (25668841),Ke'Shawn Vaughn,25668841,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0.47
RB,Dwayne Washington (25668842),Dwayne Washington,25668842,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0.5
WR,Jaelon Darden (25668843),Jaelon Darden,25668843,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0.44
RB,Adam Prentice (25668844),Adam Prentice,25668844,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0.2
RB,Patrick Laird (25668845),Patrick Laird,25668845,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Kirk Merritt (25668846),Kirk Merritt,25668846,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,Zach Wood (25668847),Zach Wood,25668847,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,Lucas Krull (25668848),Lucas Krull,25668848,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
TE,J.P. Holtz (25668849),J.P. Holtz,25668849,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
RB,Derrick Gore (25668850),Derrick Gore,25668850,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
WR,Tyler Johnson (25668851),Tyler Johnson,25668851,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
TE,David Wells (25668852),David Wells,25668852,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Deven Thompkins (25668853),Deven Thompkins,25668853,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Kaylon Geiger Sr. (25668854),Kaylon Geiger Sr.,25668854,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
RB,Giovani Bernard (25668855),Giovani Bernard,25668855,FLEX,200,NO@TB 12/05/2022 08:15PM ET,TB,0
WR,Michael Thomas (25668856),Michael Thomas,25668856,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,17.03
WR,Deonte Harty (25668857),Deonte Harty,25668857,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0.58
TE,Dylan Soehner (25668858),Dylan Soehner,25668858,FLEX,200,NO@TB 12/05/2022 08:15PM ET,NO,0
