Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Nick Chubb (24201918),Nick Chubb,24201918,CPT,18000,PIT@CLE 09/22/2022 08:15PM ET,CLE,25.3
RB,Najee Harris (24201919),Najee Harris,24201919,CPT,14700,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.25
WR,Amari Cooper (24201920),Amari Cooper,24201920,CPT,14100,PIT@CLE 09/22/2022 08:15PM ET,CLE,16.4
WR,Diontae Johnson (24201921),Diontae Johnson,24201921,CPT,13800,PIT@CLE 09/22/2022 08:15PM ET,PIT,13.1
QB,Jacoby Brissett (24201922),Jacoby Brissett,24201922,CPT,13200,PIT@CLE 09/22/2022 08:15PM ET,CLE,13.67
QB,Mitch Trubisky (24201923),Mitch Trubisky,24201923,CPT,12900,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.54
RB,Nick Chubb (24201971),Nick Chubb,24201971,FLEX,12000,PIT@CLE 09/22/2022 08:15PM ET,CLE,25.3
RB,Kareem Hunt (24201924),Kareem Hunt,24201924,CPT,11400,PIT@CLE 09/22/2022 08:15PM ET,CLE,16.2
TE,Pat Freiermuth (24201925),Pat Freiermuth,24201925,CPT,10500,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.35
RB,Najee Harris (24201972),Najee Harris,24201972,FLEX,9800,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.25
WR,Amari Cooper (24201973),Amari Cooper,24201973,FLEX,9400,PIT@CLE 09/22/2022 08:15PM ET,CLE,16.4
WR,Chase Claypool (24201926),Chase Claypool,24201926,CPT,9300,PIT@CLE 09/22/2022 08:15PM ET,PIT,8
WR,Diontae Johnson (24201974),Diontae Johnson,24201974,FLEX,9200,PIT@CLE 09/22/2022 08:15PM ET,PIT,13.1
QB,Deshaun Watson (24201927),Deshaun Watson,24201927,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Kenny Pickett (24201928),Kenny Pickett,24201928,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
QB,Joshua Dobbs (24201929),Joshua Dobbs,24201929,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Josh Rosen (24201930),Josh Rosen,24201930,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Kellen Mond (24201931),Kellen Mond,24201931,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Mason Rudolph (24201932),Mason Rudolph,24201932,CPT,9000,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
QB,Jacoby Brissett (24201975),Jacoby Brissett,24201975,FLEX,8800,PIT@CLE 09/22/2022 08:15PM ET,CLE,13.67
QB,Mitch Trubisky (24201976),Mitch Trubisky,24201976,FLEX,8600,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.54
WR,Donovan Peoples-Jones (24201933),Donovan Peoples-Jones,24201933,CPT,8100,PIT@CLE 09/22/2022 08:15PM ET,CLE,6
TE,David Njoku (24201934),David Njoku,24201934,CPT,7800,PIT@CLE 09/22/2022 08:15PM ET,CLE,3.95
RB,Kareem Hunt (24201977),Kareem Hunt,24201977,FLEX,7600,PIT@CLE 09/22/2022 08:15PM ET,CLE,16.2
WR,George Pickens (24201935),George Pickens,24201935,CPT,7200,PIT@CLE 09/22/2022 08:15PM ET,PIT,2.3
TE,Pat Freiermuth (24201978),Pat Freiermuth,24201978,FLEX,7000,PIT@CLE 09/22/2022 08:15PM ET,PIT,12.35
TE,Harrison Bryant (24201936),Harrison Bryant,24201936,CPT,6900,PIT@CLE 09/22/2022 08:15PM ET,CLE,5.65
DST,Steelers  (24201937),Steelers ,24201937,CPT,6600,PIT@CLE 09/22/2022 08:15PM ET,PIT,14.5
K,Cade York (24201938),Cade York,24201938,CPT,6300,PIT@CLE 09/22/2022 08:15PM ET,CLE,11
WR,Chase Claypool (24201979),Chase Claypool,24201979,FLEX,6200,PIT@CLE 09/22/2022 08:15PM ET,PIT,8
QB,Deshaun Watson (24201980),Deshaun Watson,24201980,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Kenny Pickett (24201981),Kenny Pickett,24201981,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
QB,Joshua Dobbs (24201982),Joshua Dobbs,24201982,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Josh Rosen (24201983),Josh Rosen,24201983,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Kellen Mond (24201984),Kellen Mond,24201984,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
QB,Mason Rudolph (24201985),Mason Rudolph,24201985,FLEX,6000,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
K,Chris Boswell (24201939),Chris Boswell,24201939,CPT,6000,PIT@CLE 09/22/2022 08:15PM ET,PIT,11
DST,Browns  (24201940),Browns ,24201940,CPT,5700,PIT@CLE 09/22/2022 08:15PM ET,CLE,4.5
WR,Donovan Peoples-Jones (24201986),Donovan Peoples-Jones,24201986,FLEX,5400,PIT@CLE 09/22/2022 08:15PM ET,CLE,6
TE,David Njoku (24201987),David Njoku,24201987,FLEX,5200,PIT@CLE 09/22/2022 08:15PM ET,CLE,3.95
WR,George Pickens (24201988),George Pickens,24201988,FLEX,4800,PIT@CLE 09/22/2022 08:15PM ET,PIT,2.3
RB,Jaylen Warren (24201941),Jaylen Warren,24201941,CPT,4800,PIT@CLE 09/22/2022 08:15PM ET,PIT,1.6
TE,Harrison Bryant (24201989),Harrison Bryant,24201989,FLEX,4600,PIT@CLE 09/22/2022 08:15PM ET,CLE,5.65
TE,Zach Gentry (24201942),Zach Gentry,24201942,CPT,4500,PIT@CLE 09/22/2022 08:15PM ET,PIT,3
DST,Steelers  (24201990),Steelers ,24201990,FLEX,4400,PIT@CLE 09/22/2022 08:15PM ET,PIT,14.5
K,Cade York (24201991),Cade York,24201991,FLEX,4200,PIT@CLE 09/22/2022 08:15PM ET,CLE,11
WR,Anthony Schwartz (24201943),Anthony Schwartz,24201943,CPT,4200,PIT@CLE 09/22/2022 08:15PM ET,CLE,2.45
K,Chris Boswell (24201992),Chris Boswell,24201992,FLEX,4000,PIT@CLE 09/22/2022 08:15PM ET,PIT,11
DST,Browns  (24201993),Browns ,24201993,FLEX,3800,PIT@CLE 09/22/2022 08:15PM ET,CLE,4.5
RB,Benny Snell Jr. (24201944),Benny Snell Jr.,24201944,CPT,3300,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
RB,Jaylen Warren (24201994),Jaylen Warren,24201994,FLEX,3200,PIT@CLE 09/22/2022 08:15PM ET,PIT,1.6
TE,Zach Gentry (24201995),Zach Gentry,24201995,FLEX,3000,PIT@CLE 09/22/2022 08:15PM ET,PIT,3
WR,Anthony Schwartz (24201996),Anthony Schwartz,24201996,FLEX,2800,PIT@CLE 09/22/2022 08:15PM ET,CLE,2.45
RB,Benny Snell Jr. (24201997),Benny Snell Jr.,24201997,FLEX,2200,PIT@CLE 09/22/2022 08:15PM ET,PIT,0
WR,David Bell (24201945),David Bell,24201945,CPT,2100,PIT@CLE 09/22/2022 08:15PM ET,CLE,0.8
RB,Derek Watt (24201946),Derek Watt,24201946,CPT,1500,PIT@CLE 09/22/2022 08:15PM ET,PIT,0.1
WR,David Bell (24201998),David Bell,24201998,FLEX,1400,PIT@CLE 09/22/2022 08:15PM ET,CLE,0.8
WR,Gunner Olszewski (24201947),Gunner Olszewski,24201947,CPT,1200,PIT@CLE 09/22/2022 08:15PM ET,PIT,0.4
RB,Derek Watt (24201999),Derek Watt,24201999,FLEX,1000,PIT@CLE 09/22/2022 08:15PM ET,PIT,0.1
WR,Gunner Olszewski (24202000),Gunner Olszewski,24202000,FLEX,800,PIT@CLE 09/22/2022 08:15PM ET,PIT,0.4
RB,Demetric Felton (24201948),Demetric Felton,24201948,CPT,600,PIT@CLE 09/22/2022 08:15PM ET,CLE,0.45
RB,Demetric Felton (24202001),Demetric Felton,24202001,FLEX,400,PIT@CLE 09/22/2022 08:15PM ET,CLE,0.45
RB,Jerome Ford (24201949),Jerome Ford,24201949,CPT,300,PIT@CLE 09/22/2022 08:15PM ET,CLE,0
