Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (25552615),Jonathan Taylor,25552615,CPT,17100,PIT@IND 11/28/2022 08:15PM ET,IND,15.12
WR,Michael Pittman Jr. (25552616),Michael Pittman Jr.,25552616,CPT,15300,PIT@IND 11/28/2022 08:15PM ET,IND,14.58
QB,Kenny Pickett (25552617),Kenny Pickett,25552617,CPT,14700,PIT@IND 11/28/2022 08:15PM ET,PIT,13.91
QB,Matt Ryan (25552618),Matt Ryan,25552618,CPT,14400,PIT@IND 11/28/2022 08:15PM ET,IND,16.19
RB,Najee Harris (25552619),Najee Harris,25552619,CPT,14100,PIT@IND 11/28/2022 08:15PM ET,PIT,12.60
RB,Jonathan Taylor (25552668),Jonathan Taylor,25552668,FLEX,11400,PIT@IND 11/28/2022 08:15PM ET,IND,15.12
WR,Diontae Johnson (25552620),Diontae Johnson,25552620,CPT,11400,PIT@IND 11/28/2022 08:15PM ET,PIT,10.09
WR,George Pickens (25552621),George Pickens,25552621,CPT,11100,PIT@IND 11/28/2022 08:15PM ET,PIT,10.17
WR,Michael Pittman Jr. (25552669),Michael Pittman Jr.,25552669,FLEX,10200,PIT@IND 11/28/2022 08:15PM ET,IND,14.58
WR,Parris Campbell (25552622),Parris Campbell,25552622,CPT,10200,PIT@IND 11/28/2022 08:15PM ET,IND,9.9
QB,Kenny Pickett (25552670),Kenny Pickett,25552670,FLEX,9800,PIT@IND 11/28/2022 08:15PM ET,PIT,13.91
QB,Matt Ryan (25552671),Matt Ryan,25552671,FLEX,9600,PIT@IND 11/28/2022 08:15PM ET,IND,16.19
TE,Pat Freiermuth (25552623),Pat Freiermuth,25552623,CPT,9600,PIT@IND 11/28/2022 08:15PM ET,PIT,10.91
RB,Najee Harris (25552672),Najee Harris,25552672,FLEX,9400,PIT@IND 11/28/2022 08:15PM ET,PIT,12.60
QB,Mitch Trubisky (25552624),Mitch Trubisky,25552624,CPT,9000,PIT@IND 11/28/2022 08:15PM ET,PIT,10.56
QB,Sam Ehlinger (25552625),Sam Ehlinger,25552625,CPT,9000,PIT@IND 11/28/2022 08:15PM ET,IND,7.78
QB,Mason Rudolph (25552626),Mason Rudolph,25552626,CPT,9000,PIT@IND 11/28/2022 08:15PM ET,PIT,0
QB,Nick Foles (25552627),Nick Foles,25552627,CPT,9000,PIT@IND 11/28/2022 08:15PM ET,IND,0
WR,Alec Pierce (25552628),Alec Pierce,25552628,CPT,7800,PIT@IND 11/28/2022 08:15PM ET,IND,7.64
WR,Diontae Johnson (25552673),Diontae Johnson,25552673,FLEX,7600,PIT@IND 11/28/2022 08:15PM ET,PIT,10.09
RB,Deon Jackson (25552629),Deon Jackson,25552629,CPT,7500,PIT@IND 11/28/2022 08:15PM ET,IND,5.14
WR,George Pickens (25552674),George Pickens,25552674,FLEX,7400,PIT@IND 11/28/2022 08:15PM ET,PIT,10.17
TE,Kylen Granson (25552630),Kylen Granson,25552630,CPT,7200,PIT@IND 11/28/2022 08:15PM ET,IND,4.54
DST,Colts  (25552631),Colts ,25552631,CPT,6900,PIT@IND 11/28/2022 08:15PM ET,IND,6
WR,Parris Campbell (25552675),Parris Campbell,25552675,FLEX,6800,PIT@IND 11/28/2022 08:15PM ET,IND,9.9
DST,Steelers  (25552632),Steelers ,25552632,CPT,6600,PIT@IND 11/28/2022 08:15PM ET,PIT,5.3
TE,Pat Freiermuth (25552676),Pat Freiermuth,25552676,FLEX,6400,PIT@IND 11/28/2022 08:15PM ET,PIT,10.91
K,Chase McLaughlin (25552633),Chase McLaughlin,25552633,CPT,6300,PIT@IND 11/28/2022 08:15PM ET,IND,8.4
QB,Mitch Trubisky (25552677),Mitch Trubisky,25552677,FLEX,6000,PIT@IND 11/28/2022 08:15PM ET,PIT,10.56
QB,Sam Ehlinger (25552678),Sam Ehlinger,25552678,FLEX,6000,PIT@IND 11/28/2022 08:15PM ET,IND,7.78
QB,Mason Rudolph (25552679),Mason Rudolph,25552679,FLEX,6000,PIT@IND 11/28/2022 08:15PM ET,PIT,0
QB,Nick Foles (25552680),Nick Foles,25552680,FLEX,6000,PIT@IND 11/28/2022 08:15PM ET,IND,0
K,Chris Boswell (25552634),Chris Boswell,25552634,CPT,6000,PIT@IND 11/28/2022 08:15PM ET,PIT,8.14
K,Matthew Wright (25552635),Matthew Wright,25552635,CPT,6000,PIT@IND 11/28/2022 08:15PM ET,PIT,10.25
TE,Mo Alie-Cox (25552636),Mo Alie-Cox,25552636,CPT,5400,PIT@IND 11/28/2022 08:15PM ET,IND,3.84
WR,Alec Pierce (25552681),Alec Pierce,25552681,FLEX,5200,PIT@IND 11/28/2022 08:15PM ET,IND,7.64
RB,Deon Jackson (25552682),Deon Jackson,25552682,FLEX,5000,PIT@IND 11/28/2022 08:15PM ET,IND,5.14
TE,Kylen Granson (25552683),Kylen Granson,25552683,FLEX,4800,PIT@IND 11/28/2022 08:15PM ET,IND,4.54
RB,Jaylen Warren (25552637),Jaylen Warren,25552637,CPT,4800,PIT@IND 11/28/2022 08:15PM ET,PIT,4.87
DST,Colts  (25552684),Colts ,25552684,FLEX,4600,PIT@IND 11/28/2022 08:15PM ET,IND,6
DST,Steelers  (25552685),Steelers ,25552685,FLEX,4400,PIT@IND 11/28/2022 08:15PM ET,PIT,5.3
K,Chase McLaughlin (25552686),Chase McLaughlin,25552686,FLEX,4200,PIT@IND 11/28/2022 08:15PM ET,IND,8.4
K,Chris Boswell (25552687),Chris Boswell,25552687,FLEX,4000,PIT@IND 11/28/2022 08:15PM ET,PIT,8.14
K,Matthew Wright (25552688),Matthew Wright,25552688,FLEX,4000,PIT@IND 11/28/2022 08:15PM ET,PIT,10.25
TE,Mo Alie-Cox (25552689),Mo Alie-Cox,25552689,FLEX,3600,PIT@IND 11/28/2022 08:15PM ET,IND,3.84
TE,Zach Gentry (25552638),Zach Gentry,25552638,CPT,3300,PIT@IND 11/28/2022 08:15PM ET,PIT,2.4
RB,Jaylen Warren (25552690),Jaylen Warren,25552690,FLEX,3200,PIT@IND 11/28/2022 08:15PM ET,PIT,4.87
TE,Zach Gentry (25552691),Zach Gentry,25552691,FLEX,2200,PIT@IND 11/28/2022 08:15PM ET,PIT,2.4
TE,Jelani Woods (25552639),Jelani Woods,25552639,CPT,2100,PIT@IND 11/28/2022 08:15PM ET,IND,3.66
RB,Zack Moss (25552640),Zack Moss,25552640,CPT,1500,PIT@IND 11/28/2022 08:15PM ET,IND,2.7
TE,Jelani Woods (25552692),Jelani Woods,25552692,FLEX,1400,PIT@IND 11/28/2022 08:15PM ET,IND,3.66
RB,Zack Moss (25552693),Zack Moss,25552693,FLEX,1000,PIT@IND 11/28/2022 08:15PM ET,IND,2.7
RB,Derek Watt (25552641),Derek Watt,25552641,CPT,900,PIT@IND 11/28/2022 08:15PM ET,PIT,1.04
RB,Derek Watt (25552694),Derek Watt,25552694,FLEX,600,PIT@IND 11/28/2022 08:15PM ET,PIT,1.04
WR,Ashton Dulin (25552642),Ashton Dulin,25552642,CPT,600,PIT@IND 11/28/2022 08:15PM ET,IND,4.16
WR,Ashton Dulin (25552695),Ashton Dulin,25552695,FLEX,400,PIT@IND 11/28/2022 08:15PM ET,IND,4.16
WR,Dezmon Patmon (25552643),Dezmon Patmon,25552643,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,4.4
RB,Jordan Wilkins (25552644),Jordan Wilkins,25552644,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,4.3
TE,Connor Heyward (25552645),Connor Heyward,25552645,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,1.46
WR,Steven Sims Jr. (25552646),Steven Sims Jr.,25552646,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,1.18
WR,Mike Strachan (25552647),Mike Strachan,25552647,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,0.99
WR,Gunner Olszewski (25552648),Gunner Olszewski,25552648,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0.9
WR,Keke Coutee (25552649),Keke Coutee,25552649,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,0.33
WR,Miles Boykin (25552650),Miles Boykin,25552650,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0.21
RB,Anthony McFarland Jr. (25552651),Anthony McFarland Jr.,25552651,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
WR,Cody White (25552652),Cody White,25552652,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
TE,Rodney Williams II (25552653),Rodney Williams II,25552653,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
WR,Ja'Marcus Bradley (25552654),Ja'Marcus Bradley,25552654,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
RB,Master Teague III (25552655),Master Teague III,25552655,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
TE,Nikola Kalinic (25552656),Nikola Kalinic,25552656,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,0
RB,Jake Funk (25552657),Jake Funk,25552657,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,0
WR,Josh Malone (25552658),Josh Malone,25552658,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
WR,Ethan Fernea (25552659),Ethan Fernea,25552659,CPT,300,PIT@IND 11/28/2022 08:15PM ET,IND,0
RB,Jason Huntley (25552660),Jason Huntley,25552660,CPT,300,PIT@IND 11/28/2022 08:15PM ET,PIT,0
