Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
80468-89675,RB,Jonathan,Jonathan Taylor,Taylor,25.5,1,10000,IND@JAC,IND,JAC,,,,,,RB/FLEX
80468-79970,WR,Cooper,Cooper Kupp,Kupp,25.299999237060547,1,9700,ATL@LAR,LAR,ATL,,,,,,WR/FLEX
80468-55050,RB,Christian,Christian McCaffrey,McCaffrey,13.699999809265137,1,9000,CAR@NYG,CAR,NYG,,,,,,RB/FLEX
80468-45889,WR,Davante,Davante Adams,Adams,25.100000381469727,1,8800,ARI@LV,LV,ARI,,,,,,WR/FLEX
80468-64401,RB,Saquon,Saquon Barkley,Barkley,30.399999618530273,1,8800,CAR@NYG,NYG,CAR,,,,,,RB/FLEX
80468-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,23.899999618530273,1,8700,CIN@DAL,CIN,DAL,,,,,,WR/FLEX
80468-53562,RB,Nick,Nick Chubb,Chubb,14.800000190734863,1,8500,NYJ@CLE,CLE,NYJ,,,,,,RB/FLEX
80468-63484,QB,Kyler,Kyler Murray,Murray,20.6200008392334,1,8500,ARI@LV,ARI,LV,,,,,,QB
80468-52442,RB,Joe,Joe Mixon,Mixon,18,1,8300,CIN@DAL,CIN,DAL,,,,,,RB/FLEX
80468-32384,WR,Mike,Mike Evans,Evans,15.600000381469727,1,8300,TB@NO,TB,NO,Q,Calf,,,,WR/FLEX
80468-91598,RB,D'Andre,D'Andre Swift,Swift,25,1,8200,WAS@DET,DET,WAS,Q,Ankle,,,,RB/FLEX
80468-63115,QB,Lamar,Lamar Jackson,Jackson,21.219999313354492,1,8200,MIA@BAL,BAL,MIA,,,,,,QB
80468-6498,QB,Tom,Tom Brady,Brady,11.380000114440918,1,8000,TB@NO,TB,NO,,,,,,QB
80468-53681,WR,Tyreek,Tyreek Hill,Hill,14,1,8000,MIA@BAL,MIA,BAL,,,,,,WR/FLEX
80468-56018,WR,Deebo,Deebo Samuel,Samuel,11.600000381469727,1,8000,SEA@SF,SF,SEA,,,,,,WR/FLEX
80468-63336,QB,Joe,Joe Burrow,Burrow,22.219999313354492,1,7900,CIN@DAL,CIN,DAL,,,,,,QB
80468-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,22.600000381469727,1,7800,IND@JAC,IND,JAC,O,Quadriceps,,,,WR/FLEX
80468-52922,RB,Leonard,Leonard Fournette,Fournette,14.699999809265137,1,7800,TB@NO,TB,NO,Q,Hamstring,,,,RB/FLEX
80468-86631,WR,CeeDee,CeeDee Lamb,Lamb,3.9000000953674316,1,7700,CIN@DAL,DAL,CIN,,,,,,WR/FLEX
80468-31716,QB,Dak,Dak Prescott,Prescott,5.460000038146973,1,7700,CIN@DAL,DAL,CIN,O,Thumb,,,,QB
80468-6654,QB,Matthew,Matthew Stafford,Stafford,10.800000190734863,1,7600,ATL@LAR,LAR,ATL,,,,,,QB
80468-40687,RB,James,James Conner,Conner,14,1,7600,ARI@LV,ARI,LV,,,,,,RB/FLEX
80468-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,21.100000381469727,1,7500,ATL@LAR,ATL,LAR,,,,,,RB/FLEX
80468-149696,QB,Trey,Trey Lance,Lance,10.960000038146973,1,7500,SEA@SF,SF,SEA,,,,,,QB
80468-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,14.799999660915798,18,7500,SEA@SF,SF,SEA,,,,,,QB
80468-22015,QB,Russell,Russell Wilson,Wilson,17.799999237060547,1,7500,HOU@DEN,DEN,HOU,,,,,,QB
80468-86687,WR,Marquise,Marquise Brown,Brown,12.300000190734863,1,7400,ARI@LV,ARI,LV,,,,,,WR/FLEX
80468-70324,QB,Carson,Carson Wentz,Wentz,29.719999313354492,1,7400,WAS@DET,WAS,DET,,,,,,QB
80468-90933,RB,Antonio,Antonio Gibson,Gibson,16.5,1,7400,WAS@DET,WAS,DET,,,,,,RB/FLEX
80468-52436,TE,Mark,Mark Andrews,Andrews,7.699999809265137,1,7400,MIA@BAL,BAL,MIA,,,,,,TE/FLEX
80468-29358,QB,Marcus,Marcus Mariota,Mariota,19.799999237060547,1,7300,ATL@LAR,ATL,LAR,,,,,,QB
80468-45859,QB,Derek,Derek Carr,Carr,16.799999237060547,1,7300,ARI@LV,LV,ARI,,,,,,QB
80468-56250,WR,Terry,Terry McLaurin,McLaurin,12.800000190734863,1,7300,WAS@DET,WAS,DET,,,,,,WR/FLEX
80468-93541,RB,Javonte,Javonte Williams,Williams,14.300000190734863,1,7300,HOU@DEN,DEN,HOU,,,,,,RB/FLEX
80468-24849,QB,Jameis,Jameis Winston,Winston,21.65999984741211,1,7200,TB@NO,NO,TB,Q,Back,,,,QB
80468-90573,WR,Jaylen,Jaylen Waddle,Waddle,15.699999809265137,1,7200,MIA@BAL,MIA,BAL,,,,,,WR/FLEX
80468-90575,RB,Najee,Najee Harris,Harris,9.600000381469727,1,7200,NE@PIT,PIT,NE,,,,,,RB/FLEX
80468-42104,RB,Alvin,Alvin Kamara,Kamara,6.099999904632568,1,7200,TB@NO,NO,TB,Q,Ribs,,,,RB/FLEX
80468-63519,QB,Daniel,Daniel Jones,Jones,17.020000457763672,1,7100,CAR@NYG,NYG,CAR,,,,,,QB
80468-66008,WR,Diontae,Diontae Johnson,Johnson,9,1,7100,NE@PIT,PIT,NE,,,,,,WR/FLEX
80468-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,5.400000095367432,1,7100,CIN@DAL,DAL,CIN,,,,,,RB/FLEX
80468-45229,RB,Kareem,Kareem Hunt,Hunt,21,1,7000,NYJ@CLE,CLE,NYJ,,,,,,RB/FLEX
80468-55635,WR,Chris,Chris Godwin,Godwin,5,1,7000,TB@NO,TB,NO,O,Hamstring,,,,WR/FLEX
80468-41535,QB,Baker,Baker Mayfield,Mayfield,19,1,7000,CAR@NYG,CAR,NYG,,,,,,QB
80468-89981,WR,Tee,Tee Higgins,Higgins,3.700000047683716,1,7000,CIN@DAL,CIN,DAL,Q,Concussion,,,,WR/FLEX
80468-28573,WR,Michael,Michael Thomas,Thomas,20.200000762939453,1,7000,TB@NO,NO,TB,,,,,,WR/FLEX
80468-92413,RB,Elijah,Elijah Mitchell,Mitchell,4.099999904632568,1,6900,SEA@SF,SF,SEA,IR,Knee - mcl,,,,RB/FLEX
80468-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.399999618530273,1,6900,WAS@DET,DET,WAS,,,,,,WR/FLEX
80468-89951,QB,Trevor,Trevor Lawrence,Lawrence,14.399999618530273,1,6900,IND@JAC,JAC,IND,,,,,,QB
80468-57403,WR,Courtland,Courtland Sutton,Sutton,9.199999809265137,1,6800,HOU@DEN,DEN,HOU,,,,,,WR/FLEX
80468-25011,TE,Darren,Darren Waller,Waller,9.899999618530273,1,6800,ARI@LV,LV,ARI,,,,,,TE/FLEX
80468-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,14.800000190734863,1,6800,MIA@BAL,MIA,BAL,,,,,,QB
80468-6616,QB,Matt,Matt Ryan,Ryan,16.280000686645508,1,6800,IND@JAC,IND,JAC,,,,,,QB
80468-130288,RB,James,James Robinson,Robinson,19.399999618530273,1,6800,IND@JAC,JAC,IND,,,,,,RB/FLEX
80468-73048,WR,DK,DK Metcalf,Metcalf,5.099999904632568,1,6800,SEA@SF,SEA,SF,,,,,,WR/FLEX
80468-29501,WR,Brandin,Brandin Cooks,Cooks,11.699999809265137,1,6700,HOU@DEN,HOU,DEN,,,,,,WR/FLEX
