Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81676-79970,WR,Cooper,Cooper Kupp,Kupp,21.519999694824218,5,9400,CAR@LAR,LAR,CAR,Q,Foot,,,,WR/FLEX
81676-62239,QB,Josh,Josh Allen,Allen,30.107998657226563,5,9200,BUF@KC,BUF,KC,,,,,,QB
81676-25079,WR,Stefon,Stefon Diggs,Diggs,20.060000610351562,5,8900,BUF@KC,BUF,KC,,,,,,WR/FLEX
81676-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.439999389648438,5,8700,CAR@LAR,CAR,LAR,,,,,,RB/FLEX
81676-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.024000549316405,5,8600,BUF@KC,KC,BUF,,,,,,QB
81676-33076,TE,Travis,Travis Kelce,Kelce,19.060000610351562,5,8300,BUF@KC,KC,BUF,,,,,,TE/FLEX
81676-63484,QB,Kyler,Kyler Murray,Murray,20.38800048828125,5,8300,ARI@SEA,ARI,SEA,,,,,,QB
81676-86687,WR,Marquise,Marquise Brown,Brown,15.739999389648437,5,8200,ARI@SEA,ARI,SEA,,,,,,WR/FLEX
81676-27050,WR,Tyler,Tyler Lockett,Lockett,13.319999694824219,5,7500,ARI@SEA,SEA,ARI,,,,,,WR/FLEX
81676-73048,WR,DK,DK Metcalf,Metcalf,11.84000015258789,5,7400,ARI@SEA,SEA,ARI,,,,,,WR/FLEX
81676-26483,QB,Geno,Geno Smith,Smith,19.980000305175782,5,7400,ARI@SEA,SEA,ARI,,,,,,QB
81676-6654,QB,Matthew,Matthew Stafford,Stafford,12.183999633789062,5,7200,CAR@LAR,LAR,CAR,,,,,,QB
81676-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,14.8,5,7000,BUF@KC,KC,BUF,,,,,,RB/FLEX
81676-40687,RB,James,James Conner,Conner,8.65999984741211,5,6900,ARI@SEA,ARI,SEA,O,Ribs,,,,RB/FLEX
81676-94534,WR,Gabe,Gabe Davis,Davis,13.600000381469727,4,6900,BUF@KC,BUF,KC,,,,,,WR/FLEX
81676-103342,RB,Kenneth,Kenneth Walker III,Walker III,6.25,4,6500,ARI@SEA,SEA,ARI,,,,,,RB/FLEX
81676-41535,QB,Baker,Baker Mayfield,Mayfield,11.695999908447266,5,6400,CAR@LAR,CAR,LAR,D,Ankle,,,,QB
