Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81852-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.024000549316405,5,17000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-62239,QB,Josh,Josh Allen,Allen,30.107998657226563,5,16500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-33076,TE,Travis,Travis Kelce,Kelce,19.060000610351562,5,15000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-25079,WR,Stefon,Stefon Diggs,Diggs,20.060000610351562,5,14500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,14.8,5,13500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-94534,WR,Gabe,Gabe Davis,Davis,13.600000381469727,4,12500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-70603,RB,Devin,Devin Singletary,Singletary,8.919999694824218,5,12000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,6.94000015258789,5,10500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,10.350000381469727,4,10000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-41642,K,Harrison,Harrison Butker,Butker,9,1,9500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-57330,K,Matthew,Matthew Wright,Wright,10,2,9500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
81852-64585,TE,Dawson,Dawson Knox,Knox,4.275000095367432,4,9000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81852-65128,K,Tyler,Tyler Bass,Bass,8.8,5,9000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
