Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
80866-62239,QB,Josh,Josh Allen,Allen,31.579999923706055,2,17500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-53681,WR,Tyreek,Tyreek Hill,Hill,25.25,2,16000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-25079,WR,Stefon,Stefon Diggs,Diggs,30.5,2,15500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-90573,WR,Jaylen,Jaylen Waddle,Waddle,25.149999618530273,2,15000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,27.829999923706055,2,14500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-94534,WR,Gabe,Gabe Davis,Davis,16.799999237060547,1,12500,BUF@MIA,BUF,MIA,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
80866-70603,RB,Devin,Devin Singletary,Singletary,5.150000095367432,2,11000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-83081,RB,Chase,Chase Edmonds,Edmonds,6.550000190734863,2,10500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-28744,RB,Raheem,Raheem Mostert,Mostert,6.550000190734863,2,10000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-65128,K,Tyler,Tyler Bass,Bass,10,2,9500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-52767,K,Jason,Jason Sanders,Sanders,8,2,9000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-12526,D,Buffalo,Buffalo Bills,Bills,18.5,2,9000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-64585,TE,Dawson,Dawson Knox,Knox,3.549999952316284,2,8500,BUF@MIA,BUF,MIA,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
80866-12539,D,Miami,Miami Dolphins,Dolphins,8.5,2,8500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,6.800000190734863,2,8000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-70027,RB,Zack,Zack Moss,Moss,3.1500000953674316,2,8000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-24755,WR,Jamison,Jamison Crowder,Crowder,3.200000047683716,2,7500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
80866-56265,TE,Mike,Mike Gesicki,Gesicki,6.349999904632568,2,7500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80866-69581,WR,Cedrick,Cedrick Wilson Jr.,Wilson Jr.,1.899999976158142,2,7000,BUF@MIA,MIA,BUF,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
80866-91626,RB,James,James Cook,Cook,1.75,2,7000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
