Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81580-57439,QB,Patrick,Patrick Mahomes,Mahomes,23.65999984741211,4,17500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-45859,QB,Derek,Derek Carr,Carr,17.030000686645508,4,15000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-45889,WR,Davante,Davante Adams,Adams,15,4,14500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-33076,TE,Travis,Travis Kelce,Kelce,16.325000762939453,4,13500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,17.25,4,12500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-72731,RB,Josh,Josh Jacobs,Jacobs,15.149999618530273,4,12000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-25011,TE,Darren,Darren Waller,Waller,7.875,4,10500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,7.474999904632568,4,10000,LV@KC,KC,LV,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
81580-41642,K,Harrison,Harrison Butker,Butker,9,1,9500,LV@KC,KC,LV,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
81580-57330,K,Matthew,Matthew Wright,Wright,12,1,9500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.25,4,9500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-40856,K,Daniel,Daniel Carlson,Carlson,11.5,4,9000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-12537,D,Las Vegas,Las Vegas Raiders,Raiders,4.25,4,9000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-57986,WR,Hunter,Hunter Renfrow,Renfrow,5.5,2,8500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,5.75,4,8000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-25267,WR,Mack,Mack Hollins,Hollins,10.489999771118164,4,7500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-71352,WR,Mecole,Mecole Hardman,Hardman,4.175000190734863,4,7500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-92575,RB,Isiah,Isiah Pacheco,Pacheco,5,4,7000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-104447,TE,Jody,Jody Fortson,Fortson,4.700000127156575,3,7000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-54608,RB,Jerick,Jerick McKinnon,McKinnon,4.375,4,6500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-22898,RB,Brandon,Brandon Bolden,Bolden,4.433333396911621,3,6500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-91578,RB,Zamir,Zamir White,White,1.2999999523162842,2,6000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-112062,WR,Skyy,Skyy Moore,Moore,1.399999976158142,4,6000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-27229,RB,Ameer,Ameer Abdullah,Abdullah,0.699999988079071,4,6000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-83083,WR,Justin,Justin Watson,Watson,3,4,5500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-60712,TE,Foster,Foster Moreau,Moreau,5.199999809265137,2,5500,LV@KC,LV,KC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
81580-93143,TE,Noah,Noah Gray,Gray,3.2249999046325684,4,5500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-104421,TE,Jesper,Jesper Horsted,Horsted,5.033333460489909,3,5500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-79998,WR,Keelan,Keelan Cole,Cole,0.8500000238418579,2,5500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-170113,TE,Kehinde,Kehinde Oginni Hassan,Oginni Hassan,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-70023,WR,Cornell,Cornell Powell,Powell,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-27403,TE,Blake,Blake Bell,Bell,1.25,12,5000,LV@KC,KC,LV,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
81580-45964,WR,Marcus,Marcus Kemp,Kemp,0.6800000190734863,5,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-101007,TE,Mark,Mark Vital,Vital,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-83086,WR,Daurice,Daurice Fountain,Fountain,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-130320,WR,Aaron,Aaron Parker,Parker,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-60947,QB,Jarrett,Jarrett Stidham,Stidham,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-70043,TE,Cole,Cole Fotheringham,Fotheringham,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-68890,WR,Devin,Devin Gray,Gray,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-69150,WR,Jordan,Jordan Veasy,Veasy,0,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-90398,TE,Matt,Matt Bushman,Bushman,,,5000,LV@KC,KC,LV,Q,Collarbone,,,,MVP - 1.5X Points/AnyFLEX
81580-60705,WR,Tyron,Tyron Johnson,Johnson,0,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-71459,RB,Brittain,Brittain Brown,Brown,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-7844,QB,Chad,Chad Henne,Henne,0,1,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-89127,WR,Justin,Justin Hall,Hall,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-62891,WR,Omar,Omar Bayless,Bayless,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-95026,QB,Dustin,Dustin Crum,Crum,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-73398,QB,Chris,Chris Oladokun,Oladokun,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-52409,RB,Jakob,Jakob Johnson,Johnson,0.6000000238418579,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-63550,WR,Isaiah,Isaiah Zuber,Zuber,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-64575,RB,Derrick,Derrick Gore,Gore,5.822222391764323,9,5000,LV@KC,KC,LV,Q,Thumb,,,,MVP - 1.5X Points/AnyFLEX
81580-69056,WR,Mathew,Mathew Sexton,Sexton,,,5000,LV@KC,KC,LV,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
81580-55750,WR,Chris,Chris Lacy,Lacy,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-69833,QB,Shane,Shane Buechele,Buechele,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-26057,RB,Michael,Michael Burton,Burton,0.75,2,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-91468,QB,Chase,Chase Garbers,Garbers,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-63061,WR,Gary,Gary Jennings,Jennings,,,5000,LV@KC,KC,LV,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
81580-112601,TE,Travis,Travis Koontz,Koontz,,,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-112088,RB,Jerrion,Jerrion Ealy,Ealy,,,5000,LV@KC,KC,LV,O,Suspension,,,,MVP - 1.5X Points/AnyFLEX
81580-42077,TE,James,James Winchester,Winchester,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-57565,RB,Austin,Austin Walter,Walter,4.5,4,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
81580-71519,WR,Dillon,Dillon Stoner,Stoner,,,5000,LV@KC,LV,KC,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
81580-63591,RB,Ronald,Ronald Jones II,Jones II,4.946666463216146,15,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-57325,TE,Jordan,Jordan Franks,Franks,,,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
81580-89964,WR,Justyn,Justyn Ross,Ross,,,5000,LV@KC,KC,LV,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
81580-71662,WR,DJ,DJ Turner,Turner,,,5000,LV@KC,LV,KC,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
