Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81071-63336,QB,Joe,Joe Burrow,Burrow,20.593332926432293,3,15500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,22.366666158040363,3,15000,MIA@CIN,MIA,CIN,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
81071-53681,WR,Tyreek,Tyreek Hill,Hill,18.266666412353516,3,14000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,13.966667175292969,3,13500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-90573,WR,Jaylen,Jaylen Waddle,Waddle,21.133333841959637,3,13500,MIA@CIN,MIA,CIN,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
81071-52442,RB,Joe,Joe Mixon,Mixon,11.033332824707031,3,12000,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-89981,WR,Tee,Tee Higgins,Higgins,10.533333460489908,3,11500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-83081,RB,Chase,Chase Edmonds,Edmonds,9.433333079020182,3,10500,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-40669,WR,Tyler,Tyler Boyd,Boyd,11.5,3,10000,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0,1,10000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-52767,K,Jason,Jason Sanders,Sanders,6.333333333333333,3,9500,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-86092,K,Evan,Evan McPherson,McPherson,10.333333333333334,3,9500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-52451,RB,Samaje,Samaje Perine,Perine,6.599999745686849,3,9000,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-12539,D,Miami,Miami Dolphins,Dolphins,8.666666666666666,3,9000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-12528,D,Cincinnati,Cincinnati Bengals,Bengals,7.333333333333333,3,8500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-28744,RB,Raheem,Raheem Mostert,Mostert,4.733333269755046,3,8000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-55694,WR,Mike,Mike Thomas,Thomas,3,1,7500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-56265,TE,Mike,Mike Gesicki,Gesicki,4.600000063578288,3,7500,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-41997,WR,River,River Cracraft,Cracraft,7.150000095367432,2,7000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-64031,TE,Hayden,Hayden Hurst,Hurst,4.399999936421712,3,7000,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-73130,RB,Chris,Chris Evans,Evans,0.8999999761581421,1,6500,MIA@CIN,CIN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
81071-56059,WR,Trent,Trent Sherfield,Sherfield,1.3999999364217122,3,6500,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-42046,TE,Durham,Durham Smythe,Smythe,2.2333332697550454,3,6000,MIA@CIN,MIA,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
81071-69581,WR,Cedrick,Cedrick Wilson Jr.,Wilson Jr.,1.899999976158142,2,6000,MIA@CIN,MIA,CIN,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
