Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81563-64401,RB,Saquon,Saquon Barkley,Barkley,19.625,4,16000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-6894,QB,Aaron,Aaron Rodgers,Rodgers,13.824999809265137,4,15500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-63519,QB,Daniel,Daniel Jones,Jones,16.635000228881836,4,14500,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-40442,RB,Aaron,Aaron Jones,Jones,14.199999809265137,4,14000,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-93107,RB,AJ,AJ Dillon,Dillon,9.625,4,12500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-94370,WR,Romeo,Romeo Doubs,Doubs,9.75,4,12000,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-53498,WR,Richie,Richie James Jr.,James Jr.,5.400000095367432,4,11000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-56809,WR,Allen,Allen Lazard,Lazard,11.800000508626303,3,10500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-14377,QB,Tyrod,Tyrod Taylor,Taylor,2.440000057220459,1,10000,NYG@GB,NYG,GB,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
81563-12533,D,Green Bay,Green Bay Packers,Packers,7,4,9500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-10744,K,Graham,Graham Gano,Gano,10.75,4,9000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-12543,D,New York,New York Giants,Giants,6.75,4,9000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-14257,WR,Randall,Randall Cobb,Cobb,5,4,8500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-6897,K,Mason,Mason Crosby,Crosby,5.5,4,8500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-80353,TE,Robert,Robert Tonyan,Tonyan,5.775000095367432,4,8000,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-61555,WR,David,David Sills V,Sills V,3.066666603088379,3,8000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-169776,WR,Christian,Christian Watson,Watson,5.433333079020183,3,7500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
81563-63819,WR,Darius,Darius Slayton,Slayton,1.600000023841858,1,7500,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-24641,WR,Sammy,Sammy Watkins,Watkins,7.050000190734863,2,7000,NYG@GB,GB,NYG,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
81563-90307,TE,Daniel,Daniel Bellinger,Bellinger,5.966666539510091,3,7000,NYG@GB,NYG,GB,,,,,,MVP - 1.5X Points/AnyFLEX
81563-86052,WR,Kadarius,Kadarius Toney,Toney,1.649999976158142,2,6500,NYG@GB,NYG,GB,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
81563-72627,RB,Patrick,Patrick Taylor,Taylor,4.050000190734863,4,6500,NYG@GB,GB,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
