Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
80799-53562,RB,Nick,Nick Chubb,Chubb,22.799999237060547,2,16000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-38628,QB,Mitch,Mitch Trubisky,Trubisky,12.539999961853027,2,14500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-30231,QB,Jacoby,Jacoby Brissett,Brissett,13.670000076293945,2,14000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-90575,RB,Najee,Najee Harris,Harris,10.5,2,13500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-45229,RB,Kareem,Kareem Hunt,Hunt,14.699999809265137,2,13000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-31001,WR,Amari,Amari Cooper,Cooper,11.899999618530273,2,12500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-66008,WR,Diontae,Diontae Johnson,Johnson,9.850000381469727,2,12000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-86244,TE,Pat,Pat Freiermuth,Freiermuth,10.100000381469727,2,10500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-73111,WR,Chase,Chase Claypool,Claypool,6,2,10000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-92020,QB,Kenny,Kenny Pickett,Pickett,,,10000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-32058,K,Chris,Chris Boswell,Boswell,11,2,9500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,14.5,2,9000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-12529,D,Cleveland,Cleveland Browns,Browns,4.5,2,9000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,4.5,2,8500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-102901,K,Cade,Cade York,York,11,2,8500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-70601,TE,Harrison,Harrison Bryant,Bryant,4.400000095367432,2,8000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-55335,TE,David,David Njoku,Njoku,2.950000047683716,2,7500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-110246,WR,George,George Pickens,Pickens,1.7999999523162842,2,7500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-112057,RB,Jaylen,Jaylen Warren,Warren,1.350000023841858,2,7000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-70889,RB,Benny,Benny Snell Jr.,Snell Jr.,1.1571429116385323,14,6500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-114180,WR,David,David Bell,Bell,1.100000023841858,1,6000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-88277,RB,Anthony,Anthony McFarland Jr.,McFarland Jr.,0.949999988079071,2,6000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-104577,WR,Gunner,Gunner Olszewski,Olszewski,-0.10000000149011612,2,5500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-70282,WR,Demetric,Demetric Felton,Felton,0.20000000298023224,2,5500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-90533,RB,Jerome,Jerome Ford,Ford,0,2,5500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-64949,WR,Ja'Marcus,Ja'Marcus Bradley,Bradley,2.7999998728434243,3,5500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-93824,WR,Easop,Easop Winston,Winston,0.3333333333333333,3,5000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-56580,WR,Christian,Christian Blake,Blake,0.6428571428571429,7,5000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-87813,RB,Master,Master Teague III,Teague III,,,5000,PIT@CLE,PIT,CLE,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
80799-70662,WR,Tyler,Tyler Vaughns,Vaughns,,,5000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-89997,WR,Michael,Michael Woods II,Woods II,,,5000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-69516,TE,Miller,Miller Forristall,Forristall,,,5000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-170252,QB,Felix,Felix Harper,Harper,,,5000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
80799-26384,RB,Trey,Trey Edmunds,Edmunds,,,5000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-62994,WR,Steven,Steven Sims Jr.,Sims Jr.,,,5000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
80799-28694,TE,Jesse,Jesse James,James,3.924999952316284,4,5000,PIT@CLE,CLE,PIT,IR,Biceps,,,,MVP - 1.5X Points/AnyFLEX
80799-62998,TE,Jace,Jace Sternberger,Sternberger,,,5000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
