Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
80685-62239,QB,Josh,Josh Allen,Allen,33.47999954223633,1,17500,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-39280,RB,Derrick,Derrick Henry,Henry,8.199999809265137,1,15000,TEN@BUF,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80685-21948,QB,Ryan,Ryan Tannehill,Tannehill,19.34000015258789,1,14500,TEN@BUF,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80685-25079,WR,Stefon,Stefon Diggs,Diggs,22.200000762939453,1,14000,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-94534,WR,Gabe,Gabe Davis,Davis,16.799999237060547,1,12500,TEN@BUF,BUF,TEN,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
80685-110259,WR,Treylon,Treylon Burks,Burks,7,1,11000,TEN@BUF,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80685-70603,RB,Devin,Devin Singletary,Singletary,7.199999809265137,1,10500,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-29685,WR,Robert,Robert Woods,Woods,1.7999999523162842,1,10000,TEN@BUF,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80685-65128,K,Tyler,Tyler Bass,Bass,8,1,9500,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-64585,TE,Dawson,Dawson Knox,Knox,1,1,9000,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-22100,K,Randy,Randy Bullock,Bullock,9,1,9000,TEN@BUF,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
80685-12526,D,Buffalo,Buffalo Bills,Bills,0,1,9000,TEN@BUF,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
80685-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,20.399999618530273,1,8500,TEN@BUF,TEN,BUF,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
