name,pos,snap_total,snap_percent,team,opp,week
Colt McCoy,QB,72,0.96,ARI,NE,14
Marquise Brown,WR,72,0.96,ARI,NE,14
James Conner,RB,71,0.95,ARI,NE,14
DeAndre Hopkins,WR,64,0.85,ARI,NE,14
Trey McBride,TE,55,0.73,ARI,NE,14
AJ Green,WR,45,0.6,ARI,NE,14
Robbie Chosen,WR,23,0.31,ARI,NE,14
Maxx Williams,TE,15,0.2,ARI,NE,14
Stephen Anderson,TE,14,0.19,ARI,NE,14
Keaontay Ingram,RB,9,0.12,ARI,NE,14
Greg Dortch,WR,4,0.05,ARI,NE,14
Corey Clement,RB,3,0.04,ARI,NE,14
Kyler Murray,QB,3,0.04,ARI,NE,14
Pharoh Cooper,WR,0,0.0,ARI,NE,14
