name,pos,snap_total,snap_percent,team,opp,week
Desmond Ridder,QB,74,1.0,ATL,NO,15
Olamide Zaccheaus,WR,60,0.81,ATL,NO,15
Drake London,WR,60,0.81,ATL,NO,15
Parker Hesse,TE,42,0.57,ATL,NO,15
MyCole Pruitt,TE,41,0.55,ATL,NO,15
Cordarrelle Patterson,RB,37,0.5,ATL,NO,15
Tyler Allgeier,RB,36,0.49,ATL,NO,15
Damiere Byrd,WR,30,0.41,ATL,NO,15
Anthony Firkser,TE,23,0.31,ATL,NO,15
KhaDarel Hodge,WR,13,0.18,ATL,NO,15
Avery Williams,RB,10,0.14,ATL,NO,15
Feleipe Franks,TE,4,0.05,ATL,NO,15
Caleb Huntley,RB,2,0.03,ATL,NO,15
