name,pos,snap_total,snap_percent,team,opp,week
Lamar Jackson,QB,72,1.0,BAL,JAX,12
Mark Andrews,TE,61,0.85,BAL,JAX,12
Devin Duvernay,WR,56,0.78,BAL,JAX,12
Josh Oliver,TE,44,0.61,BAL,JAX,12
Demarcus Robinson,WR,43,0.6,BAL,JAX,12
Gus Edwards,RB,36,0.5,BAL,JAX,12
Kenyan Drake,RB,18,0.25,BAL,JAX,12
Justice Hill,RB,14,0.19,BAL,JAX,12
James Proche,WR,14,0.19,BAL,JAX,12
Nick Boyle,TE,10,0.14,BAL,JAX,12
DeSean Jackson,WR,10,0.14,BAL,JAX,12
Tyler Huntley,QB,1,0.01,BAL,JAX,12
Tylan Wallace,WR,0,0.0,BAL,JAX,12
