name,pos,snap_total,snap_percent,team,opp,week
Jacoby Brissett,QB,67,1.0,CLE,MIA,10
Donovan Peoples-Jones,WR,59,0.88,CLE,MIA,10
Amari Cooper,WR,58,0.87,CLE,MIA,10
Harrison Bryant,TE,51,0.76,CLE,MIA,10
David Bell,WR,35,0.52,CLE,MIA,10
Nick Chubb,RB,32,0.48,CLE,MIA,10
Pharaoh Brown,TE,28,0.42,CLE,MIA,10
Kareem Hunt,RB,24,0.36,CLE,MIA,10
Michael Woods,WR,13,0.19,CLE,MIA,10
D'Ernest Johnson,RB,12,0.18,CLE,MIA,10
Anthony Schwartz,WR,12,0.18,CLE,MIA,10
Miller Forristall,TE,1,0.01,CLE,MIA,10
Jerome Ford,RB,0,0.0,CLE,MIA,10
