name,pos,snap_total,snap_percent,team,opp,week
Dak Prescott,QB,65,0.96,DAL,IND,13
Noah Brown,WR,54,0.79,DAL,IND,13
CeeDee Lamb,WR,49,0.72,DAL,IND,13
Dalton Schultz,TE,49,0.72,DAL,IND,13
Michael Gallup,WR,45,0.66,DAL,IND,13
Ezekiel Elliott,RB,38,0.56,DAL,IND,13
Jake Ferguson,TE,32,0.47,DAL,IND,13
Tony Pollard,RB,28,0.41,DAL,IND,13
Peyton Hendershot,TE,15,0.22,DAL,IND,13
Jalen Tolbert,WR,12,0.18,DAL,IND,13
Sean McKeon,TE,10,0.15,DAL,IND,13
KaVontae Turpin,WR,5,0.07,DAL,IND,13
Malik Davis,RB,3,0.04,DAL,IND,13
Cooper Rush,QB,3,0.04,DAL,IND,13
