name,pos,snap_total,snap_percent,team,opp,week
Russell Wilson,QB,66,1.0,DEN,SEA,1
Courtland Sutton,WR,63,0.95,DEN,SEA,1
Jerry Jeudy,WR,59,0.89,DEN,SEA,1
Albert Okwuegbunam,TE,44,0.67,DEN,SEA,1
KJ Hamler,WR,40,0.61,DEN,SEA,1
Javonte Williams,RB,38,0.58,DEN,SEA,1
Melvin Gordon,RB,27,0.41,DEN,SEA,1
Eric Tomlinson,TE,20,0.3,DEN,SEA,1
Eric Saubert,TE,18,0.27,DEN,SEA,1
Andrew Beck,TE,10,0.15,DEN,SEA,1
Tyrie Cleveland,WR,8,0.12,DEN,SEA,1
Mike Boone,RB,3,0.05,DEN,SEA,1
Montrell Washington,WR,0,0.0,DEN,SEA,1
