name,pos,snap_total,snap_percent,team,opp,week
Jared Goff,QB,74,0.97,DET,JAX,13
Amon-Ra St,WR,66,0.87,DET,JAX,13
DJ Chark,WR,64,0.84,DET,JAX,13
Josh Reynolds,WR,60,0.79,DET,JAX,13
D'Andre Swift,RB,39,0.51,DET,JAX,13
Brock Wright,TE,35,0.46,DET,JAX,13
Shane Zylstra,TE,23,0.3,DET,JAX,13
Jamaal Williams,RB,23,0.3,DET,JAX,13
James Mitchell,TE,22,0.29,DET,JAX,13
Justin Jackson,RB,16,0.21,DET,JAX,13
Kalif Raymond,WR,13,0.17,DET,JAX,13
Jameson Williams,WR,8,0.11,DET,JAX,13
Nate Sudfeld,QB,2,0.03,DET,JAX,13
