name,pos,snap_total,snap_percent,team,opp,week
Justin Herbert,QB,68,1.0,LAC,IND,16
Mike Williams,WR,58,0.85,LAC,IND,16
Keenan Allen,WR,57,0.84,LAC,IND,16
Austin Ekeler,RB,41,0.6,LAC,IND,16
Josh Palmer,WR,40,0.59,LAC,IND,16
Gerald Everett,TE,37,0.54,LAC,IND,16
Tre' McKitty,TE,31,0.46,LAC,IND,16
Donald Parham,TE,24,0.35,LAC,IND,16
Joshua Kelley,RB,23,0.34,LAC,IND,16
DeAndre Carter,WR,13,0.19,LAC,IND,16
Stone Smartt,TE,7,0.1,LAC,IND,16
Zander Horvath,RB,5,0.07,LAC,IND,16
Larry Rountree,RB,4,0.06,LAC,IND,16
