name,pos,snap_total,snap_percent,team,opp,week
Ben Skowronek,WR,59,0.98,LAR,ARI,10
John Wolford,QB,55,0.92,LAR,ARI,10
Allen Robinson,WR,55,0.92,LAR,ARI,10
Tyler Higbee,TE,48,0.8,LAR,ARI,10
Cooper Kupp,WR,40,0.67,LAR,ARI,10
Darrell Henderson,RB,34,0.57,LAR,ARI,10
Van Jefferson,WR,17,0.28,LAR,ARI,10
Kyren Williams,RB,16,0.27,LAR,ARI,10
Brycen Hopkins,TE,13,0.22,LAR,ARI,10
Cam Akers,RB,10,0.17,LAR,ARI,10
Brandon Powell,WR,5,0.08,LAR,ARI,10
Bryce Perkins,QB,5,0.08,LAR,ARI,10
Lance McCutcheon,WR,3,0.05,LAR,ARI,10
Jared Pinkney,TE,0,0.0,LAR,ARI,10
