name,pos,snap_total,snap_percent,team,opp,week
Justin Jefferson,WR,45,0.79,MIN,DAL,11
Kirk Cousins,QB,45,0.79,MIN,DAL,11
TJ Hockenson,TE,44,0.77,MIN,DAL,11
Adam Thielen,WR,44,0.77,MIN,DAL,11
KJ Osborn,WR,42,0.74,MIN,DAL,11
Dalvin Cook,RB,34,0.6,MIN,DAL,11
Johnny Mundt,TE,27,0.47,MIN,DAL,11
Alexander Mattison,RB,16,0.28,MIN,DAL,11
Jalen Nailor,WR,12,0.21,MIN,DAL,11
Jalen Reagor,WR,12,0.21,MIN,DAL,11
Nick Mullens,QB,12,0.21,MIN,DAL,11
Kene Nwangwu,RB,7,0.12,MIN,DAL,11
Nick Muse,TE,0,0.0,MIN,DAL,11
