name,pos,snap_total,snap_percent,team,opp,week
Mac Jones,QB,63,1.0,NE,NYJ,11
Jakobi Meyers,WR,60,0.95,NE,NYJ,11
Hunter Henry,TE,53,0.84,NE,NYJ,11
Rhamondre Stevenson,RB,49,0.78,NE,NYJ,11
Nelson Agholor,WR,37,0.59,NE,NYJ,11
Jonnu Smith,TE,34,0.54,NE,NYJ,11
DeVante Parker,WR,25,0.4,NE,NYJ,11
Kendrick Bourne,WR,24,0.38,NE,NYJ,11
Tyquan Thornton,WR,17,0.27,NE,NYJ,11
Damien Harris,RB,15,0.24,NE,NYJ,11
Raleigh Webb,WR,1,0.02,NE,NYJ,11
Matthew Slater,WR,0,0.0,NE,NYJ,11
Pierre Strong,RB,0,0.0,NE,NYJ,11
