name,pos,snap_total,snap_percent,team,opp,week
Richie James,WR,58,0.91,NYG,PHI,14
Isaiah Hodgins,WR,57,0.89,NYG,PHI,14
Darius Slayton,WR,53,0.83,NYG,PHI,14
Daniel Jones,QB,52,0.81,NYG,PHI,14
Daniel Bellinger,TE,39,0.61,NYG,PHI,14
Nick Vannett,TE,28,0.44,NYG,PHI,14
Matt Breida,RB,23,0.36,NYG,PHI,14
Gary Brightwell,RB,21,0.33,NYG,PHI,14
Saquon Barkley,RB,20,0.31,NYG,PHI,14
Tyrod Taylor,QB,12,0.19,NYG,PHI,14
Kenny Golladay,WR,11,0.17,NYG,PHI,14
Marcus Johnson,WR,6,0.09,NYG,PHI,14
Chris Myarick,TE,4,0.06,NYG,PHI,14
