name,pos,snap_total,snap_percent,team,opp,week
Tom Brady,QB,80,1.0,TB,NO,13
Chris Godwin,WR,69,0.86,TB,NO,13
Mike Evans,WR,67,0.84,TB,NO,13
Cade Otton,TE,66,0.83,TB,NO,13
Julio Jones,WR,52,0.65,TB,NO,13
Leonard Fournette,RB,48,0.6,TB,NO,13
Rachaad White,RB,33,0.41,TB,NO,13
Russell Gage,WR,26,0.33,TB,NO,13
Ko Kieft,TE,15,0.19,TB,NO,13
Scott Miller,WR,15,0.19,TB,NO,13
Kyle Rudolph,TE,9,0.11,TB,NO,13
Ke'Shawn Vaughn,RB,0,0.0,TB,NO,13
Jaelon Darden,WR,0,0.0,TB,NO,13
Giovani Bernard,RB,0,0.0,TB,NO,13
