name,pos,snap_total,snap_percent,team,opp,week
Ryan Tannehill,QB,57,1.0,TEN,CIN,12
Robert Woods,WR,46,0.81,TEN,CIN,12
Nick Westbrook-Ikhine,WR,43,0.75,TEN,CIN,12
Treylon Burks,WR,38,0.67,TEN,CIN,12
Austin Hooper,TE,38,0.67,TEN,CIN,12
Derrick Henry,RB,32,0.56,TEN,CIN,12
Geoff Swaim,TE,31,0.54,TEN,CIN,12
Dontrell Hilliard,RB,21,0.37,TEN,CIN,12
Chigoziem Okonkwo,TE,19,0.33,TEN,CIN,12
Hassan Haskins,RB,6,0.11,TEN,CIN,12
Kevin Rader,TE,5,0.09,TEN,CIN,12
Cody Hollister,WR,4,0.07,TEN,CIN,12
CJ Board,WR,0,0.0,TEN,CIN,12
