name,pos,snap_total,snap_percent,team,opp,week
Sam Howell,QB,66,1.0,WAS,DAL,18
Terry McLaurin,WR,50,0.76,WAS,DAL,18
Jahan Dotson,WR,49,0.74,WAS,DAL,18
Logan Thomas,TE,46,0.7,WAS,DAL,18
John Bates,TE,39,0.59,WAS,DAL,18
Curtis Samuel,WR,35,0.53,WAS,DAL,18
Jaret Patterson,RB,33,0.5,WAS,DAL,18
Jonathan Williams,RB,31,0.47,WAS,DAL,18
Cam Sims,WR,12,0.18,WAS,DAL,18
Armani Rogers,TE,11,0.17,WAS,DAL,18
Cole Turner,TE,11,0.17,WAS,DAL,18
Dyami Brown,WR,8,0.12,WAS,DAL,18
Reggie Bonnafon,RB,3,0.05,WAS,DAL,18
Dax Milne,WR,2,0.03,WAS,DAL,18
