name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Terry McLaurin,WR,WAS,6,5,54,1,2.0,46,9.2,8,1.6,10.5,0,0.0,0,0.0,0,143.7,2
Dyami Brown,WR,WAS,3,3,25,0,0.0,21,7.0,4,1.3,7.0,0,0.0,0,0.0,0,101.4,2
Jahan Dotson,WR,WAS,5,3,22,0,1.0,15,5.0,7,2.3,5.4,0,0.0,0,0.0,0,70.4,2
Antonio Gibson,RB,WAS,3,3,44,0,1.0,0,0.0,44,14.7,0.0,0,0.0,0,0.0,0,118.7,2
Curtis Samuel,WR,WAS,3,3,19,0,1.0,12,4.0,7,2.3,4.0,0,0.0,0,0.0,0,93.1,2
John Bates,TE,WAS,5,3,46,0,1.0,35,11.7,11,3.7,7.0,0,0.0,1,0.2,0,90.4,2
Cole Turner,TE,WAS,2,2,21,0,1.0,0,0.0,21,10.5,0.0,0,0.0,0,0.0,0,110.4,2
Logan Thomas,TE,WAS,3,2,22,1,2.0,20,10.0,2,1.0,7.0,0,0.0,0,0.0,0,127.8,2
Brian Robinson,RB,WAS,3,2,42,0,2.0,-12,-6.0,54,27.0,-5.7,1,2.0,0,0.0,0,109.7,2
Byron Pringle,WR,WAS,1,1,4,0,0.0,2,2.0,2,2.0,2.0,0,0.0,0,0.0,0,83.3,2
