Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Lamar Jackson (29890664),Lamar Jackson,29890664,CPT,18600,BAL@CLE 10/01/2023 01:00PM ET,BAL,21.21
QB,Deshaun Watson (29890665),Deshaun Watson,29890665,CPT,15300,BAL@CLE 10/01/2023 01:00PM ET,CLE,19.14
WR,Amari Cooper (29890666),Amari Cooper,29890666,CPT,14700,BAL@CLE 10/01/2023 01:00PM ET,CLE,16.77
WR,Zay Flowers (29890667),Zay Flowers,29890667,CPT,12900,BAL@CLE 10/01/2023 01:00PM ET,BAL,13.83
QB,Lamar Jackson (29890715),Lamar Jackson,29890715,FLEX,12400,BAL@CLE 10/01/2023 01:00PM ET,BAL,21.21
RB,Jerome Ford (29890668),Jerome Ford,29890668,CPT,12300,BAL@CLE 10/01/2023 01:00PM ET,CLE,16.27
TE,Mark Andrews (29890669),Mark Andrews,29890669,CPT,12000,BAL@CLE 10/01/2023 01:00PM ET,BAL,11.5
RB,Gus Edwards (29890670),Gus Edwards,29890670,CPT,11700,BAL@CLE 10/01/2023 01:00PM ET,BAL,7.5
RB,Justice Hill (29890671),Justice Hill,29890671,CPT,10800,BAL@CLE 10/01/2023 01:00PM ET,BAL,10.6
WR,Elijah Moore (29890672),Elijah Moore,29890672,CPT,10500,BAL@CLE 10/01/2023 01:00PM ET,CLE,9.7
QB,Deshaun Watson (29890716),Deshaun Watson,29890716,FLEX,10200,BAL@CLE 10/01/2023 01:00PM ET,CLE,19.14
WR,Rashod Bateman (29890673),Rashod Bateman,29890673,CPT,9900,BAL@CLE 10/01/2023 01:00PM ET,BAL,4.3
WR,Amari Cooper (29890717),Amari Cooper,29890717,FLEX,9800,BAL@CLE 10/01/2023 01:00PM ET,CLE,16.77
RB,Kareem Hunt (29890674),Kareem Hunt,29890674,CPT,9300,BAL@CLE 10/01/2023 01:00PM ET,CLE,5.5
QB,P.J. Walker (29890675),P.J. Walker,29890675,CPT,9000,BAL@CLE 10/01/2023 01:00PM ET,CLE,0
QB,Josh Johnson (29890676),Josh Johnson,29890676,CPT,9000,BAL@CLE 10/01/2023 01:00PM ET,BAL,0
QB,Dorian Thompson-Robinson (29890677),Dorian Thompson-Robinson,29890677,CPT,9000,BAL@CLE 10/01/2023 01:00PM ET,CLE,0
QB,Tyler Huntley (29890678),Tyler Huntley,29890678,CPT,9000,BAL@CLE 10/01/2023 01:00PM ET,BAL,0
WR,Zay Flowers (29890718),Zay Flowers,29890718,FLEX,8600,BAL@CLE 10/01/2023 01:00PM ET,BAL,13.83
RB,Jerome Ford (29890719),Jerome Ford,29890719,FLEX,8200,BAL@CLE 10/01/2023 01:00PM ET,CLE,16.27
WR,Odell Beckham Jr. (29890679),Odell Beckham Jr.,29890679,CPT,8100,BAL@CLE 10/01/2023 01:00PM ET,BAL,5.8
TE,Mark Andrews (29890720),Mark Andrews,29890720,FLEX,8000,BAL@CLE 10/01/2023 01:00PM ET,BAL,11.5
RB,Gus Edwards (29890721),Gus Edwards,29890721,FLEX,7800,BAL@CLE 10/01/2023 01:00PM ET,BAL,7.5
TE,David Njoku (29890680),David Njoku,29890680,CPT,7500,BAL@CLE 10/01/2023 01:00PM ET,CLE,6.07
RB,Justice Hill (29890722),Justice Hill,29890722,FLEX,7200,BAL@CLE 10/01/2023 01:00PM ET,BAL,10.6
WR,Elijah Moore (29890723),Elijah Moore,29890723,FLEX,7000,BAL@CLE 10/01/2023 01:00PM ET,CLE,9.7
K,Justin Tucker (29890681),Justin Tucker,29890681,CPT,6900,BAL@CLE 10/01/2023 01:00PM ET,BAL,7.67
WR,Rashod Bateman (29890724),Rashod Bateman,29890724,FLEX,6600,BAL@CLE 10/01/2023 01:00PM ET,BAL,4.3
DST,Browns  (29890682),Browns ,29890682,CPT,6600,BAL@CLE 10/01/2023 01:00PM ET,CLE,9.33
DST,Ravens  (29890683),Ravens ,29890683,CPT,6300,BAL@CLE 10/01/2023 01:00PM ET,BAL,7
RB,Kareem Hunt (29890725),Kareem Hunt,29890725,FLEX,6200,BAL@CLE 10/01/2023 01:00PM ET,CLE,5.5
QB,P.J. Walker (29890726),P.J. Walker,29890726,FLEX,6000,BAL@CLE 10/01/2023 01:00PM ET,CLE,0
QB,Josh Johnson (29890727),Josh Johnson,29890727,FLEX,6000,BAL@CLE 10/01/2023 01:00PM ET,BAL,0
QB,Dorian Thompson-Robinson (29890728),Dorian Thompson-Robinson,29890728,FLEX,6000,BAL@CLE 10/01/2023 01:00PM ET,CLE,0
QB,Tyler Huntley (29890729),Tyler Huntley,29890729,FLEX,6000,BAL@CLE 10/01/2023 01:00PM ET,BAL,0
K,Lucas Havrisik (29890684),Lucas Havrisik,29890684,CPT,6000,BAL@CLE 10/01/2023 01:00PM ET,CLE,0
K,Dustin Hopkins (29890685),Dustin Hopkins,29890685,CPT,6000,BAL@CLE 10/01/2023 01:00PM ET,CLE,11
WR,Odell Beckham Jr. (29890730),Odell Beckham Jr.,29890730,FLEX,5400,BAL@CLE 10/01/2023 01:00PM ET,BAL,5.8
WR,Donovan Peoples-Jones (29890686),Donovan Peoples-Jones,29890686,CPT,5400,BAL@CLE 10/01/2023 01:00PM ET,CLE,3.93
