Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Justin Fields (30045388),Justin Fields,30045388,CPT,16500,CHI@WAS 10/05/2023 08:15PM ET,CHI,19.46
WR,Terry McLaurin (30045389),Terry McLaurin,30045389,CPT,15300,CHI@WAS 10/05/2023 08:15PM ET,WAS,13.55
WR,DJ Moore (30045390),DJ Moore,30045390,CPT,15000,CHI@WAS 10/05/2023 08:15PM ET,CHI,16.78
QB,Sam Howell (30045391),Sam Howell,30045391,CPT,14100,CHI@WAS 10/05/2023 08:15PM ET,WAS,15.66
RB,Brian Robinson Jr. (30045392),Brian Robinson Jr.,30045392,CPT,13800,CHI@WAS 10/05/2023 08:15PM ET,WAS,15.65
RB,Khalil Herbert (30045393),Khalil Herbert,30045393,CPT,12900,CHI@WAS 10/05/2023 08:15PM ET,CHI,11.98
QB,Justin Fields (30045441),Justin Fields,30045441,FLEX,11000,CHI@WAS 10/05/2023 08:15PM ET,CHI,19.46
WR,Jahan Dotson (30045394),Jahan Dotson,30045394,CPT,10500,CHI@WAS 10/05/2023 08:15PM ET,WAS,7.75
WR,Terry McLaurin (30045442),Terry McLaurin,30045442,FLEX,10200,CHI@WAS 10/05/2023 08:15PM ET,WAS,13.55
WR,DJ Moore (30045443),DJ Moore,30045443,FLEX,10000,CHI@WAS 10/05/2023 08:15PM ET,CHI,16.78
TE,Cole Kmet (30045395),Cole Kmet,30045395,CPT,9600,CHI@WAS 10/05/2023 08:15PM ET,CHI,12.25
QB,Sam Howell (30045444),Sam Howell,30045444,FLEX,9400,CHI@WAS 10/05/2023 08:15PM ET,WAS,15.66
RB,Brian Robinson Jr. (30045445),Brian Robinson Jr.,30045445,FLEX,9200,CHI@WAS 10/05/2023 08:15PM ET,WAS,15.65
QB,Tyson Bagent (30045396),Tyson Bagent,30045396,CPT,9000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
QB,Nathan Peterman (30045397),Nathan Peterman,30045397,CPT,9000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
QB,Jacoby Brissett (30045398),Jacoby Brissett,30045398,CPT,9000,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
QB,Jake Fromm (30045399),Jake Fromm,30045399,CPT,9000,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,Khalil Herbert (30045446),Khalil Herbert,30045446,FLEX,8600,CHI@WAS 10/05/2023 08:15PM ET,CHI,11.98
WR,Curtis Samuel (30045400),Curtis Samuel,30045400,CPT,8400,CHI@WAS 10/05/2023 08:15PM ET,WAS,10.7
DST,Commanders  (30045401),Commanders ,30045401,CPT,8100,CHI@WAS 10/05/2023 08:15PM ET,WAS,6
TE,Logan Thomas (30045402),Logan Thomas,30045402,CPT,7800,CHI@WAS 10/05/2023 08:15PM ET,WAS,8.6
WR,Darnell Mooney (30045403),Darnell Mooney,30045403,CPT,7500,CHI@WAS 10/05/2023 08:15PM ET,CHI,6.1
RB,Roschon Johnson (30045404),Roschon Johnson,30045404,CPT,7200,CHI@WAS 10/05/2023 08:15PM ET,CHI,8.28
WR,Jahan Dotson (30045447),Jahan Dotson,30045447,FLEX,7000,CHI@WAS 10/05/2023 08:15PM ET,WAS,7.75
K,John Parker Romo (30045405),John Parker Romo,30045405,CPT,6900,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
K,Cairo Santos (30045406),Cairo Santos,30045406,CPT,6900,CHI@WAS 10/05/2023 08:15PM ET,CHI,5.5
TE,Cole Kmet (30045448),Cole Kmet,30045448,FLEX,6400,CHI@WAS 10/05/2023 08:15PM ET,CHI,12.25
K,Joey Slye (30045407),Joey Slye,30045407,CPT,6300,CHI@WAS 10/05/2023 08:15PM ET,WAS,7.75
QB,Tyson Bagent (30045449),Tyson Bagent,30045449,FLEX,6000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
QB,Nathan Peterman (30045450),Nathan Peterman,30045450,FLEX,6000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
QB,Jacoby Brissett (30045451),Jacoby Brissett,30045451,FLEX,6000,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
QB,Jake Fromm (30045452),Jake Fromm,30045452,FLEX,6000,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
DST,Bears  (30045408),Bears ,30045408,CPT,6000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.75
WR,Curtis Samuel (30045453),Curtis Samuel,30045453,FLEX,5600,CHI@WAS 10/05/2023 08:15PM ET,WAS,10.7
DST,Commanders  (30045454),Commanders ,30045454,FLEX,5400,CHI@WAS 10/05/2023 08:15PM ET,WAS,6
TE,Logan Thomas (30045455),Logan Thomas,30045455,FLEX,5200,CHI@WAS 10/05/2023 08:15PM ET,WAS,8.6
WR,Darnell Mooney (30045456),Darnell Mooney,30045456,FLEX,5000,CHI@WAS 10/05/2023 08:15PM ET,CHI,6.1
RB,Roschon Johnson (30045457),Roschon Johnson,30045457,FLEX,4800,CHI@WAS 10/05/2023 08:15PM ET,CHI,8.28
RB,Antonio Gibson (30045409),Antonio Gibson,30045409,CPT,4800,CHI@WAS 10/05/2023 08:15PM ET,WAS,4.55
K,John Parker Romo (30045458),John Parker Romo,30045458,FLEX,4600,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
K,Cairo Santos (30045459),Cairo Santos,30045459,FLEX,4600,CHI@WAS 10/05/2023 08:15PM ET,CHI,5.5
K,Joey Slye (30045460),Joey Slye,30045460,FLEX,4200,CHI@WAS 10/05/2023 08:15PM ET,WAS,7.75
WR,Dyami Brown (30045410),Dyami Brown,30045410,CPT,4200,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.15
DST,Bears  (30045461),Bears ,30045461,FLEX,4000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.75
RB,Antonio Gibson (30045462),Antonio Gibson,30045462,FLEX,3200,CHI@WAS 10/05/2023 08:15PM ET,WAS,4.55
WR,Dyami Brown (30045463),Dyami Brown,30045463,FLEX,2800,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.15
WR,Equanimeous St. Brown (30045411),Equanimeous St. Brown,30045411,CPT,2700,CHI@WAS 10/05/2023 08:15PM ET,CHI,3.1
WR,Equanimeous St. Brown (30045464),Equanimeous St. Brown,30045464,FLEX,1800,CHI@WAS 10/05/2023 08:15PM ET,CHI,3.1
WR,Chase Claypool (30045412),Chase Claypool,30045412,CPT,1800,CHI@WAS 10/05/2023 08:15PM ET,CHI,5.03
WR,Velus Jones Jr. (30045413),Velus Jones Jr.,30045413,CPT,1500,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.23
WR,Chase Claypool (30045465),Chase Claypool,30045465,FLEX,1200,CHI@WAS 10/05/2023 08:15PM ET,CHI,5.03
TE,Cole Turner (30045414),Cole Turner,30045414,CPT,1200,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.58
WR,Velus Jones Jr. (30045466),Velus Jones Jr.,30045466,FLEX,1000,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.23
TE,Robert Tonyan (30045415),Robert Tonyan,30045415,CPT,900,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.95
TE,Cole Turner (30045467),Cole Turner,30045467,FLEX,800,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.58
TE,Robert Tonyan (30045468),Robert Tonyan,30045468,FLEX,600,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.95
TE,John Bates (30045416),John Bates,30045416,CPT,600,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.1
TE,John Bates (30045469),John Bates,30045469,FLEX,400,CHI@WAS 10/05/2023 08:15PM ET,WAS,3.1
RB,D'Onta Foreman (30045417),D'Onta Foreman,30045417,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,4.4
RB,Chris Rodriguez Jr. (30045418),Chris Rodriguez Jr.,30045418,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0.23
RB,Alex Armah (30045419),Alex Armah,30045419,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,Travis Homer (30045420),Travis Homer,30045420,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Trent Taylor (30045421),Trent Taylor,30045421,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Curtis Hodges (30045422),Curtis Hodges,30045422,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Marcedes Lewis (30045423),Marcedes Lewis,30045423,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.45
TE,Brandon Dillon (30045424),Brandon Dillon,30045424,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,Robert Burns (30045425),Robert Burns,30045425,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
RB,Derrick Gore (30045426),Derrick Gore,30045426,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Tyler Scott (30045427),Tyler Scott,30045427,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,1.72
RB,Khari Blasingame (30045428),Khari Blasingame,30045428,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Byron Pringle (30045429),Byron Pringle,30045429,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0.98
WR,Jamison Crowder (30045430),Jamison Crowder,30045430,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Kazmeir Allen (30045431),Kazmeir Allen,30045431,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Stephen Carlson (30045432),Stephen Carlson,30045432,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Joe Reed (30045433),Joe Reed,30045433,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Nsimba Webster (30045434),Nsimba Webster,30045434,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Armani Rogers (30045435),Armani Rogers,30045435,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Brycen Tremayne (30045436),Brycen Tremayne,30045436,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Dax Milne (30045437),Dax Milne,30045437,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Mitchell Tinsley (30045438),Mitchell Tinsley,30045438,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Patrick Scales (30045439),Patrick Scales,30045439,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Kaden Smith (30045440),Kaden Smith,30045440,CPT,300,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,D'Onta Foreman (30045470),D'Onta Foreman,30045470,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,4.4
RB,Chris Rodriguez Jr. (30045471),Chris Rodriguez Jr.,30045471,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0.23
RB,Alex Armah (30045472),Alex Armah,30045472,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,Travis Homer (30045473),Travis Homer,30045473,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Trent Taylor (30045474),Trent Taylor,30045474,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Curtis Hodges (30045475),Curtis Hodges,30045475,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Marcedes Lewis (30045476),Marcedes Lewis,30045476,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0.45
TE,Brandon Dillon (30045477),Brandon Dillon,30045477,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
RB,Robert Burns (30045478),Robert Burns,30045478,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
RB,Derrick Gore (30045479),Derrick Gore,30045479,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Tyler Scott (30045480),Tyler Scott,30045480,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,1.72
RB,Khari Blasingame (30045481),Khari Blasingame,30045481,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Byron Pringle (30045482),Byron Pringle,30045482,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0.98
WR,Jamison Crowder (30045483),Jamison Crowder,30045483,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Kazmeir Allen (30045484),Kazmeir Allen,30045484,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Stephen Carlson (30045485),Stephen Carlson,30045485,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Joe Reed (30045486),Joe Reed,30045486,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
WR,Nsimba Webster (30045487),Nsimba Webster,30045487,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Armani Rogers (30045488),Armani Rogers,30045488,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Brycen Tremayne (30045489),Brycen Tremayne,30045489,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Dax Milne (30045490),Dax Milne,30045490,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
WR,Mitchell Tinsley (30045491),Mitchell Tinsley,30045491,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
TE,Patrick Scales (30045492),Patrick Scales,30045492,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,CHI,0
TE,Kaden Smith (30045493),Kaden Smith,30045493,FLEX,200,CHI@WAS 10/05/2023 08:15PM ET,WAS,0
