Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (29892554),Ja'Marr Chase,29892554,CPT,17100,CIN@TEN 10/01/2023 01:00PM ET,CIN,15.43
QB,Joe Burrow (29892555),Joe Burrow,29892555,CPT,16200,CIN@TEN 10/01/2023 01:00PM ET,CIN,9.57
RB,Derrick Henry (29892556),Derrick Henry,29892556,CPT,15000,CIN@TEN 10/01/2023 01:00PM ET,TEN,11.47
WR,Tee Higgins (29892557),Tee Higgins,29892557,CPT,14100,CIN@TEN 10/01/2023 01:00PM ET,CIN,11
RB,Joe Mixon (29892558),Joe Mixon,29892558,CPT,13800,CIN@TEN 10/01/2023 01:00PM ET,CIN,12.6
QB,Ryan Tannehill (29892559),Ryan Tannehill,29892559,CPT,13500,CIN@TEN 10/01/2023 01:00PM ET,TEN,10.21
WR,DeAndre Hopkins (29892560),DeAndre Hopkins,29892560,CPT,12600,CIN@TEN 10/01/2023 01:00PM ET,TEN,9.77
WR,Ja'Marr Chase (29892605),Ja'Marr Chase,29892605,FLEX,11400,CIN@TEN 10/01/2023 01:00PM ET,CIN,15.43
QB,Joe Burrow (29892606),Joe Burrow,29892606,FLEX,10800,CIN@TEN 10/01/2023 01:00PM ET,CIN,9.57
WR,Tyler Boyd (29892561),Tyler Boyd,29892561,CPT,10200,CIN@TEN 10/01/2023 01:00PM ET,CIN,7.7
RB,Derrick Henry (29892607),Derrick Henry,29892607,FLEX,10000,CIN@TEN 10/01/2023 01:00PM ET,TEN,11.47
WR,Tee Higgins (29892608),Tee Higgins,29892608,FLEX,9400,CIN@TEN 10/01/2023 01:00PM ET,CIN,11
RB,Joe Mixon (29892609),Joe Mixon,29892609,FLEX,9200,CIN@TEN 10/01/2023 01:00PM ET,CIN,12.6
QB,Ryan Tannehill (29892610),Ryan Tannehill,29892610,FLEX,9000,CIN@TEN 10/01/2023 01:00PM ET,TEN,10.21
QB,Jake Browning (29892562),Jake Browning,29892562,CPT,9000,CIN@TEN 10/01/2023 01:00PM ET,CIN,-0.1
QB,AJ McCarron (29892563),AJ McCarron,29892563,CPT,9000,CIN@TEN 10/01/2023 01:00PM ET,CIN,0
QB,Will Levis (29892564),Will Levis,29892564,CPT,9000,CIN@TEN 10/01/2023 01:00PM ET,TEN,0
QB,Reid Sinnett (29892565),Reid Sinnett,29892565,CPT,9000,CIN@TEN 10/01/2023 01:00PM ET,CIN,0
QB,Malik Willis (29892566),Malik Willis,29892566,CPT,9000,CIN@TEN 10/01/2023 01:00PM ET,TEN,0
WR,DeAndre Hopkins (29892611),DeAndre Hopkins,29892611,FLEX,8400,CIN@TEN 10/01/2023 01:00PM ET,TEN,9.77
RB,Tyjae Spears (29892567),Tyjae Spears,29892567,CPT,8100,CIN@TEN 10/01/2023 01:00PM ET,TEN,5.4
WR,Treylon Burks (29892568),Treylon Burks,29892568,CPT,7500,CIN@TEN 10/01/2023 01:00PM ET,TEN,5.6
K,Evan McPherson (29892569),Evan McPherson,29892569,CPT,7200,CIN@TEN 10/01/2023 01:00PM ET,CIN,9.67
K,Cade York (29892570),Cade York,29892570,CPT,6900,CIN@TEN 10/01/2023 01:00PM ET,TEN,0
K,Nick Folk (29892571),Nick Folk,29892571,CPT,6900,CIN@TEN 10/01/2023 01:00PM ET,TEN,10.67
WR,Tyler Boyd (29892612),Tyler Boyd,29892612,FLEX,6800,CIN@TEN 10/01/2023 01:00PM ET,CIN,7.7
DST,Bengals  (29892572),Bengals ,29892572,CPT,6300,CIN@TEN 10/01/2023 01:00PM ET,CIN,8
QB,Jake Browning (29892613),Jake Browning,29892613,FLEX,6000,CIN@TEN 10/01/2023 01:00PM ET,CIN,-0.1
