Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Nick Chubb (29611680),Nick Chubb,29611680,CPT,18300,CLE@PIT 09/18/2023 08:15PM ET,CLE,19.7
QB,Deshaun Watson (29611681),Deshaun Watson,29611681,CPT,15900,CLE@PIT 09/18/2023 08:15PM ET,CLE,21.66
RB,Najee Harris (29611682),Najee Harris,29611682,CPT,14100,CLE@PIT 09/18/2023 08:15PM ET,PIT,5.3
QB,Kenny Pickett (29611683),Kenny Pickett,29611683,CPT,13800,CLE@PIT 09/18/2023 08:15PM ET,PIT,11.68
WR,Amari Cooper (29611684),Amari Cooper,29611684,CPT,13200,CLE@PIT 09/18/2023 08:15PM ET,CLE,6.7
RB,Nick Chubb (29611729),Nick Chubb,29611729,FLEX,12200,CLE@PIT 09/18/2023 08:15PM ET,CLE,19.7
WR,George Pickens (29611685),George Pickens,29611685,CPT,12000,CLE@PIT 09/18/2023 08:15PM ET,PIT,8.6
WR,Diontae Johnson (29611686),Diontae Johnson,29611686,CPT,11700,CLE@PIT 09/18/2023 08:15PM ET,PIT,7.8
QB,Deshaun Watson (29611730),Deshaun Watson,29611730,FLEX,10600,CLE@PIT 09/18/2023 08:15PM ET,CLE,21.66
TE,David Njoku (29611687),David Njoku,29611687,CPT,10500,CLE@PIT 09/18/2023 08:15PM ET,CLE,4.4
WR,Elijah Moore (29611688),Elijah Moore,29611688,CPT,9900,CLE@PIT 09/18/2023 08:15PM ET,CLE,9.2
RB,Najee Harris (29611731),Najee Harris,29611731,FLEX,9400,CLE@PIT 09/18/2023 08:15PM ET,PIT,5.3
WR,Allen Robinson II (29611689),Allen Robinson II,29611689,CPT,9300,CLE@PIT 09/18/2023 08:15PM ET,PIT,11.4
QB,Kenny Pickett (29611732),Kenny Pickett,29611732,FLEX,9200,CLE@PIT 09/18/2023 08:15PM ET,PIT,11.68
QB,Mason Rudolph (29611690),Mason Rudolph,29611690,CPT,9000,CLE@PIT 09/18/2023 08:15PM ET,PIT,0
QB,Mitch Trubisky (29611691),Mitch Trubisky,29611691,CPT,9000,CLE@PIT 09/18/2023 08:15PM ET,PIT,0
QB,P.J. Walker (29611692),P.J. Walker,29611692,CPT,9000,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
QB,Dorian Thompson-Robinson (29611693),Dorian Thompson-Robinson,29611693,CPT,9000,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
WR,Amari Cooper (29611733),Amari Cooper,29611733,FLEX,8800,CLE@PIT 09/18/2023 08:15PM ET,CLE,6.7
TE,Pat Freiermuth (29611694),Pat Freiermuth,29611694,CPT,8700,CLE@PIT 09/18/2023 08:15PM ET,PIT,7.3
WR,George Pickens (29611734),George Pickens,29611734,FLEX,8000,CLE@PIT 09/18/2023 08:15PM ET,PIT,8.6
WR,Diontae Johnson (29611735),Diontae Johnson,29611735,FLEX,7800,CLE@PIT 09/18/2023 08:15PM ET,PIT,7.8
WR,Donovan Peoples-Jones (29611695),Donovan Peoples-Jones,29611695,CPT,7500,CLE@PIT 09/18/2023 08:15PM ET,CLE,2.2
WR,Calvin Austin III (29611696),Calvin Austin III,29611696,CPT,7200,CLE@PIT 09/18/2023 08:15PM ET,PIT,9.7
TE,David Njoku (29611736),David Njoku,29611736,FLEX,7000,CLE@PIT 09/18/2023 08:15PM ET,CLE,4.4
DST,Browns  (29611697),Browns ,29611697,CPT,6900,CLE@PIT 09/18/2023 08:15PM ET,CLE,9
WR,Elijah Moore (29611737),Elijah Moore,29611737,FLEX,6600,CLE@PIT 09/18/2023 08:15PM ET,CLE,9.2
DST,Steelers  (29611698),Steelers ,29611698,CPT,6600,CLE@PIT 09/18/2023 08:15PM ET,PIT,4
K,Lucas Havrisik (29611699),Lucas Havrisik,29611699,CPT,6300,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
K,Dustin Hopkins (29611700),Dustin Hopkins,29611700,CPT,6300,CLE@PIT 09/18/2023 08:15PM ET,CLE,12
WR,Allen Robinson II (29611738),Allen Robinson II,29611738,FLEX,6200,CLE@PIT 09/18/2023 08:15PM ET,PIT,11.4
QB,Mason Rudolph (29611739),Mason Rudolph,29611739,FLEX,6000,CLE@PIT 09/18/2023 08:15PM ET,PIT,0
QB,Mitch Trubisky (29611740),Mitch Trubisky,29611740,FLEX,6000,CLE@PIT 09/18/2023 08:15PM ET,PIT,0
QB,P.J. Walker (29611741),P.J. Walker,29611741,FLEX,6000,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
QB,Dorian Thompson-Robinson (29611742),Dorian Thompson-Robinson,29611742,FLEX,6000,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
K,Chris Boswell (29611701),Chris Boswell,29611701,CPT,6000,CLE@PIT 09/18/2023 08:15PM ET,PIT,1
TE,Pat Freiermuth (29611743),Pat Freiermuth,29611743,FLEX,5800,CLE@PIT 09/18/2023 08:15PM ET,PIT,7.3
WR,Donovan Peoples-Jones (29611744),Donovan Peoples-Jones,29611744,FLEX,5000,CLE@PIT 09/18/2023 08:15PM ET,CLE,2.2
WR,Calvin Austin III (29611745),Calvin Austin III,29611745,FLEX,4800,CLE@PIT 09/18/2023 08:15PM ET,PIT,9.7
DST,Browns  (29611746),Browns ,29611746,FLEX,4600,CLE@PIT 09/18/2023 08:15PM ET,CLE,9
RB,Jaylen Warren (29611702),Jaylen Warren,29611702,CPT,4500,CLE@PIT 09/18/2023 08:15PM ET,PIT,6.8
DST,Steelers  (29611747),Steelers ,29611747,FLEX,4400,CLE@PIT 09/18/2023 08:15PM ET,PIT,4
K,Lucas Havrisik (29611748),Lucas Havrisik,29611748,FLEX,4200,CLE@PIT 09/18/2023 08:15PM ET,CLE,0
K,Dustin Hopkins (29611749),Dustin Hopkins,29611749,FLEX,4200,CLE@PIT 09/18/2023 08:15PM ET,CLE,12
K,Chris Boswell (29611750),Chris Boswell,29611750,FLEX,4000,CLE@PIT 09/18/2023 08:15PM ET,PIT,1
TE,Harrison Bryant (29611703),Harrison Bryant,29611703,CPT,3300,CLE@PIT 09/18/2023 08:15PM ET,CLE,8.5
RB,Jaylen Warren (29611751),Jaylen Warren,29611751,FLEX,3000,CLE@PIT 09/18/2023 08:15PM ET,PIT,6.8
TE,Harrison Bryant (29611752),Harrison Bryant,29611752,FLEX,2200,CLE@PIT 09/18/2023 08:15PM ET,CLE,8.5
RB,Anthony McFarland Jr. (29611704),Anthony McFarland Jr.,29611704,CPT,1800,CLE@PIT 09/18/2023 08:15PM ET,PIT,3.1
RB,Anthony McFarland Jr. (29611753),Anthony McFarland Jr.,29611753,FLEX,1200,CLE@PIT 09/18/2023 08:15PM ET,PIT,3.1
TE,Jordan Akins (29611705),Jordan Akins,29611705,CPT,1200,CLE@PIT 09/18/2023 08:15PM ET,CLE,2.2
TE,Connor Heyward (29611706),Connor Heyward,29611706,CPT,900,CLE@PIT 09/18/2023 08:15PM ET,PIT,3.9
TE,Jordan Akins (29611754),Jordan Akins,29611754,FLEX,800,CLE@PIT 09/18/2023 08:15PM ET,CLE,2.2
TE,Connor Heyward (29611755),Connor Heyward,29611755,FLEX,600,CLE@PIT 09/18/2023 08:15PM ET,PIT,3.9
RB,Jerome Ford (29611707),Jerome Ford,29611707,CPT,600,CLE@PIT 09/18/2023 08:15PM ET,CLE,2.6
