Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Tony Pollard (29436419),Tony Pollard,29436419,CPT,16500,DAL@NYG 09/10/2023 08:20PM ET,DAL,15.44
RB,Saquon Barkley (29436420),Saquon Barkley,29436420,CPT,15900,DAL@NYG 09/10/2023 08:20PM ET,NYG,18.56
WR,CeeDee Lamb (29436421),CeeDee Lamb,29436421,CPT,15600,DAL@NYG 09/10/2023 08:20PM ET,DAL,18.88
QB,Dak Prescott (29436422),Dak Prescott,29436422,CPT,15000,DAL@NYG 09/10/2023 08:20PM ET,DAL,19.26
QB,Daniel Jones (29436423),Daniel Jones,29436423,CPT,14100,DAL@NYG 09/10/2023 08:20PM ET,NYG,19.09
TE,Darren Waller (29436424),Darren Waller,29436424,CPT,12600,DAL@NYG 09/10/2023 08:20PM ET,NYG,9.42
RB,Tony Pollard (29436470),Tony Pollard,29436470,FLEX,11000,DAL@NYG 09/10/2023 08:20PM ET,DAL,15.44
WR,Brandin Cooks (29436425),Brandin Cooks,29436425,CPT,10800,DAL@NYG 09/10/2023 08:20PM ET,DAL,11.43
RB,Saquon Barkley (29436471),Saquon Barkley,29436471,FLEX,10600,DAL@NYG 09/10/2023 08:20PM ET,NYG,18.56
WR,CeeDee Lamb (29436472),CeeDee Lamb,29436472,FLEX,10400,DAL@NYG 09/10/2023 08:20PM ET,DAL,18.88
QB,Dak Prescott (29436473),Dak Prescott,29436473,FLEX,10000,DAL@NYG 09/10/2023 08:20PM ET,DAL,19.26
WR,Isaiah Hodgins (29436426),Isaiah Hodgins,29436426,CPT,9600,DAL@NYG 09/10/2023 08:20PM ET,NYG,10.83
QB,Daniel Jones (29436474),Daniel Jones,29436474,FLEX,9400,DAL@NYG 09/10/2023 08:20PM ET,NYG,19.09
QB,Tommy DeVito (29436427),Tommy DeVito,29436427,CPT,9000,DAL@NYG 09/10/2023 08:20PM ET,NYG,0
QB,Cooper Rush (29436428),Cooper Rush,29436428,CPT,9000,DAL@NYG 09/10/2023 08:20PM ET,DAL,6.63
QB,Trey Lance (29436429),Trey Lance,29436429,CPT,9000,DAL@NYG 09/10/2023 08:20PM ET,DAL,6.73
QB,Tyrod Taylor (29436430),Tyrod Taylor,29436430,CPT,9000,DAL@NYG 09/10/2023 08:20PM ET,NYG,4.44
WR,Michael Gallup (29436431),Michael Gallup,29436431,CPT,8700,DAL@NYG 09/10/2023 08:20PM ET,DAL,7.56
TE,Darren Waller (29436475),Darren Waller,29436475,FLEX,8400,DAL@NYG 09/10/2023 08:20PM ET,NYG,9.42
WR,Darius Slayton (29436432),Darius Slayton,29436432,CPT,8100,DAL@NYG 09/10/2023 08:20PM ET,NYG,7.99
DST,Cowboys  (29436433),Cowboys ,29436433,CPT,7800,DAL@NYG 09/10/2023 08:20PM ET,DAL,9.47
WR,Brandin Cooks (29436476),Brandin Cooks,29436476,FLEX,7200,DAL@NYG 09/10/2023 08:20PM ET,DAL,11.43
TE,Jake Ferguson (29436434),Jake Ferguson,29436434,CPT,7200,DAL@NYG 09/10/2023 08:20PM ET,DAL,2.93
WR,Jalin Hyatt (29436435),Jalin Hyatt,29436435,CPT,6900,DAL@NYG 09/10/2023 08:20PM ET,NYG,0
WR,Parris Campbell (29436436),Parris Campbell,29436436,CPT,6600,DAL@NYG 09/10/2023 08:20PM ET,NYG,8.77
WR,Isaiah Hodgins (29436477),Isaiah Hodgins,29436477,FLEX,6400,DAL@NYG 09/10/2023 08:20PM ET,NYG,10.83
K,Brandon Aubrey (29436437),Brandon Aubrey,29436437,CPT,6300,DAL@NYG 09/10/2023 08:20PM ET,DAL,0
QB,Tommy DeVito (29436478),Tommy DeVito,29436478,FLEX,6000,DAL@NYG 09/10/2023 08:20PM ET,NYG,0
QB,Cooper Rush (29436479),Cooper Rush,29436479,FLEX,6000,DAL@NYG 09/10/2023 08:20PM ET,DAL,6.63
