Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Austin Ekeler (29564038),Austin Ekeler,29564038,CPT,18000,LAC@TEN 09/17/2023 01:00PM ET,LAC,29.4
RB,Derrick Henry (29564039),Derrick Henry,29564039,CPT,16200,LAC@TEN 09/17/2023 01:00PM ET,TEN,13.9
QB,Justin Herbert (29564040),Justin Herbert,29564040,CPT,15900,LAC@TEN 09/17/2023 01:00PM ET,LAC,20.92
WR,Keenan Allen (29564041),Keenan Allen,29564041,CPT,15000,LAC@TEN 09/17/2023 01:00PM ET,LAC,14.2
WR,DeAndre Hopkins (29564042),DeAndre Hopkins,29564042,CPT,13200,LAC@TEN 09/17/2023 01:00PM ET,TEN,13.5
QB,Ryan Tannehill (29564043),Ryan Tannehill,29564043,CPT,12900,LAC@TEN 09/17/2023 01:00PM ET,TEN,5.42
RB,Austin Ekeler (29564085),Austin Ekeler,29564085,FLEX,12000,LAC@TEN 09/17/2023 01:00PM ET,LAC,29.4
WR,Mike Williams (29564044),Mike Williams,29564044,CPT,11700,LAC@TEN 09/17/2023 01:00PM ET,LAC,8.5
RB,Derrick Henry (29564086),Derrick Henry,29564086,FLEX,10800,LAC@TEN 09/17/2023 01:00PM ET,TEN,13.9
RB,Joshua Kelley (29564045),Joshua Kelley,29564045,CPT,10800,LAC@TEN 09/17/2023 01:00PM ET,LAC,15.1
QB,Justin Herbert (29564087),Justin Herbert,29564087,FLEX,10600,LAC@TEN 09/17/2023 01:00PM ET,LAC,20.92
WR,Keenan Allen (29564088),Keenan Allen,29564088,FLEX,10000,LAC@TEN 09/17/2023 01:00PM ET,LAC,14.2
WR,Treylon Burks (29564046),Treylon Burks,29564046,CPT,9300,LAC@TEN 09/17/2023 01:00PM ET,TEN,4.7
QB,Will Levis (29564047),Will Levis,29564047,CPT,9000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
QB,Malik Willis (29564048),Malik Willis,29564048,CPT,9000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
QB,Easton Stick (29564049),Easton Stick,29564049,CPT,9000,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
QB,Max Duggan (29564050),Max Duggan,29564050,CPT,9000,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,DeAndre Hopkins (29564089),DeAndre Hopkins,29564089,FLEX,8800,LAC@TEN 09/17/2023 01:00PM ET,TEN,13.5
QB,Ryan Tannehill (29564090),Ryan Tannehill,29564090,FLEX,8600,LAC@TEN 09/17/2023 01:00PM ET,TEN,5.42
TE,Gerald Everett (29564051),Gerald Everett,29564051,CPT,8100,LAC@TEN 09/17/2023 01:00PM ET,LAC,4.3
WR,Mike Williams (29564091),Mike Williams,29564091,FLEX,7800,LAC@TEN 09/17/2023 01:00PM ET,LAC,8.5
RB,Tyjae Spears (29564052),Tyjae Spears,29564052,CPT,7500,LAC@TEN 09/17/2023 01:00PM ET,TEN,3.8
RB,Joshua Kelley (29564092),Joshua Kelley,29564092,FLEX,7200,LAC@TEN 09/17/2023 01:00PM ET,LAC,15.1
TE,Donald Parham Jr. (29564053),Donald Parham Jr.,29564053,CPT,6900,LAC@TEN 09/17/2023 01:00PM ET,LAC,11.1
DST,Chargers  (29564054),Chargers ,29564054,CPT,6600,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
K,Cameron Dicker (29564055),Cameron Dicker,29564055,CPT,6300,LAC@TEN 09/17/2023 01:00PM ET,LAC,12
WR,Treylon Burks (29564093),Treylon Burks,29564093,FLEX,6200,LAC@TEN 09/17/2023 01:00PM ET,TEN,4.7
QB,Will Levis (29564094),Will Levis,29564094,FLEX,6000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
QB,Malik Willis (29564095),Malik Willis,29564095,FLEX,6000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
QB,Easton Stick (29564096),Easton Stick,29564096,FLEX,6000,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
QB,Max Duggan (29564097),Max Duggan,29564097,FLEX,6000,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
K,Cade York (29564056),Cade York,29564056,CPT,6000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
K,Nick Folk (29564057),Nick Folk,29564057,CPT,6000,LAC@TEN 09/17/2023 01:00PM ET,TEN,18
TE,Gerald Everett (29564098),Gerald Everett,29564098,FLEX,5400,LAC@TEN 09/17/2023 01:00PM ET,LAC,4.3
DST,Titans  (29564058),Titans ,29564058,CPT,5100,LAC@TEN 09/17/2023 01:00PM ET,TEN,9
RB,Tyjae Spears (29564099),Tyjae Spears,29564099,FLEX,5000,LAC@TEN 09/17/2023 01:00PM ET,TEN,3.8
TE,Donald Parham Jr. (29564100),Donald Parham Jr.,29564100,FLEX,4600,LAC@TEN 09/17/2023 01:00PM ET,LAC,11.1
WR,Joshua Palmer (29564059),Joshua Palmer,29564059,CPT,4500,LAC@TEN 09/17/2023 01:00PM ET,LAC,1.4
DST,Chargers  (29564101),Chargers ,29564101,FLEX,4400,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
K,Cameron Dicker (29564102),Cameron Dicker,29564102,FLEX,4200,LAC@TEN 09/17/2023 01:00PM ET,LAC,12
TE,Chig Okonkwo (29564060),Chig Okonkwo,29564060,CPT,4200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
K,Cade York (29564103),Cade York,29564103,FLEX,4000,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
K,Nick Folk (29564104),Nick Folk,29564104,FLEX,4000,LAC@TEN 09/17/2023 01:00PM ET,TEN,18
DST,Titans  (29564105),Titans ,29564105,FLEX,3400,LAC@TEN 09/17/2023 01:00PM ET,TEN,9
WR,Joshua Palmer (29564106),Joshua Palmer,29564106,FLEX,3000,LAC@TEN 09/17/2023 01:00PM ET,LAC,1.4
TE,Chig Okonkwo (29564107),Chig Okonkwo,29564107,FLEX,2800,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Nick Westbrook-Ikhine (29564061),Nick Westbrook-Ikhine,29564061,CPT,2700,LAC@TEN 09/17/2023 01:00PM ET,TEN,9.8
WR,Nick Westbrook-Ikhine (29564108),Nick Westbrook-Ikhine,29564108,FLEX,1800,LAC@TEN 09/17/2023 01:00PM ET,TEN,9.8
WR,Quentin Johnston (29564062),Quentin Johnston,29564062,CPT,1800,LAC@TEN 09/17/2023 01:00PM ET,LAC,2.9
WR,Quentin Johnston (29564109),Quentin Johnston,29564109,FLEX,1200,LAC@TEN 09/17/2023 01:00PM ET,LAC,2.9
TE,Trevon Wesco (29564063),Trevon Wesco,29564063,CPT,900,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Trevon Wesco (29564110),Trevon Wesco,29564110,FLEX,600,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Derius Davis (29564064),Derius Davis,29564064,CPT,600,LAC@TEN 09/17/2023 01:00PM ET,LAC,1.5
WR,Derius Davis (29564111),Derius Davis,29564111,FLEX,400,LAC@TEN 09/17/2023 01:00PM ET,LAC,1.5
TE,Stone Smartt (29564065),Stone Smartt,29564065,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Kevin Rader (29564066),Kevin Rader,29564066,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Tre' McKitty (29564067),Tre' McKitty,29564067,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Chris Moore (29564068),Chris Moore,29564068,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Isaiah Spiller (29564069),Isaiah Spiller,29564069,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Terrell Bynum (29564070),Terrell Bynum,29564070,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Tre'Shaun Harrison (29564071),Tre'Shaun Harrison,29564071,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Thomas Odukoya (29564072),Thomas Odukoya,29564072,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Nick Vannett (29564073),Nick Vannett,29564073,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Alex Erickson (29564074),Alex Erickson,29564074,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Hunter Kampmoyer (29564075),Hunter Kampmoyer,29564075,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Keelan Doss (29564076),Keelan Doss,29564076,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Mason Kinsey (29564077),Mason Kinsey,29564077,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Kyle Philips (29564078),Kyle Philips,29564078,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Colton Dowell (29564079),Colton Dowell,29564079,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Kearis Jackson (29564080),Kearis Jackson,29564080,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Hassan Haskins (29564081),Hassan Haskins,29564081,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Elijah Dotson (29564082),Elijah Dotson,29564082,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Josh Whyle (29564083),Josh Whyle,29564083,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Julius Chestnut (29564084),Julius Chestnut,29564084,CPT,300,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Stone Smartt (29564112),Stone Smartt,29564112,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Kevin Rader (29564113),Kevin Rader,29564113,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Tre' McKitty (29564114),Tre' McKitty,29564114,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Chris Moore (29564115),Chris Moore,29564115,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Isaiah Spiller (29564116),Isaiah Spiller,29564116,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Terrell Bynum (29564117),Terrell Bynum,29564117,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Tre'Shaun Harrison (29564118),Tre'Shaun Harrison,29564118,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Thomas Odukoya (29564119),Thomas Odukoya,29564119,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
TE,Nick Vannett (29564120),Nick Vannett,29564120,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Alex Erickson (29564121),Alex Erickson,29564121,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Hunter Kampmoyer (29564122),Hunter Kampmoyer,29564122,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Keelan Doss (29564123),Keelan Doss,29564123,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
WR,Mason Kinsey (29564124),Mason Kinsey,29564124,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Kyle Philips (29564125),Kyle Philips,29564125,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Colton Dowell (29564126),Colton Dowell,29564126,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
WR,Kearis Jackson (29564127),Kearis Jackson,29564127,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Hassan Haskins (29564128),Hassan Haskins,29564128,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Elijah Dotson (29564129),Elijah Dotson,29564129,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,LAC,0
TE,Josh Whyle (29564130),Josh Whyle,29564130,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
RB,Julius Chestnut (29564131),Julius Chestnut,29564131,FLEX,200,LAC@TEN 09/17/2023 01:00PM ET,TEN,0
