Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Stefon Diggs (29564334),Stefon Diggs,29564334,CPT,17700,LV@BUF 09/17/2023 01:00PM ET,BUF,29.2
QB,Josh Allen (29564335),Josh Allen,29564335,CPT,17400,LV@BUF 09/17/2023 01:00PM ET,BUF,13.04
WR,Davante Adams (29564336),Davante Adams,29564336,CPT,16500,LV@BUF 09/17/2023 01:00PM ET,LV,12.6
QB,Jimmy Garoppolo (29564337),Jimmy Garoppolo,29564337,CPT,14100,LV@BUF 09/17/2023 01:00PM ET,LV,16.1
RB,Josh Jacobs (29564338),Josh Jacobs,29564338,CPT,13500,LV@BUF 09/17/2023 01:00PM ET,LV,9.1
WR,Stefon Diggs (29564385),Stefon Diggs,29564385,FLEX,11800,LV@BUF 09/17/2023 01:00PM ET,BUF,29.2
RB,James Cook (29564339),James Cook,29564339,CPT,11700,LV@BUF 09/17/2023 01:00PM ET,BUF,10.3
QB,Josh Allen (29564386),Josh Allen,29564386,FLEX,11600,LV@BUF 09/17/2023 01:00PM ET,BUF,13.04
WR,Davante Adams (29564387),Davante Adams,29564387,FLEX,11000,LV@BUF 09/17/2023 01:00PM ET,LV,12.6
WR,Gabe Davis (29564340),Gabe Davis,29564340,CPT,10800,LV@BUF 09/17/2023 01:00PM ET,BUF,5.2
WR,Jakobi Meyers (29564341),Jakobi Meyers,29564341,CPT,10200,LV@BUF 09/17/2023 01:00PM ET,LV,29.1
QB,Jimmy Garoppolo (29564388),Jimmy Garoppolo,29564388,FLEX,9400,LV@BUF 09/17/2023 01:00PM ET,LV,16.1
RB,Josh Jacobs (29564389),Josh Jacobs,29564389,FLEX,9000,LV@BUF 09/17/2023 01:00PM ET,LV,9.1
QB,Shane Buechele (29564342),Shane Buechele,29564342,CPT,9000,LV@BUF 09/17/2023 01:00PM ET,BUF,0
QB,Aidan O'Connell (29564343),Aidan O'Connell,29564343,CPT,9000,LV@BUF 09/17/2023 01:00PM ET,LV,0
QB,Kyle Allen (29564344),Kyle Allen,29564344,CPT,9000,LV@BUF 09/17/2023 01:00PM ET,BUF,0
QB,Brian Hoyer (29564345),Brian Hoyer,29564345,CPT,9000,LV@BUF 09/17/2023 01:00PM ET,LV,0
RB,Damien Harris (29564346),Damien Harris,29564346,CPT,8100,LV@BUF 09/17/2023 01:00PM ET,BUF,3.9
RB,James Cook (29564390),James Cook,29564390,FLEX,7800,LV@BUF 09/17/2023 01:00PM ET,BUF,10.3
WR,Hunter Renfrow (29564347),Hunter Renfrow,29564347,CPT,7800,LV@BUF 09/17/2023 01:00PM ET,LV,0
TE,Dalton Kincaid (29564348),Dalton Kincaid,29564348,CPT,7500,LV@BUF 09/17/2023 01:00PM ET,BUF,6.6
