Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Austin Ekeler (29929506),Austin Ekeler,29929506,CPT,16200,LV@LAC 10/01/2023 04:05PM ET,LAC,29.4
WR,Keenan Allen (29929507),Keenan Allen,29929507,CPT,15900,LV@LAC 10/01/2023 04:05PM ET,LAC,32.25
WR,Davante Adams (29929508),Davante Adams,29929508,CPT,15600,LV@LAC 10/01/2023 04:05PM ET,LV,26.07
QB,Justin Herbert (29929509),Justin Herbert,29929509,CPT,15300,LV@LAC 10/01/2023 04:05PM ET,LAC,26.14
QB,Jimmy Garoppolo (29929510),Jimmy Garoppolo,29929510,CPT,13800,LV@LAC 10/01/2023 04:05PM ET,LV,16.42
RB,Josh Jacobs (29929511),Josh Jacobs,29929511,CPT,13200,LV@LAC 10/01/2023 04:05PM ET,LV,10
QB,Brian Hoyer (29929512),Brian Hoyer,29929512,CPT,12000,LV@LAC 10/01/2023 04:05PM ET,LV,0
QB,Aidan O'Connell (29929513),Aidan O'Connell,29929513,CPT,12000,LV@LAC 10/01/2023 04:05PM ET,LV,0
WR,Jakobi Meyers (29929514),Jakobi Meyers,29929514,CPT,11100,LV@LAC 10/01/2023 04:05PM ET,LV,22.3
RB,Austin Ekeler (29929557),Austin Ekeler,29929557,FLEX,10800,LV@LAC 10/01/2023 04:05PM ET,LAC,29.4
WR,Keenan Allen (29929558),Keenan Allen,29929558,FLEX,10600,LV@LAC 10/01/2023 04:05PM ET,LAC,32.25
WR,Davante Adams (29929559),Davante Adams,29929559,FLEX,10400,LV@LAC 10/01/2023 04:05PM ET,LV,26.07
QB,Justin Herbert (29929560),Justin Herbert,29929560,FLEX,10200,LV@LAC 10/01/2023 04:05PM ET,LAC,26.14
WR,Joshua Palmer (29929515),Joshua Palmer,29929515,CPT,9900,LV@LAC 10/01/2023 04:05PM ET,LAC,7.1
QB,Jimmy Garoppolo (29929561),Jimmy Garoppolo,29929561,FLEX,9200,LV@LAC 10/01/2023 04:05PM ET,LV,16.42
QB,Easton Stick (29929516),Easton Stick,29929516,CPT,9000,LV@LAC 10/01/2023 04:05PM ET,LAC,0
QB,Max Duggan (29929517),Max Duggan,29929517,CPT,9000,LV@LAC 10/01/2023 04:05PM ET,LAC,0
RB,Josh Jacobs (29929562),Josh Jacobs,29929562,FLEX,8800,LV@LAC 10/01/2023 04:05PM ET,LV,10
RB,Joshua Kelley (29929518),Joshua Kelley,29929518,CPT,8100,LV@LAC 10/01/2023 04:05PM ET,LAC,7.23
QB,Brian Hoyer (29929563),Brian Hoyer,29929563,FLEX,8000,LV@LAC 10/01/2023 04:05PM ET,LV,0
QB,Aidan O'Connell (29929564),Aidan O'Connell,29929564,FLEX,8000,LV@LAC 10/01/2023 04:05PM ET,LV,0
WR,Quentin Johnston (29929519),Quentin Johnston,29929519,CPT,7800,LV@LAC 10/01/2023 04:05PM ET,LAC,2.53
TE,Gerald Everett (29929520),Gerald Everett,29929520,CPT,7500,LV@LAC 10/01/2023 04:05PM ET,LAC,7
WR,Jakobi Meyers (29929565),Jakobi Meyers,29929565,FLEX,7400,LV@LAC 10/01/2023 04:05PM ET,LV,22.3
K,Cameron Dicker (29929521),Cameron Dicker,29929521,CPT,7200,LV@LAC 10/01/2023 04:05PM ET,LAC,8.67
K,Daniel Carlson (29929522),Daniel Carlson,29929522,CPT,6900,LV@LAC 10/01/2023 04:05PM ET,LV,4.67
WR,Joshua Palmer (29929566),Joshua Palmer,29929566,FLEX,6600,LV@LAC 10/01/2023 04:05PM ET,LAC,7.1
DST,Chargers  (29929523),Chargers ,29929523,CPT,6600,LV@LAC 10/01/2023 04:05PM ET,LAC,4.33
QB,Easton Stick (29929567),Easton Stick,29929567,FLEX,6000,LV@LAC 10/01/2023 04:05PM ET,LAC,0
QB,Max Duggan (29929568),Max Duggan,29929568,FLEX,6000,LV@LAC 10/01/2023 04:05PM ET,LAC,0
TE,Donald Parham Jr. (29929524),Donald Parham Jr.,29929524,CPT,6000,LV@LAC 10/01/2023 04:05PM ET,LAC,9.07
RB,Joshua Kelley (29929569),Joshua Kelley,29929569,FLEX,5400,LV@LAC 10/01/2023 04:05PM ET,LAC,7.23
WR,Quentin Johnston (29929570),Quentin Johnston,29929570,FLEX,5200,LV@LAC 10/01/2023 04:05PM ET,LAC,2.53
DST,Raiders  (29929525),Raiders ,29929525,CPT,5100,LV@LAC 10/01/2023 04:05PM ET,LV,0.67
TE,Gerald Everett (29929571),Gerald Everett,29929571,FLEX,5000,LV@LAC 10/01/2023 04:05PM ET,LAC,7
K,Cameron Dicker (29929572),Cameron Dicker,29929572,FLEX,4800,LV@LAC 10/01/2023 04:05PM ET,LAC,8.67
K,Daniel Carlson (29929573),Daniel Carlson,29929573,FLEX,4600,LV@LAC 10/01/2023 04:05PM ET,LV,4.67
