Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Chris Olave (29726696),Chris Olave,29726696,CPT,16500,NO@GB 09/24/2023 01:00PM ET,NO,18.4
RB,Aaron Jones (29726697),Aaron Jones,29726697,CPT,16200,NO@GB 09/24/2023 01:00PM ET,GB,26.7
QB,Jordan Love (29726698),Jordan Love,29726698,CPT,15000,NO@GB 09/24/2023 01:00PM ET,GB,21.67
QB,Derek Carr (29726699),Derek Carr,29726699,CPT,14700,NO@GB 09/24/2023 01:00PM ET,NO,13.16
WR,Christian Watson (29726700),Christian Watson,29726700,CPT,13500,NO@GB 09/24/2023 01:00PM ET,GB,0
RB,Jamaal Williams (29726701),Jamaal Williams,29726701,CPT,12900,NO@GB 09/24/2023 01:00PM ET,NO,5.05
WR,Michael Thomas (29726702),Michael Thomas,29726702,CPT,12600,NO@GB 09/24/2023 01:00PM ET,NO,11.8
WR,Romeo Doubs (29726703),Romeo Doubs,29726703,CPT,12000,NO@GB 09/24/2023 01:00PM ET,GB,11.8
RB,AJ Dillon (29726704),AJ Dillon,29726704,CPT,11700,NO@GB 09/24/2023 01:00PM ET,GB,6.45
WR,Chris Olave (29726645),Chris Olave,29726645,FLEX,11000,NO@GB 09/24/2023 01:00PM ET,NO,18.4
RB,Aaron Jones (29726646),Aaron Jones,29726646,FLEX,10800,NO@GB 09/24/2023 01:00PM ET,GB,26.7
RB,Tony Jones Jr. (29726705),Tony Jones Jr.,29726705,CPT,10800,NO@GB 09/24/2023 01:00PM ET,NO,7.95
WR,Rashid Shaheed (29726706),Rashid Shaheed,29726706,CPT,10200,NO@GB 09/24/2023 01:00PM ET,NO,15.15
QB,Jordan Love (29726647),Jordan Love,29726647,FLEX,10000,NO@GB 09/24/2023 01:00PM ET,GB,21.67
QB,Derek Carr (29726648),Derek Carr,29726648,FLEX,9800,NO@GB 09/24/2023 01:00PM ET,NO,13.16
TE,Taysom Hill (29726707),Taysom Hill,29726707,CPT,9600,NO@GB 09/24/2023 01:00PM ET,NO,4.56
WR,Christian Watson (29726649),Christian Watson,29726649,FLEX,9000,NO@GB 09/24/2023 01:00PM ET,GB,0
QB,Alex McGough (29726708),Alex McGough,29726708,CPT,9000,NO@GB 09/24/2023 01:00PM ET,GB,0
QB,Jake Haener (29726709),Jake Haener,29726709,CPT,9000,NO@GB 09/24/2023 01:00PM ET,NO,0
QB,Sean Clifford (29726710),Sean Clifford,29726710,CPT,9000,NO@GB 09/24/2023 01:00PM ET,GB,0
QB,Jameis Winston (29726711),Jameis Winston,29726711,CPT,9000,NO@GB 09/24/2023 01:00PM ET,NO,0
WR,Jayden Reed (29726712),Jayden Reed,29726712,CPT,8700,NO@GB 09/24/2023 01:00PM ET,GB,13.15
RB,Jamaal Williams (29726650),Jamaal Williams,29726650,FLEX,8600,NO@GB 09/24/2023 01:00PM ET,NO,5.05
