Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (29582218),Saquon Barkley,29582218,CPT,18000,NYG@ARI 09/17/2023 04:05PM ET,NYG,9.3
QB,Daniel Jones (29582219),Daniel Jones,29582219,CPT,15000,NYG@ARI 09/17/2023 04:05PM ET,NYG,6.46
RB,James Conner (29582220),James Conner,29582220,CPT,14700,NYG@ARI 09/17/2023 04:05PM ET,ARI,12
TE,Darren Waller (29582221),Darren Waller,29582221,CPT,14100,NYG@ARI 09/17/2023 04:05PM ET,NYG,6.6
QB,Joshua Dobbs (29582222),Joshua Dobbs,29582222,CPT,13200,NYG@ARI 09/17/2023 04:05PM ET,ARI,2.98
RB,Saquon Barkley (29582267),Saquon Barkley,29582267,FLEX,12000,NYG@ARI 09/17/2023 04:05PM ET,NYG,9.3
WR,Marquise Brown (29582223),Marquise Brown,29582223,CPT,12000,NYG@ARI 09/17/2023 04:05PM ET,ARI,8.7
WR,Isaiah Hodgins (29582224),Isaiah Hodgins,29582224,CPT,10800,NYG@ARI 09/17/2023 04:05PM ET,NYG,2.4
QB,Daniel Jones (29582268),Daniel Jones,29582268,FLEX,10000,NYG@ARI 09/17/2023 04:05PM ET,NYG,6.46
RB,James Conner (29582269),James Conner,29582269,FLEX,9800,NYG@ARI 09/17/2023 04:05PM ET,ARI,12
WR,Darius Slayton (29582225),Darius Slayton,29582225,CPT,9600,NYG@ARI 09/17/2023 04:05PM ET,NYG,4.5
TE,Darren Waller (29582270),Darren Waller,29582270,FLEX,9400,NYG@ARI 09/17/2023 04:05PM ET,NYG,6.6
QB,Tyrod Taylor (29582226),Tyrod Taylor,29582226,CPT,9000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0.24
QB,Jeff Driskel (29582227),Jeff Driskel,29582227,CPT,9000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
QB,Clayton Tune (29582228),Clayton Tune,29582228,CPT,9000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
QB,Tommy DeVito (29582229),Tommy DeVito,29582229,CPT,9000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
QB,Kyler Murray (29582230),Kyler Murray,29582230,CPT,9000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
QB,Joshua Dobbs (29582271),Joshua Dobbs,29582271,FLEX,8800,NYG@ARI 09/17/2023 04:05PM ET,ARI,2.98
RB,Matt Breida (29582231),Matt Breida,29582231,CPT,8700,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.6
TE,Zach Ertz (29582232),Zach Ertz,29582232,CPT,8400,NYG@ARI 09/17/2023 04:05PM ET,ARI,8.1
WR,Rondale Moore (29582233),Rondale Moore,29582233,CPT,8100,NYG@ARI 09/17/2023 04:05PM ET,ARI,7.5
WR,Marquise Brown (29582272),Marquise Brown,29582272,FLEX,8000,NYG@ARI 09/17/2023 04:05PM ET,ARI,8.7
DST,Giants  (29582234),Giants ,29582234,CPT,7800,NYG@ARI 09/17/2023 04:05PM ET,NYG,-1
WR,Isaiah Hodgins (29582273),Isaiah Hodgins,29582273,FLEX,7200,NYG@ARI 09/17/2023 04:05PM ET,NYG,2.4
DST,Cardinals  (29582235),Cardinals ,29582235,CPT,6600,NYG@ARI 09/17/2023 04:05PM ET,ARI,19
WR,Darius Slayton (29582274),Darius Slayton,29582274,FLEX,6400,NYG@ARI 09/17/2023 04:05PM ET,NYG,4.5
K,Matt Prater (29582236),Matt Prater,29582236,CPT,6300,NYG@ARI 09/17/2023 04:05PM ET,ARI,12
QB,Tyrod Taylor (29582275),Tyrod Taylor,29582275,FLEX,6000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0.24
QB,Jeff Driskel (29582276),Jeff Driskel,29582276,FLEX,6000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
QB,Clayton Tune (29582277),Clayton Tune,29582277,FLEX,6000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
QB,Tommy DeVito (29582278),Tommy DeVito,29582278,FLEX,6000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
QB,Kyler Murray (29582279),Kyler Murray,29582279,FLEX,6000,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
K,Graham Gano (29582237),Graham Gano,29582237,CPT,6000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
RB,Matt Breida (29582280),Matt Breida,29582280,FLEX,5800,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.6
WR,Parris Campbell (29582238),Parris Campbell,29582238,CPT,5700,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.2
TE,Zach Ertz (29582281),Zach Ertz,29582281,FLEX,5600,NYG@ARI 09/17/2023 04:05PM ET,ARI,8.1
WR,Rondale Moore (29582282),Rondale Moore,29582282,FLEX,5400,NYG@ARI 09/17/2023 04:05PM ET,ARI,7.5
DST,Giants  (29582283),Giants ,29582283,FLEX,5200,NYG@ARI 09/17/2023 04:05PM ET,NYG,-1
WR,Michael Wilson (29582239),Michael Wilson,29582239,CPT,4500,NYG@ARI 09/17/2023 04:05PM ET,ARI,3.9
DST,Cardinals  (29582284),Cardinals ,29582284,FLEX,4400,NYG@ARI 09/17/2023 04:05PM ET,ARI,19
K,Matt Prater (29582285),Matt Prater,29582285,FLEX,4200,NYG@ARI 09/17/2023 04:05PM ET,ARI,12
K,Graham Gano (29582286),Graham Gano,29582286,FLEX,4000,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
WR,Parris Campbell (29582287),Parris Campbell,29582287,FLEX,3800,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.2
WR,Jalin Hyatt (29582240),Jalin Hyatt,29582240,CPT,3300,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
WR,Michael Wilson (29582288),Michael Wilson,29582288,FLEX,3000,NYG@ARI 09/17/2023 04:05PM ET,ARI,3.9
RB,Gary Brightwell (29582241),Gary Brightwell,29582241,CPT,2400,NYG@ARI 09/17/2023 04:05PM ET,NYG,3.1
WR,Jalin Hyatt (29582289),Jalin Hyatt,29582289,FLEX,2200,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
TE,Trey McBride (29582242),Trey McBride,29582242,CPT,2100,NYG@ARI 09/17/2023 04:05PM ET,ARI,4.3
RB,Gary Brightwell (29582290),Gary Brightwell,29582290,FLEX,1600,NYG@ARI 09/17/2023 04:05PM ET,NYG,3.1
TE,Daniel Bellinger (29582243),Daniel Bellinger,29582243,CPT,1500,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.1
TE,Trey McBride (29582291),Trey McBride,29582291,FLEX,1400,NYG@ARI 09/17/2023 04:05PM ET,ARI,4.3
RB,Keaontay Ingram (29582244),Keaontay Ingram,29582244,CPT,1200,NYG@ARI 09/17/2023 04:05PM ET,ARI,-0.4
TE,Daniel Bellinger (29582292),Daniel Bellinger,29582292,FLEX,1000,NYG@ARI 09/17/2023 04:05PM ET,NYG,1.1
RB,Keaontay Ingram (29582293),Keaontay Ingram,29582293,FLEX,800,NYG@ARI 09/17/2023 04:05PM ET,ARI,-0.4
RB,Taiwan Jones (29582245),Taiwan Jones,29582245,CPT,300,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
RB,Eric Gray (29582246),Eric Gray,29582246,CPT,300,NYG@ARI 09/17/2023 04:05PM ET,NYG,0
WR,Daniel Arias (29582247),Daniel Arias,29582247,CPT,300,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
WR,Greg Dortch (29582248),Greg Dortch,29582248,CPT,300,NYG@ARI 09/17/2023 04:05PM ET,ARI,0
