Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Tyreek Hill (30072736),Tyreek Hill,30072736,CPT,17400,NYG@MIA 10/08/2023 01:00PM ET,MIA,26.6
QB,Tua Tagovailoa (30072737),Tua Tagovailoa,30072737,CPT,16500,NYG@MIA 10/08/2023 01:00PM ET,MIA,22.94
RB,Saquon Barkley (30072738),Saquon Barkley,30072738,CPT,15600,NYG@MIA 10/08/2023 01:00PM ET,NYG,18.25
RB,De'Von Achane (30072739),De'Von Achane,30072739,CPT,14700,NYG@MIA 10/08/2023 01:00PM ET,MIA,28.73
QB,Daniel Jones (30072740),Daniel Jones,30072740,CPT,14100,NYG@MIA 10/08/2023 01:00PM ET,NYG,14.48
WR,Jaylen Waddle (30072741),Jaylen Waddle,30072741,CPT,13500,NYG@MIA 10/08/2023 01:00PM ET,MIA,10.93
RB,Raheem Mostert (30072742),Raheem Mostert,30072742,CPT,11700,NYG@MIA 10/08/2023 01:00PM ET,MIA,23.35
WR,Tyreek Hill (30072787),Tyreek Hill,30072787,FLEX,11600,NYG@MIA 10/08/2023 01:00PM ET,MIA,26.6
QB,Tua Tagovailoa (30072788),Tua Tagovailoa,30072788,FLEX,11000,NYG@MIA 10/08/2023 01:00PM ET,MIA,22.94
RB,Saquon Barkley (30072789),Saquon Barkley,30072789,FLEX,10400,NYG@MIA 10/08/2023 01:00PM ET,NYG,18.25
RB,De'Von Achane (30072790),De'Von Achane,30072790,FLEX,9800,NYG@MIA 10/08/2023 01:00PM ET,MIA,28.73
TE,Darren Waller (30072743),Darren Waller,30072743,CPT,9600,NYG@MIA 10/08/2023 01:00PM ET,NYG,7.58
QB,Daniel Jones (30072791),Daniel Jones,30072791,FLEX,9400,NYG@MIA 10/08/2023 01:00PM ET,NYG,14.48
WR,Jaylen Waddle (30072792),Jaylen Waddle,30072792,FLEX,9000,NYG@MIA 10/08/2023 01:00PM ET,MIA,10.93
QB,Tommy DeVito (30072744),Tommy DeVito,30072744,CPT,9000,NYG@MIA 10/08/2023 01:00PM ET,NYG,0
QB,Mike White (30072745),Mike White,30072745,CPT,9000,NYG@MIA 10/08/2023 01:00PM ET,MIA,6.58
QB,Tyrod Taylor (30072746),Tyrod Taylor,30072746,CPT,9000,NYG@MIA 10/08/2023 01:00PM ET,NYG,0.15
QB,Skylar Thompson (30072747),Skylar Thompson,30072747,CPT,9000,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
RB,Matt Breida (30072748),Matt Breida,30072748,CPT,8400,NYG@MIA 10/08/2023 01:00PM ET,NYG,6.42
RB,Raheem Mostert (30072793),Raheem Mostert,30072793,FLEX,7800,NYG@MIA 10/08/2023 01:00PM ET,MIA,23.35
DST,Dolphins  (30072749),Dolphins ,30072749,CPT,7800,NYG@MIA 10/08/2023 01:00PM ET,MIA,4.25
K,Jason Sanders (30072750),Jason Sanders,30072750,CPT,7500,NYG@MIA 10/08/2023 01:00PM ET,MIA,8
WR,Wan'Dale Robinson (30072751),Wan'Dale Robinson,30072751,CPT,7200,NYG@MIA 10/08/2023 01:00PM ET,NYG,7.9
WR,Braxton Berrios (30072752),Braxton Berrios,30072752,CPT,6900,NYG@MIA 10/08/2023 01:00PM ET,MIA,8.68
K,Graham Gano (30072753),Graham Gano,30072753,CPT,6600,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.25
TE,Darren Waller (30072794),Darren Waller,30072794,FLEX,6400,NYG@MIA 10/08/2023 01:00PM ET,NYG,7.58
WR,Darius Slayton (30072754),Darius Slayton,30072754,CPT,6300,NYG@MIA 10/08/2023 01:00PM ET,NYG,6.05
QB,Tommy DeVito (30072795),Tommy DeVito,30072795,FLEX,6000,NYG@MIA 10/08/2023 01:00PM ET,NYG,0
QB,Mike White (30072796),Mike White,30072796,FLEX,6000,NYG@MIA 10/08/2023 01:00PM ET,MIA,6.58
QB,Tyrod Taylor (30072797),Tyrod Taylor,30072797,FLEX,6000,NYG@MIA 10/08/2023 01:00PM ET,NYG,0.15
QB,Skylar Thompson (30072798),Skylar Thompson,30072798,FLEX,6000,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
TE,Durham Smythe (30072755),Durham Smythe,30072755,CPT,6000,NYG@MIA 10/08/2023 01:00PM ET,MIA,5.82
RB,Matt Breida (30072799),Matt Breida,30072799,FLEX,5600,NYG@MIA 10/08/2023 01:00PM ET,NYG,6.42
DST,Dolphins  (30072800),Dolphins ,30072800,FLEX,5200,NYG@MIA 10/08/2023 01:00PM ET,MIA,4.25
K,Jason Sanders (30072801),Jason Sanders,30072801,FLEX,5000,NYG@MIA 10/08/2023 01:00PM ET,MIA,8
WR,Wan'Dale Robinson (30072802),Wan'Dale Robinson,30072802,FLEX,4800,NYG@MIA 10/08/2023 01:00PM ET,NYG,7.9
DST,Giants  (30072756),Giants ,30072756,CPT,4800,NYG@MIA 10/08/2023 01:00PM ET,NYG,0.5
WR,Braxton Berrios (30072803),Braxton Berrios,30072803,FLEX,4600,NYG@MIA 10/08/2023 01:00PM ET,MIA,8.68
K,Graham Gano (30072804),Graham Gano,30072804,FLEX,4400,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.25
WR,Darius Slayton (30072805),Darius Slayton,30072805,FLEX,4200,NYG@MIA 10/08/2023 01:00PM ET,NYG,6.05
WR,Isaiah Hodgins (30072757),Isaiah Hodgins,30072757,CPT,4200,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.45
TE,Durham Smythe (30072806),Durham Smythe,30072806,FLEX,4000,NYG@MIA 10/08/2023 01:00PM ET,MIA,5.82
RB,Gary Brightwell (30072758),Gary Brightwell,30072758,CPT,3300,NYG@MIA 10/08/2023 01:00PM ET,NYG,2.9
DST,Giants  (30072807),Giants ,30072807,FLEX,3200,NYG@MIA 10/08/2023 01:00PM ET,NYG,0.5
WR,Isaiah Hodgins (30072808),Isaiah Hodgins,30072808,FLEX,2800,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.45
WR,Jalin Hyatt (30072759),Jalin Hyatt,30072759,CPT,2400,NYG@MIA 10/08/2023 01:00PM ET,NYG,3.48
RB,Gary Brightwell (30072809),Gary Brightwell,30072809,FLEX,2200,NYG@MIA 10/08/2023 01:00PM ET,NYG,2.9
WR,Parris Campbell (30072760),Parris Campbell,30072760,CPT,2100,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.05
WR,Jalin Hyatt (30072810),Jalin Hyatt,30072810,FLEX,1600,NYG@MIA 10/08/2023 01:00PM ET,NYG,3.48
WR,Parris Campbell (30072811),Parris Campbell,30072811,FLEX,1400,NYG@MIA 10/08/2023 01:00PM ET,NYG,5.05
WR,Cedrick Wilson Jr. (30072761),Cedrick Wilson Jr.,30072761,CPT,1200,NYG@MIA 10/08/2023 01:00PM ET,MIA,1.3
RB,Alec Ingold (30072762),Alec Ingold,30072762,CPT,900,NYG@MIA 10/08/2023 01:00PM ET,MIA,2.18
WR,Cedrick Wilson Jr. (30072812),Cedrick Wilson Jr.,30072812,FLEX,800,NYG@MIA 10/08/2023 01:00PM ET,MIA,1.3
RB,Alec Ingold (30072813),Alec Ingold,30072813,FLEX,600,NYG@MIA 10/08/2023 01:00PM ET,MIA,2.18
RB,Salvon Ahmed (30072763),Salvon Ahmed,30072763,CPT,600,NYG@MIA 10/08/2023 01:00PM ET,MIA,2.73
RB,Salvon Ahmed (30072814),Salvon Ahmed,30072814,FLEX,400,NYG@MIA 10/08/2023 01:00PM ET,MIA,2.73
RB,Jeff Wilson Jr. (30072764),Jeff Wilson Jr.,30072764,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
WR,Robbie Chosen (30072765),Robbie Chosen,30072765,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,6.9
TE,Ryan Jones (30072766),Ryan Jones,30072766,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,0
RB,Chris Brooks (30072767),Chris Brooks,30072767,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,1.65
WR,River Cracraft (30072768),River Cracraft,30072768,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,6.9
TE,Lawrence Cager (30072769),Lawrence Cager,30072769,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,1.23
TE,Daniel Bellinger (30072770),Daniel Bellinger,30072770,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,1.12
WR,Sterling Shepard (30072771),Sterling Shepard,30072771,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,0.75
TE,Elijah Higgins (30072772),Elijah Higgins,30072772,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
RB,Taiwan Jones (30072773),Taiwan Jones,30072773,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,0
WR,Cam Sims (30072774),Cam Sims,30072774,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,NYG,0
TE,Nick Bowers (30072775),Nick Bowers,30072775,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
WR,Raleigh Webb (30072776),Raleigh Webb,30072776,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
WR,Braylon Sanders (30072777),Braylon Sanders,30072777,CPT,300,NYG@MIA 10/08/2023 01:00PM ET,MIA,0
