Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Tony Pollard (29582499),Tony Pollard,29582499,CPT,16800,NYJ@DAL 09/17/2023 04:25PM ET,DAL,22.2
WR,CeeDee Lamb (29582500),CeeDee Lamb,29582500,CPT,16200,NYJ@DAL 09/17/2023 04:25PM ET,DAL,11.7
QB,Dak Prescott (29582501),Dak Prescott,29582501,CPT,15000,NYJ@DAL 09/17/2023 04:25PM ET,DAL,6.32
WR,Garrett Wilson (29582502),Garrett Wilson,29582502,CPT,14100,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,14.4
QB,Zach Wilson (29582503),Zach Wilson,29582503,CPT,13200,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,9.2
RB,Breece Hall (29582504),Breece Hall,29582504,CPT,12000,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,18.7
RB,Dalvin Cook (29582505),Dalvin Cook,29582505,CPT,11700,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,8.9
RB,Tony Pollard (29582549),Tony Pollard,29582549,FLEX,11200,NYJ@DAL 09/17/2023 04:25PM ET,DAL,22.2
WR,CeeDee Lamb (29582550),CeeDee Lamb,29582550,FLEX,10800,NYJ@DAL 09/17/2023 04:25PM ET,DAL,11.7
QB,Dak Prescott (29582551),Dak Prescott,29582551,FLEX,10000,NYJ@DAL 09/17/2023 04:25PM ET,DAL,6.32
WR,Brandin Cooks (29582506),Brandin Cooks,29582506,CPT,9600,NYJ@DAL 09/17/2023 04:25PM ET,DAL,4.2
WR,Garrett Wilson (29582552),Garrett Wilson,29582552,FLEX,9400,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,14.4
WR,Allen Lazard (29582507),Allen Lazard,29582507,CPT,9300,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,6.6
QB,Aaron Rodgers (29582508),Aaron Rodgers,29582508,CPT,9000,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,0
QB,Tim Boyle (29582509),Tim Boyle,29582509,CPT,9000,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,0
QB,Trey Lance (29582510),Trey Lance,29582510,CPT,9000,NYJ@DAL 09/17/2023 04:25PM ET,DAL,0
QB,Cooper Rush (29582511),Cooper Rush,29582511,CPT,9000,NYJ@DAL 09/17/2023 04:25PM ET,DAL,0
QB,Zach Wilson (29582553),Zach Wilson,29582553,FLEX,8800,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,9.2
DST,Cowboys  (29582512),Cowboys ,29582512,CPT,8700,NYJ@DAL 09/17/2023 04:25PM ET,DAL,37
RB,Breece Hall (29582554),Breece Hall,29582554,FLEX,8000,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,18.7
RB,Dalvin Cook (29582555),Dalvin Cook,29582555,FLEX,7800,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,8.9
TE,Jake Ferguson (29582513),Jake Ferguson,29582513,CPT,7800,NYJ@DAL 09/17/2023 04:25PM ET,DAL,3.1
WR,Michael Gallup (29582514),Michael Gallup,29582514,CPT,7500,NYJ@DAL 09/17/2023 04:25PM ET,DAL,2
TE,Tyler Conklin (29582515),Tyler Conklin,29582515,CPT,6600,NYJ@DAL 09/17/2023 04:25PM ET,NYJ,1.2
WR,Brandin Cooks (29582556),Brandin Cooks,29582556,FLEX,6400,NYJ@DAL 09/17/2023 04:25PM ET,DAL,4.2
