Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Garrett Wilson (30087298),Garrett Wilson,30087298,CPT,15600,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,13.88
QB,Russell Wilson (30087299),Russell Wilson,30087299,CPT,15000,NYJ@DEN 10/08/2023 04:25PM ET,DEN,21.64
WR,Jerry Jeudy (30087300),Jerry Jeudy,30087300,CPT,14400,NYJ@DEN 10/08/2023 04:25PM ET,DEN,8.93
QB,Zach Wilson (30087301),Zach Wilson,30087301,CPT,14100,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,11.80
RB,Breece Hall (30087302),Breece Hall,30087302,CPT,12900,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,8.3
WR,Courtland Sutton (30087303),Courtland Sutton,30087303,CPT,12300,NYJ@DEN 10/08/2023 04:25PM ET,DEN,14.4
RB,Javonte Williams (30087304),Javonte Williams,30087304,CPT,11700,NYJ@DEN 10/08/2023 04:25PM ET,DEN,7.48
WR,Garrett Wilson (30087350),Garrett Wilson,30087350,FLEX,10400,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,13.88
QB,Russell Wilson (30087351),Russell Wilson,30087351,FLEX,10000,NYJ@DEN 10/08/2023 04:25PM ET,DEN,21.64
WR,Jerry Jeudy (30087352),Jerry Jeudy,30087352,FLEX,9600,NYJ@DEN 10/08/2023 04:25PM ET,DEN,8.93
WR,Marvin Mims Jr. (30087305),Marvin Mims Jr.,30087305,CPT,9600,NYJ@DEN 10/08/2023 04:25PM ET,DEN,12.38
QB,Zach Wilson (30087353),Zach Wilson,30087353,FLEX,9400,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,11.80
RB,Jaleel McLaughlin (30087306),Jaleel McLaughlin,30087306,CPT,9300,NYJ@DEN 10/08/2023 04:25PM ET,DEN,6.92
QB,Aaron Rodgers (30087307),Aaron Rodgers,30087307,CPT,9000,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,0
QB,Trevor Siemian (30087308),Trevor Siemian,30087308,CPT,9000,NYJ@DEN 10/08/2023 04:25PM ET,NYJ,0
