Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jalen Hurts (30087208),Jalen Hurts,30087208,CPT,17400,PHI@LAR 10/08/2023 04:05PM ET,PHI,22.19
WR,Cooper Kupp (30087209),Cooper Kupp,30087209,CPT,16500,PHI@LAR 10/08/2023 04:05PM ET,LAR,0
WR,Puka Nacua (30087210),Puka Nacua,30087210,CPT,15300,PHI@LAR 10/08/2023 04:05PM ET,LAR,26.12
WR,A.J. Brown (30087211),A.J. Brown,30087211,CPT,15000,PHI@LAR 10/08/2023 04:05PM ET,PHI,22.1
QB,Matthew Stafford (30087212),Matthew Stafford,30087212,CPT,14700,PHI@LAR 10/08/2023 04:05PM ET,LAR,17.52
WR,DeVonta Smith (30087213),DeVonta Smith,30087213,CPT,14100,PHI@LAR 10/08/2023 04:05PM ET,PHI,16.35
RB,Kyren Williams (30087214),Kyren Williams,30087214,CPT,12900,PHI@LAR 10/08/2023 04:05PM ET,LAR,21.15
RB,D'Andre Swift (30087215),D'Andre Swift,30087215,CPT,11700,PHI@LAR 10/08/2023 04:05PM ET,PHI,16.78
QB,Jalen Hurts (30087253),Jalen Hurts,30087253,FLEX,11600,PHI@LAR 10/08/2023 04:05PM ET,PHI,22.19
WR,Cooper Kupp (30087254),Cooper Kupp,30087254,FLEX,11000,PHI@LAR 10/08/2023 04:05PM ET,LAR,0
WR,Puka Nacua (30087255),Puka Nacua,30087255,FLEX,10200,PHI@LAR 10/08/2023 04:05PM ET,LAR,26.12
WR,A.J. Brown (30087256),A.J. Brown,30087256,FLEX,10000,PHI@LAR 10/08/2023 04:05PM ET,PHI,22.1
QB,Matthew Stafford (30087257),Matthew Stafford,30087257,FLEX,9800,PHI@LAR 10/08/2023 04:05PM ET,LAR,17.52
WR,Tutu Atwell (30087216),Tutu Atwell,30087216,CPT,9600,PHI@LAR 10/08/2023 04:05PM ET,LAR,15.18
WR,DeVonta Smith (30087258),DeVonta Smith,30087258,FLEX,9400,PHI@LAR 10/08/2023 04:05PM ET,PHI,16.35
QB,Brett Rypien (30087217),Brett Rypien,30087217,CPT,9000,PHI@LAR 10/08/2023 04:05PM ET,LAR,0
QB,Tanner McKee (30087218),Tanner McKee,30087218,CPT,9000,PHI@LAR 10/08/2023 04:05PM ET,PHI,0
QB,Marcus Mariota (30087219),Marcus Mariota,30087219,CPT,9000,PHI@LAR 10/08/2023 04:05PM ET,PHI,0
RB,Kyren Williams (30087259),Kyren Williams,30087259,FLEX,8600,PHI@LAR 10/08/2023 04:05PM ET,LAR,21.15
TE,Dallas Goedert (30087220),Dallas Goedert,30087220,CPT,8100,PHI@LAR 10/08/2023 04:05PM ET,PHI,5.45
RB,D'Andre Swift (30087260),D'Andre Swift,30087260,FLEX,7800,PHI@LAR 10/08/2023 04:05PM ET,PHI,16.78
RB,Ronnie Rivers (30087221),Ronnie Rivers,30087221,CPT,7800,PHI@LAR 10/08/2023 04:05PM ET,LAR,2.28
TE,Tyler Higbee (30087222),Tyler Higbee,30087222,CPT,7500,PHI@LAR 10/08/2023 04:05PM ET,LAR,8.9
DST,Eagles  (30087223),Eagles ,30087223,CPT,7200,PHI@LAR 10/08/2023 04:05PM ET,PHI,9.5
RB,Kenneth Gainwell (30087224),Kenneth Gainwell,30087224,CPT,6900,PHI@LAR 10/08/2023 04:05PM ET,PHI,7.77
K,Jake Elliott (30087225),Jake Elliott,30087225,CPT,6600,PHI@LAR 10/08/2023 04:05PM ET,PHI,14.75
WR,Tutu Atwell (30087261),Tutu Atwell,30087261,FLEX,6400,PHI@LAR 10/08/2023 04:05PM ET,LAR,15.18
QB,Brett Rypien (30087262),Brett Rypien,30087262,FLEX,6000,PHI@LAR 10/08/2023 04:05PM ET,LAR,0
