Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jalen Hurts (29368885),Jalen Hurts,29368885,CPT,17100,PHI@NE 09/10/2023 04:25PM ET,PHI,26.92
WR,A.J. Brown (29368886),A.J. Brown,29368886,CPT,16200,PHI@NE 09/10/2023 04:25PM ET,PHI,17.51
WR,DeVonta Smith (29368887),DeVonta Smith,29368887,CPT,14700,PHI@NE 09/10/2023 04:25PM ET,PHI,15.72
QB,Mac Jones (29368888),Mac Jones,29368888,CPT,14100,PHI@NE 09/10/2023 04:25PM ET,NE,13.43
RB,Rhamondre Stevenson (29368889),Rhamondre Stevenson,29368889,CPT,12600,PHI@NE 09/10/2023 04:25PM ET,NE,15.06
TE,Dallas Goedert (29368890),Dallas Goedert,29368890,CPT,12000,PHI@NE 09/10/2023 04:25PM ET,PHI,12.09
QB,Jalen Hurts (29368933),Jalen Hurts,29368933,FLEX,11400,PHI@NE 09/10/2023 04:25PM ET,PHI,26.92
RB,D'Andre Swift (29368891),D'Andre Swift,29368891,CPT,11400,PHI@NE 09/10/2023 04:25PM ET,PHI,13.86
WR,A.J. Brown (29368934),A.J. Brown,29368934,FLEX,10800,PHI@NE 09/10/2023 04:25PM ET,PHI,17.51
RB,Ezekiel Elliott (29368892),Ezekiel Elliott,29368892,CPT,9900,PHI@NE 09/10/2023 04:25PM ET,NE,11.51
WR,DeVonta Smith (29368935),DeVonta Smith,29368935,FLEX,9800,PHI@NE 09/10/2023 04:25PM ET,PHI,15.72
QB,Mac Jones (29368936),Mac Jones,29368936,FLEX,9400,PHI@NE 09/10/2023 04:25PM ET,NE,13.43
WR,JuJu Smith-Schuster (29368893),JuJu Smith-Schuster,29368893,CPT,9300,PHI@NE 09/10/2023 04:25PM ET,NE,11.17
QB,Malik Cunningham (29368894),Malik Cunningham,29368894,CPT,9000,PHI@NE 09/10/2023 04:25PM ET,NE,0
QB,Marcus Mariota (29368895),Marcus Mariota,29368895,CPT,9000,PHI@NE 09/10/2023 04:25PM ET,PHI,16.04
QB,Bailey Zappe (29368896),Bailey Zappe,29368896,CPT,9000,PHI@NE 09/10/2023 04:25PM ET,NE,12.16
QB,Tanner McKee (29368897),Tanner McKee,29368897,CPT,9000,PHI@NE 09/10/2023 04:25PM ET,PHI,0
QB,Matt Corral (29368898),Matt Corral,29368898,CPT,9000,PHI@NE 09/10/2023 04:25PM ET,NE,0
RB,Rhamondre Stevenson (29368937),Rhamondre Stevenson,29368937,FLEX,8400,PHI@NE 09/10/2023 04:25PM ET,NE,15.06
WR,DeVante Parker (29368899),DeVante Parker,29368899,CPT,8400,PHI@NE 09/10/2023 04:25PM ET,NE,8.15
TE,Dallas Goedert (29368938),Dallas Goedert,29368938,FLEX,8000,PHI@NE 09/10/2023 04:25PM ET,PHI,12.09
TE,Hunter Henry (29368900),Hunter Henry,29368900,CPT,7800,PHI@NE 09/10/2023 04:25PM ET,NE,6.11
RB,D'Andre Swift (29368939),D'Andre Swift,29368939,FLEX,7600,PHI@NE 09/10/2023 04:25PM ET,PHI,13.86
DST,Eagles  (29368901),Eagles ,29368901,CPT,7500,PHI@NE 09/10/2023 04:25PM ET,PHI,8.85
RB,Kenneth Gainwell (29368902),Kenneth Gainwell,29368902,CPT,7200,PHI@NE 09/10/2023 04:25PM ET,PHI,6.38
