Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (30073773),Derrick Henry,30073773,CPT,17400,TEN@IND 10/08/2023 01:00PM ET,TEN,15.44
QB,Anthony Richardson (30073774),Anthony Richardson,30073774,CPT,16800,TEN@IND 10/08/2023 01:00PM ET,IND,23.42
WR,Michael Pittman Jr. (30073775),Michael Pittman Jr.,30073775,CPT,16200,TEN@IND 10/08/2023 01:00PM ET,IND,14.62
QB,Ryan Tannehill (30073776),Ryan Tannehill,30073776,CPT,14700,TEN@IND 10/08/2023 01:00PM ET,TEN,11.08
RB,Zack Moss (30073777),Zack Moss,30073777,CPT,14400,TEN@IND 10/08/2023 01:00PM ET,IND,18.4
WR,DeAndre Hopkins (30073778),DeAndre Hopkins,30073778,CPT,13200,TEN@IND 10/08/2023 01:00PM ET,TEN,9.9
RB,Jonathan Taylor (30073779),Jonathan Taylor,30073779,CPT,12300,TEN@IND 10/08/2023 01:00PM ET,IND,0
RB,Derrick Henry (30073824),Derrick Henry,30073824,FLEX,11600,TEN@IND 10/08/2023 01:00PM ET,TEN,15.44
QB,Anthony Richardson (30073825),Anthony Richardson,30073825,FLEX,11200,TEN@IND 10/08/2023 01:00PM ET,IND,23.42
WR,Michael Pittman Jr. (30073826),Michael Pittman Jr.,30073826,FLEX,10800,TEN@IND 10/08/2023 01:00PM ET,IND,14.62
QB,Ryan Tannehill (30073827),Ryan Tannehill,30073827,FLEX,9800,TEN@IND 10/08/2023 01:00PM ET,TEN,11.08
RB,Zack Moss (30073828),Zack Moss,30073828,FLEX,9600,TEN@IND 10/08/2023 01:00PM ET,IND,18.4
WR,Treylon Burks (30073780),Treylon Burks,30073780,CPT,9600,TEN@IND 10/08/2023 01:00PM ET,TEN,5.6
WR,Nick Westbrook-Ikhine (30073781),Nick Westbrook-Ikhine,30073781,CPT,9300,TEN@IND 10/08/2023 01:00PM ET,TEN,9.35
QB,Gardner Minshew II (30073782),Gardner Minshew II,30073782,CPT,9000,TEN@IND 10/08/2023 01:00PM ET,IND,6.06
QB,Will Levis (30073783),Will Levis,30073783,CPT,9000,TEN@IND 10/08/2023 01:00PM ET,TEN,0
QB,Sam Ehlinger (30073784),Sam Ehlinger,30073784,CPT,9000,TEN@IND 10/08/2023 01:00PM ET,IND,0
QB,Malik Willis (30073785),Malik Willis,30073785,CPT,9000,TEN@IND 10/08/2023 01:00PM ET,TEN,0
WR,DeAndre Hopkins (30073829),DeAndre Hopkins,30073829,FLEX,8800,TEN@IND 10/08/2023 01:00PM ET,TEN,9.9
RB,Jonathan Taylor (30073830),Jonathan Taylor,30073830,FLEX,8200,TEN@IND 10/08/2023 01:00PM ET,IND,0
RB,Tyjae Spears (30073786),Tyjae Spears,30073786,CPT,8100,TEN@IND 10/08/2023 01:00PM ET,TEN,6.25
WR,Josh Downs (30073787),Josh Downs,30073787,CPT,7500,TEN@IND 10/08/2023 01:00PM ET,IND,8.2
DST,Colts  (30073788),Colts ,30073788,CPT,7200,TEN@IND 10/08/2023 01:00PM ET,IND,8
K,Cade York (30073789),Cade York,30073789,CPT,6900,TEN@IND 10/08/2023 01:00PM ET,TEN,0
K,Nick Folk (30073790),Nick Folk,30073790,CPT,6900,TEN@IND 10/08/2023 01:00PM ET,TEN,10.75
K,Matt Gay (30073791),Matt Gay,30073791,CPT,6600,TEN@IND 10/08/2023 01:00PM ET,IND,9
WR,Treylon Burks (30073831),Treylon Burks,30073831,FLEX,6400,TEN@IND 10/08/2023 01:00PM ET,TEN,5.6
WR,Nick Westbrook-Ikhine (30073832),Nick Westbrook-Ikhine,30073832,FLEX,6200,TEN@IND 10/08/2023 01:00PM ET,TEN,9.35
QB,Gardner Minshew II (30073833),Gardner Minshew II,30073833,FLEX,6000,TEN@IND 10/08/2023 01:00PM ET,IND,6.06
QB,Will Levis (30073834),Will Levis,30073834,FLEX,6000,TEN@IND 10/08/2023 01:00PM ET,TEN,0
QB,Sam Ehlinger (30073835),Sam Ehlinger,30073835,FLEX,6000,TEN@IND 10/08/2023 01:00PM ET,IND,0
QB,Malik Willis (30073836),Malik Willis,30073836,FLEX,6000,TEN@IND 10/08/2023 01:00PM ET,TEN,0
TE,Drew Ogletree (30073792),Drew Ogletree,30073792,CPT,6000,TEN@IND 10/08/2023 01:00PM ET,IND,6.3
RB,Tyjae Spears (30073837),Tyjae Spears,30073837,FLEX,5400,TEN@IND 10/08/2023 01:00PM ET,TEN,6.25
DST,Titans  (30073793),Titans ,30073793,CPT,5400,TEN@IND 10/08/2023 01:00PM ET,TEN,7.25
WR,Josh Downs (30073838),Josh Downs,30073838,FLEX,5000,TEN@IND 10/08/2023 01:00PM ET,IND,8.2
DST,Colts  (30073839),Colts ,30073839,FLEX,4800,TEN@IND 10/08/2023 01:00PM ET,IND,8
WR,Alec Pierce (30073794),Alec Pierce,30073794,CPT,4800,TEN@IND 10/08/2023 01:00PM ET,IND,4.6
K,Cade York (30073840),Cade York,30073840,FLEX,4600,TEN@IND 10/08/2023 01:00PM ET,TEN,0
K,Nick Folk (30073841),Nick Folk,30073841,FLEX,4600,TEN@IND 10/08/2023 01:00PM ET,TEN,10.75
K,Matt Gay (30073842),Matt Gay,30073842,FLEX,4400,TEN@IND 10/08/2023 01:00PM ET,IND,9
TE,Drew Ogletree (30073843),Drew Ogletree,30073843,FLEX,4000,TEN@IND 10/08/2023 01:00PM ET,IND,6.3
DST,Titans  (30073844),Titans ,30073844,FLEX,3600,TEN@IND 10/08/2023 01:00PM ET,TEN,7.25
TE,Kylen Granson (30073795),Kylen Granson,30073795,CPT,3600,TEN@IND 10/08/2023 01:00PM ET,IND,6.45
WR,Alec Pierce (30073845),Alec Pierce,30073845,FLEX,3200,TEN@IND 10/08/2023 01:00PM ET,IND,4.6
TE,Chig Okonkwo (30073796),Chig Okonkwo,30073796,CPT,3000,TEN@IND 10/08/2023 01:00PM ET,TEN,4.28
TE,Kylen Granson (30073846),Kylen Granson,30073846,FLEX,2400,TEN@IND 10/08/2023 01:00PM ET,IND,6.45
TE,Mo Alie-Cox (30073797),Mo Alie-Cox,30073797,CPT,2100,TEN@IND 10/08/2023 01:00PM ET,IND,3.25
TE,Chig Okonkwo (30073847),Chig Okonkwo,30073847,FLEX,2000,TEN@IND 10/08/2023 01:00PM ET,TEN,4.28
WR,Chris Moore (30073798),Chris Moore,30073798,CPT,1800,TEN@IND 10/08/2023 01:00PM ET,TEN,4.35
TE,Mo Alie-Cox (30073848),Mo Alie-Cox,30073848,FLEX,1400,TEN@IND 10/08/2023 01:00PM ET,IND,3.25
WR,Chris Moore (30073849),Chris Moore,30073849,FLEX,1200,TEN@IND 10/08/2023 01:00PM ET,TEN,4.35
WR,Isaiah McKenzie (30073799),Isaiah McKenzie,30073799,CPT,900,TEN@IND 10/08/2023 01:00PM ET,IND,1.15
