Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Jalen Hurts (29889841),Jalen Hurts,29889841,CPT,18000,WAS@PHI 10/01/2023 01:00PM ET,PHI,20.53
WR,A.J. Brown (29889842),A.J. Brown,29889842,CPT,15300,WAS@PHI 10/01/2023 01:00PM ET,PHI,15.63
WR,DeVonta Smith (29889843),DeVonta Smith,29889843,CPT,15000,WAS@PHI 10/01/2023 01:00PM ET,PHI,16.87
RB,D'Andre Swift (29889844),D'Andre Swift,29889844,CPT,13800,WAS@PHI 10/01/2023 01:00PM ET,PHI,16.4
QB,Sam Howell (29889845),Sam Howell,29889845,CPT,13500,WAS@PHI 10/01/2023 01:00PM ET,WAS,14.35
WR,Terry McLaurin (29889846),Terry McLaurin,29889846,CPT,12300,WAS@PHI 10/01/2023 01:00PM ET,WAS,10.53
QB,Jalen Hurts (29889890),Jalen Hurts,29889890,FLEX,12000,WAS@PHI 10/01/2023 01:00PM ET,PHI,20.53
RB,Brian Robinson Jr. (29889847),Brian Robinson Jr.,29889847,CPT,11700,WAS@PHI 10/01/2023 01:00PM ET,WAS,16.5
TE,Dallas Goedert (29889848),Dallas Goedert,29889848,CPT,10500,WAS@PHI 10/01/2023 01:00PM ET,PHI,5.77
WR,A.J. Brown (29889891),A.J. Brown,29889891,FLEX,10200,WAS@PHI 10/01/2023 01:00PM ET,PHI,15.63
WR,DeVonta Smith (29889892),DeVonta Smith,29889892,FLEX,10000,WAS@PHI 10/01/2023 01:00PM ET,PHI,16.87
DST,Eagles  (29889849),Eagles ,29889849,CPT,9300,WAS@PHI 10/01/2023 01:00PM ET,PHI,11.33
RB,D'Andre Swift (29889893),D'Andre Swift,29889893,FLEX,9200,WAS@PHI 10/01/2023 01:00PM ET,PHI,16.4
QB,Sam Howell (29889894),Sam Howell,29889894,FLEX,9000,WAS@PHI 10/01/2023 01:00PM ET,WAS,14.35
