Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94409-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,13.300000508626303,3,16000,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-136855,RB,Bijan,Bijan Robinson,Robinson,14.833333333333334,3,15500,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-89951,QB,Trevor,Trevor Lawrence,Lawrence,14.446666717529297,3,15000,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-64555,WR,Calvin,Calvin Ridley,Ridley,9.933333079020182,3,14000,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-86278,QB,Desmond,Desmond Ridder,Ridder,12.373332977294922,3,13500,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-60858,WR,Christian,Christian Kirk,Kirk,10.420000076293945,3,12500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-112745,WR,Drake,Drake London,London,6.599999745686849,3,12000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-90428,RB,Tyler,Tyler Allgeier,Allgeier,10.533333460489908,3,11000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-41305,WR,Zay,Zay Jones,Jones,7,2,10000,ATL@JAC,JAC,ATL,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
94409-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,6,3,9500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-41872,TE,Evan,Evan Engram,Engram,8.766666412353516,3,9500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-26247,K,Brandon,Brandon McManus,McManus,7.666666666666667,3,9000,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-53212,K,Younghoe,Younghoe Koo,Koo,9,3,9000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-128693,RB,Tank,Tank Bigsby,Bigsby,6.150000095367432,2,8500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-12525,D,Atlanta,Atlanta Falcons,Falcons,5.333333333333333,3,8500,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-25267,WR,Mack,Mack Hollins,Hollins,4.966666539510091,3,8000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-86080,TE,Kyle,Kyle Pitts,Pitts,4.700000127156575,3,8000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,11.09230745755709,13,7500,ATL@JAC,ATL,JAC,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
94409-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,1.3333333333333333,3,7500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-79979,WR,Jamal,Jamal Agnew,Agnew,1.8999999364217122,3,7000,ATL@JAC,JAC,ATL,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
94409-48116,TE,Jonnu,Jonnu Smith,Smith,6.449999809265137,2,7000,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2,1,6500,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-61273,WR,Scotty,Scotty Miller,Miller,0,1,6500,ATL@JAC,ATL,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
94409-70663,WR,Frank,Frank Darby,Darby,2,1,6000,ATL@JAC,ATL,JAC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94409-137516,WR,Parker,Parker Washington,Washington,,,6000,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
94409-102729,RB,Snoop,Snoop Conner,Conner,2.0399999618530273,5,5500,ATL@JAC,JAC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
