Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93963-63115,QB,Lamar,Lamar Jackson,Jackson,7.559999942779541,1,16500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,6.599999904632568,1,15500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-63336,QB,Joe,Joe Burrow,Burrow,3.180000066757202,1,15000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-52436,TE,Mark,Mark Andrews,Andrews,10.237500190734863,16,14500,BAL@CIN,BAL,CIN,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
93963-52442,RB,Joe,Joe Mixon,Mixon,8.800000190734863,1,13000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-112295,WR,Zay,Zay Flowers,Flowers,13.199999809265137,1,12000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-89981,WR,Tee,Tee Higgins,Higgins,0,1,11500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-85845,WR,Rashod,Rashod Bateman,Bateman,5,1,11000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-40167,RB,Gus,Gus Edwards,Edwards,5.199999809265137,1,10500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-71521,RB,Justice,Justice Hill,Hill,12.899999618530273,1,10000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-23045,K,Justin,Justin Tucker,Tucker,5,1,9500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-12555,D,Baltimore,Baltimore Ravens,Ravens,11,1,9000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-12528,D,Cincinnati,Cincinnati Bengals,Bengals,7,1,9000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,4.699999809265137,1,8500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-86092,K,Evan,Evan McPherson,McPherson,4,1,8500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-40669,WR,Tyler,Tyler Boyd,Boyd,2,1,8000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-28900,RB,Melvin,Melvin Gordon III,Gordon III,7.459999847412109,10,8000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,3.200000047683716,1,7500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-87260,TE,Isaiah,Isaiah Likely,Likely,0.8999999761581421,1,7500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-69860,RB,Trayveon,Trayveon Williams,Williams,0.699999988079071,1,7000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-71032,WR,Devin,Devin Duvernay,Duvernay,0,1,7000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-64905,WR,Trenton,Trenton Irwin,Irwin,5.327272588556463,11,6500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-29683,WR,Nelson,Nelson Agholor,Agholor,4.26428576878139,14,6500,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-89493,RB,Chase,Chase Brown,Brown,,,6000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-41806,WR,Laquon,Laquon Treadwell,Treadwell,2.3999999364217124,3,6000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-56711,TE,Drew,Drew Sample,Sample,0.4000000059604645,2,5500,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-73130,RB,Chris,Chris Evans,Evans,1.600000023841858,1,5500,BAL@CIN,CIN,BAL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
93963-73089,TE,Devin,Devin Asiasi,Asiasi,0.375,4,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-85635,TE,Charlie,Charlie Kolar,Kolar,0,1,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-134023,RB,Keaton,Keaton Mitchell,Mitchell,,,5000,BAL@CIN,BAL,CIN,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
93963-70282,WR,Demetric,Demetric Felton,Felton,0.27999999523162844,5,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-96269,RB,Owen,Owen Wright,Wright,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-55694,WR,Mike,Mike Thomas,Thomas,1.7000000476837158,4,5000,BAL@CIN,BAL,CIN,Q,Shoulder - labrum,,,,MVP - 1.5X Points/AnyFLEX
93963-61072,WR,Stanley,Stanley Morgan,Morgan,0,1,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-170000,WR,Shemar,Shemar Bridges,Bridges,,,5000,BAL@CIN,BAL,CIN,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
93963-28434,QB,Trevor,Trevor Siemian,Siemian,5.579999923706055,2,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-102802,WR,Makai,Makai Polk,Polk,,,5000,BAL@CIN,BAL,CIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
93963-92056,TE,Cal,Cal Adomitis,Adomitis,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-92573,TE,Travis,Travis Vokolek,Vokolek,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-65182,TE,Mitchell,Mitchell Wilcox,Wilcox,2.8454544760964136,11,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-70051,QB,Tyler,Tyler Huntley,Huntley,12.076666514078775,6,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-91428,WR,Tarik,Tarik Black,Black,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-91431,RB,Ben,Ben Mason,Mason,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-60840,QB,Jake,Jake Browning,Browning,-0.10000000149011612,1,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-80299,RB,Patrick,Patrick Ricard,Ricard,1.1153846153846154,13,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-86826,WR,Malachi,Malachi Carter,Carter,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-83117,TE,Tanner,Tanner Hudson,Hudson,3.0333334604899087,6,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-185775,TE,Brian,Brian Walker,Walker,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-185773,QB,Nolan,Nolan Henderson,Henderson,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-92465,WR,Sean,Sean Ryan,Ryan,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-88752,WR,Charlie,Charlie Jones,Jones,0,1,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-86205,WR,Mac,Mac Hippenhammer,Hippenhammer,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-93002,RB,Calvin,Calvin Tyler Jr.,Tyler Jr.,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-63186,WR,James,James Proche II,Proche II,0.9199999809265137,10,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-8023,QB,Josh,Josh Johnson,Johnson,0.9300000071525574,2,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-87515,WR,Tylan,Tylan Wallace,Wallace,1.0600000381469727,5,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-54746,TE,Tyler,Tyler Ott,Ott,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-130269,QB,Reid,Reid Sinnett,Sinnett,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-69597,QB,Anthony,Anthony Brown,Brown,3.7899999618530273,2,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-90844,TE,Christian,Christian Trahan,Trahan,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-64221,TE,Zach,Zach Gentry,Gentry,1.6214286259242467,14,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-185827,RB,Jacob,Jacob Saylors,Saylors,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-88294,WR,Dontay,Dontay Demus Jr.,Demus Jr.,,,5000,BAL@CIN,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
93963-87787,RB,J.K.,J.K. Dobbins,Dobbins,10.699999809265137,1,5000,BAL@CIN,BAL,CIN,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
93963-72427,WR,Kwamie,Kwamie Lassiter II,Lassiter II,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-87668,WR,Shedrick,Shedrick Jackson,Jackson,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-52342,QB,Will,Will Grier,Grier,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
93963-185593,WR,Andrei,Andrei Iosivas,Iosivas,,,5000,BAL@CIN,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
