Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94630-63115,QB,Lamar,Lamar Jackson,Jackson,21.690000534057617,4,16500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-52436,TE,Mark,Mark Andrews,Andrews,13.666666666666666,3,14500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-110246,WR,George,George Pickens,Pickens,10.074999809265137,4,13500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-38628,QB,Mitch,Mitch Trubisky,Trubisky,0.7200000286102295,1,13000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-92020,QB,Kenny,Kenny Pickett,Pickett,11.479999542236328,4,13000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-90575,RB,Najee,Najee Harris,Harris,6.599999904632568,4,11500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-40167,RB,Gus,Gus Edwards,Edwards,7.099999904632568,4,11000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-112295,WR,Zay,Zay Flowers,Flowers,9.375,4,10500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-112057,RB,Jaylen,Jaylen Warren,Warren,7.525000095367432,4,10000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-23045,K,Justin,Justin Tucker,Tucker,6.75,4,9500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-12555,D,Baltimore,Baltimore Ravens,Ravens,9.75,4,9500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,10,4,9000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-32058,K,Chris,Chris Boswell,Boswell,8.5,4,9000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-28643,WR,Allen,Allen Robinson II,Robinson II,4.199999809265137,4,8500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-66008,WR,Diontae,Diontae Johnson,Johnson,6.300000190734863,1,8000,BAL@PIT,PIT,BAL,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94630-71521,RB,Justice,Justice Hill,Hill,7.666666666666667,3,8000,BAL@PIT,BAL,PIT,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
94630-28900,RB,Melvin,Melvin Gordon III,Gordon III,5.699999809265137,2,8000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,4.550000190734863,2,7500,BAL@PIT,BAL,PIT,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
94630-86244,TE,Pat,Pat Freiermuth,Freiermuth,5.324999809265137,4,7500,BAL@PIT,PIT,BAL,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94630-90870,WR,Calvin,Calvin Austin III,Austin III,6.650000095367432,4,7500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-92882,TE,Connor,Connor Heyward,Heyward,1.4500000476837158,2,7000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-85845,WR,Rashod,Rashod Bateman,Bateman,3.133333206176758,3,7000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-29683,WR,Nelson,Nelson Agholor,Agholor,7.200000127156575,3,7000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-30989,RB,Kenyan,Kenyan Drake,Drake,2.0999999046325684,1,6500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-71032,WR,Devin,Devin Duvernay,Duvernay,0.824999988079071,4,6500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-40726,RB,Godwin,Godwin Igwebuike,Igwebuike,0.20000000794728598,6,6000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-41806,WR,Laquon,Laquon Treadwell,Treadwell,2.3999999364217124,3,6000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-104577,WR,Gunner,Gunner Olszewski,Olszewski,-1.5,1,5500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-87260,TE,Isaiah,Isaiah Likely,Likely,1.566666603088379,3,5500,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-133477,TE,Darnell,Darnell Washington,Washington,1.5,1,5500,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-85635,TE,Charlie,Charlie Kolar,Kolar,0,1,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-72453,WR,Denzel,Denzel Mims,Mims,2.677777820163303,9,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-134023,RB,Keaton,Keaton Mitchell,Mitchell,,,5000,BAL@PIT,BAL,PIT,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
94630-91012,RB,Greg,Greg Bell,Bell,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-96269,RB,Owen,Owen Wright,Wright,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-185743,RB,Darius,Darius Hagans,Hagans,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-55694,WR,Mike,Mike Thomas,Thomas,1.7000000476837158,4,5000,BAL@PIT,BAL,PIT,Q,Shoulder - labrum,,,,MVP - 1.5X Points/AnyFLEX
94630-185875,TE,Noah,Noah Gindorff,Gindorff,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-170000,WR,Shemar,Shemar Bridges,Bridges,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-102802,WR,Makai,Makai Polk,Polk,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-64405,WR,Dan,Dan Chisena,Chisena,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-70680,WR,Jalen,Jalen Camp,Camp,1.2000000476837158,1,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-92573,TE,Travis,Travis Vokolek,Vokolek,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-70051,QB,Tyler,Tyler Huntley,Huntley,0.800000011920929,1,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-91428,WR,Tarik,Tarik Black,Black,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-91431,RB,Ben,Ben Mason,Mason,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-185893,RB,Alfonzo,Alfonzo Graham,Graham,,,5000,BAL@PIT,PIT,BAL,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94630-80299,RB,Patrick,Patrick Ricard,Ricard,1.899999976158142,1,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-185775,TE,Brian,Brian Walker,Walker,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-185773,QB,Nolan,Nolan Henderson,Henderson,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-64175,WR,Hakeem,Hakeem Butler,Butler,,,5000,BAL@PIT,PIT,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94630-92465,WR,Sean,Sean Ryan,Ryan,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-86068,WR,Jacob,Jacob Copeland,Copeland,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-64949,WR,Ja'Marcus,Ja'Marcus Bradley,Bradley,,,5000,BAL@PIT,PIT,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94630-89656,WR,Aron,Aron Cruickshank,Cruickshank,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-64827,WR,Miles,Miles Boykin,Boykin,1,1,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-32957,TE,Eric,Eric Tomlinson,Tomlinson,3.049999952316284,8,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-55366,RB,Qadree,Qadree Ollison,Ollison,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-63186,WR,James,James Proche II,Proche II,0.9199999809265137,10,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-88277,RB,Anthony,Anthony McFarland Jr.,McFarland Jr.,2.0999999046325684,1,5000,BAL@PIT,PIT,BAL,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
94630-89172,RB,John,John Lovett,Lovett,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-8023,QB,Josh,Josh Johnson,Johnson,0.9300000071525574,2,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-87515,WR,Tylan,Tylan Wallace,Wallace,1.0600000381469727,5,5000,BAL@PIT,BAL,PIT,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94630-54746,TE,Tyler,Tyler Ott,Ott,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-92890,WR,Cody,Cody White,White,0.699999988079071,1,5000,BAL@PIT,PIT,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94630-170206,TE,Rodney,Rodney Williams II,Williams II,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-69597,QB,Anthony,Anthony Brown,Brown,3.7899999618530273,2,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-93404,RB,Zander,Zander Horvath,Horvath,2.012500047683716,8,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-86108,RB,Monte,Monte Pottebaum,Pottebaum,,,5000,BAL@PIT,PIT,BAL,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94630-53729,QB,Mason,Mason Rudolph,Rudolph,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-129508,WR,Duece,Duece Watts,Watts,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-90343,WR,Jordan,Jordan Byrd,Byrd,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
94630-88294,WR,Dontay,Dontay Demus Jr.,Demus Jr.,,,5000,BAL@PIT,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
94630-87787,RB,J.K.,J.K. Dobbins,Dobbins,10.699999809265137,1,5000,BAL@PIT,BAL,PIT,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
94630-89980,K,B.T.,B.T. Potter,Potter,,,5000,BAL@PIT,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
