Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94181-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.3700008392334,2,17500,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-91591,QB,Justin,Justin Fields,Fields,16.139999389648438,2,15500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-33076,TE,Travis,Travis Kelce,Kelce,10.600000381469727,1,14000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-63043,WR,DJ,DJ Moore,Moore,8.449999809265137,2,12500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-92575,RB,Isiah,Isiah Pacheco,Pacheco,7.449999809265137,2,11500,CHI@KC,KC,CHI,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94181-69777,WR,Darnell,Darnell Mooney,Mooney,13.300000190734863,1,11000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-72412,RB,Khalil,Khalil Herbert,Herbert,8.100000381469727,2,10500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7,2,10000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-112062,WR,Skyy,Skyy Moore,Moore,7.449999809265137,2,9500,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-41642,K,Harrison,Harrison Butker,Butker,6.5,2,9000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-33714,K,Cairo,Cairo Santos,Santos,7,2,9000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-73111,WR,Chase,Chase Claypool,Claypool,5.550000190734863,2,8500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-86052,WR,Kadarius,Kadarius Toney,Toney,3.4000000953674316,2,8500,CHI@KC,KC,CHI,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
94181-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,4.050000190734863,2,8000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-12527,D,Chicago,Chicago Bears,Bears,1,2,8000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-55830,RB,D'Onta,D'Onta Foreman,Foreman,3.4000000953674316,1,7500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-54608,RB,Jerick,Jerick McKinnon,McKinnon,2.5999999046325684,2,7500,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-83083,WR,Justin,Justin Watson,Watson,5.599999904632568,2,7000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-91047,TE,Cole,Cole Kmet,Kmet,6.349999904632568,2,7000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-111311,WR,Rashee,Rashee Rice,Rice,6.550000190734863,2,7000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-103187,RB,Roschon,Roschon Johnson,Johnson,9.850000381469727,2,6500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,3.049999952316284,2,6500,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-93143,TE,Noah,Noah Gray,Gray,4.949999809265137,2,6000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-129240,WR,Tyler,Tyler Scott,Scott,2.4000000953674316,1,6000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-27403,TE,Blake,Blake Bell,Bell,8.199999809265137,1,5500,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
94181-80353,TE,Robert,Robert Tonyan,Tonyan,0,1,5500,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-53498,WR,Richie,Richie James Jr.,James Jr.,-0.44999998807907104,2,5500,CHI@KC,KC,CHI,IR,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
94181-73088,WR,Kekoa,Kekoa Crawford,Crawford,,,5000,CHI@KC,KC,CHI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94181-70661,WR,Velus,Velus Jones Jr.,Jones Jr.,-0.30000001192092896,1,5000,CHI@KC,CHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
94181-70023,WR,Cornell,Cornell Powell,Powell,,,5000,CHI@KC,KC,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
