Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94414-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,10.766666412353516,3,15500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-63336,QB,Joe,Joe Burrow,Burrow,9.573333104451498,3,15000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-39280,RB,Derrick,Derrick Henry,Henry,10.633333206176758,3,14000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-52442,RB,Joe,Joe Mixon,Mixon,11.266666412353516,3,13500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-89981,WR,Tee,Tee Higgins,Higgins,9.333333333333334,3,12500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-21948,QB,Ryan,Ryan Tannehill,Tannehill,10.206666946411133,3,12000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.433333079020183,3,10500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-40669,WR,Tyler,Tyler Boyd,Boyd,5.533333460489909,3,10000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-110259,WR,Treylon,Treylon Burks,Burks,4.600000063578288,3,9500,CIN@TEN,TEN,CIN,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
94414-86092,K,Evan,Evan McPherson,McPherson,9.666666666666666,3,9000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-6642,K,Nick,Nick Folk,Folk,10.666666666666666,3,9000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-12528,D,Cincinnati,Cincinnati Bengals,Bengals,8,3,8500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-12534,D,Tennessee,Tennessee Titans,Titans,5.666666666666667,3,8500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,8.899999618530273,2,8000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-73130,RB,Chris,Chris Evans,Evans,1.600000023841858,1,8000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.5999999046325684,2,7500,CIN@TEN,CIN,TEN,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94414-107293,RB,Tyjae,Tyjae Spears,Spears,4.233333269755046,3,7500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-69860,RB,Trayveon,Trayveon Williams,Williams,0.8333333333333334,3,7000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-88297,TE,Chig,Chig Okonkwo,Okonkwo,2.566666603088379,3,7000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-56711,TE,Drew,Drew Sample,Sample,1.2000000476837158,1,6500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-33047,WR,Chris,Chris Moore,Moore,3.5,3,6500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-64905,WR,Trenton,Trenton Irwin,Irwin,5.327272588556463,11,6000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-89493,RB,Chase,Chase Brown,Brown,0.20000000298023224,1,6000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-91677,WR,Shi,Shi Smith,Smith,3.1624999046325684,16,5500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-83117,TE,Tanner,Tanner Hudson,Hudson,4,1,5500,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-70705,TE,Trevon,Trevon Wesco,Wesco,0,1,5500,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-170184,RB,Julius,Julius Chestnut,Chestnut,1.1333333651224773,6,5500,CIN@TEN,TEN,CIN,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94414-87691,QB,Malik,Malik Willis,Willis,3.1914285932268416,7,5000,CIN@TEN,TEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-70282,WR,Demetric,Demetric Felton,Felton,0.27999999523162844,5,5000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
94414-61072,WR,Stanley,Stanley Morgan,Morgan,0,1,5000,CIN@TEN,CIN,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
