Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93677-63519,QB,Daniel,Daniel Jones,Jones,18.25777859157986,18,16500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-31716,QB,Dak,Dak Prescott,Prescott,18.760001046316965,14,16000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-64401,RB,Saquon,Saquon Barkley,Barkley,16.11666700575087,18,14500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.74736906352796,19,14000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-63759,RB,Tony,Tony Pollard,Pollard,13.555555555555555,18,13500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-25011,TE,Darren,Darren Waller,Waller,8.850000381469727,8,12000,DAL@NYG,NYG,DAL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
93677-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,9.363636363636363,11,11000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-29501,WR,Brandin,Brandin Cooks,Cooks,9.007692190317007,13,10500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-56262,WR,Parris,Parris Campbell,Campbell,6.917646969065947,17,10000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-12530,D,Dallas,Dallas Cowboys,Cowboys,9.473684210526315,19,9500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-189471,K,Brandon,Brandon Aubrey,Aubrey,,,9000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-63819,WR,Darius,Darius Slayton,Slayton,7.826666768391927,15,9000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-10744,K,Graham,Graham Gano,Gano,8.052631578947368,19,8500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-12543,D,New York,New York Giants,Giants,5.526315789473684,19,8500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-69956,WR,Michael,Michael Gallup,Gallup,6.1875,16,8000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-89680,TE,Jake,Jake Ferguson,Ferguson,3.566666603088379,12,8000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-90307,TE,Daniel,Daniel Bellinger,Bellinger,5.353846036470854,13,7500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-27477,WR,Sterling,Sterling Shepard,Shepard,9.299999872843424,3,7500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-22288,WR,Cole,Cole Beasley,Beasley,3.1142856052943637,7,7000,DAL@NYG,NYG,DAL,O,Leg,,,,MVP - 1.5X Points/AnyFLEX
93677-139094,WR,Jalin,Jalin Hyatt,Hyatt,,,7000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-53303,RB,Matt,Matt Breida,Breida,3.2263157493189762,19,6500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93677-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,6.683333079020183,6,6500,DAL@NYG,NYG,DAL,D,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
93677-60957,WR,KaVontae,KaVontae Turpin,Turpin,0.022222222553359136,18,6000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
93677-137254,RB,Deuce,Deuce Vaughn,Vaughn,,,6000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
