Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93965-136855,RB,Bijan,Bijan Robinson,Robinson,17.299999237060547,1,16000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-69017,QB,Jordan,Jordan Love,Love,23,1,15500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-40442,RB,Aaron,Aaron Jones,Jones,25.700000762939453,1,15000,GB@ATL,GB,ATL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
93965-86278,QB,Desmond,Desmond Ridder,Ridder,8.399999618530273,1,14000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-90428,RB,Tyler,Tyler Allgeier,Allgeier,22.899999618530273,1,13000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-169776,WR,Christian,Christian Watson,Watson,10.257143293108259,14,12500,GB@ATL,GB,ATL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
93965-112745,WR,Drake,Drake London,London,0,1,12000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-93107,RB,AJ,AJ Dillon,Dillon,4.599999904632568,1,11500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-86080,TE,Kyle,Kyle Pitts,Pitts,5.400000095367432,1,11000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-94370,WR,Romeo,Romeo Doubs,Doubs,16.600000381469727,1,10500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-25267,WR,Mack,Mack Hollins,Hollins,4.599999904632568,1,9500,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-12533,D,Green Bay,Green Bay Packers,Packers,15,1,9500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-53212,K,Younghoe,Younghoe Koo,Koo,7,1,9000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-12525,D,Atlanta,Atlanta Falcons,Falcons,12,1,9000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-87705,K,Anders,Anders Carlson,Carlson,10,1,8500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-72627,RB,Patrick,Patrick Taylor,Taylor,2.200000047683716,1,8500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,11.09230745755709,13,8000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-89455,WR,Jayden,Jayden Reed,Reed,5.599999904632568,1,8000,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,3.855555640326606,9,7500,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-113228,TE,Luke,Luke Musgrave,Musgrave,6.5,1,7500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-152631,WR,Samori,Samori Toure,Toure,2.799999952316284,1,7000,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-53331,QB,Taylor,Taylor Heinicke,Heinicke,13.551111009385851,9,7000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-160303,TE,Tucker,Tucker Kraft,Kraft,,,6500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-61273,WR,Scotty,Scotty Miller,Miller,0,1,6500,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-70663,WR,Frank,Frank Darby,Darby,2,1,6000,GB@ATL,ATL,GB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
93965-48116,TE,Jonnu,Jonnu Smith,Smith,3.2083333333333335,12,6000,GB@ATL,ATL,GB,,,,,,MVP - 1.5X Points/AnyFLEX
93965-138786,WR,Malik,Malik Heath,Heath,0,1,5500,GB@ATL,GB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
93965-104165,RB,Lew,Lew Nichols III,Nichols III,,,5500,GB@ATL,GB,ATL,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
