Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93968-129315,QB,Anthony,Anthony Richardson,Richardson,21.920000076293945,1,17000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-129471,QB,C.J.,C.J. Stroud,Stroud,10.180000305175781,1,15000,IND@HOU,HOU,IND,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
93968-61798,QB,Gardner,Gardner Minshew II,Minshew II,0,1,14500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,19.700000762939453,1,14000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-86055,RB,Dameon,Dameon Pierce,Pierce,5.699999809265137,1,13000,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-91419,WR,Nico,Nico Collins,Collins,11,1,12500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-70027,RB,Zack,Zack Moss,Moss,4.538461538461538,13,12000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-29685,WR,Robert,Robert Woods,Woods,8.699999809265137,1,11500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-86312,WR,Alec,Alec Pierce,Pierce,1,1,10500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-12535,D,Indianapolis,Indianapolis Colts,Colts,11,1,10000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-110978,RB,Evan,Evan Hull,Hull,1.2000000476837158,1,9500,IND@HOU,IND,HOU,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
93968-93134,RB,Deon,Deon Jackson,Jackson,1.2999999523162842,1,9500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-12556,D,Houston,Houston Texans,Texans,8,1,9000,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,9,1,9000,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-55042,TE,Dalton,Dalton Schultz,Schultz,1.399999976158142,1,8500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-87180,K,Matt,Matt Gay,Gay,3,1,8500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0,1,8000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-129305,WR,Josh,Josh Downs,Downs,4.5,1,8000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-129291,WR,Tank,Tank Dell,Dell,4.900000095367432,1,7500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-70603,RB,Devin,Devin Singletary,Singletary,1.5,1,7500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-56248,WR,Noah,Noah Brown,Brown,3.4000000953674316,1,7000,IND@HOU,HOU,IND,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
93968-71143,TE,Kylen,Kylen Granson,Granson,5.900000095367432,1,7000,IND@HOU,IND,HOU,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
93968-102696,WR,John,John Metchie III,Metchie III,,,6500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,0,1,6500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-92560,QB,Sam,Sam Ehlinger,Ehlinger,9.654999732971191,4,6000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-55748,WR,James,James Washington,Washington,0,1,6000,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-30989,RB,Kenyan,Kenyan Drake,Drake,7.966666539510091,12,5500,IND@HOU,IND,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
93968-62994,WR,Steven,Steven Sims Jr.,Sims Jr.,2.0333333015441895,12,5500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,3.51818188753995,11,5500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-94936,RB,Larry,Larry Rountree III,Rountree III,2.1500000953674316,2,5500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
93968-24671,WR,Adam,Adam Humphries,Humphries,,,5500,IND@HOU,HOU,IND,,,,,,MVP - 1.5X Points/AnyFLEX
