Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93961-57439,QB,Patrick,Patrick Mahomes,Mahomes,20.540000915527344,1,17500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-89951,QB,Trevor,Trevor Lawrence,Lawrence,18.739999771118164,1,16000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-33076,TE,Travis,Travis Kelce,Kelce,16.225,20,14500,KC@JAC,KC,JAC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
93961-64555,WR,Calvin,Calvin Ridley,Ridley,20.100000381469727,1,14000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,18.899999618530273,1,13500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-41305,WR,Zay,Zay Jones,Jones,14,1,12500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-60858,WR,Christian,Christian Kirk,Kirk,1.399999976158142,1,12000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-92575,RB,Isiah,Isiah Pacheco,Pacheco,7.400000095367432,1,11500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-41872,TE,Evan,Evan Engram,Engram,7.400000095367432,1,10500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,5.800000190734863,1,10000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-41642,K,Harrison,Harrison Butker,Butker,8,1,9500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-111311,WR,Rashee,Rashee Rice,Rice,10.100000381469727,1,9500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,11,1,9000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-12536,D,Kansas City,Kansas City Chiefs,Chiefs,4,1,9000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-26247,K,Brandon,Brandon McManus,McManus,8,1,8500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-86052,WR,Kadarius,Kadarius Toney,Toney,0.5,1,8500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-112062,WR,Skyy,Skyy Moore,Moore,0.4000000059604645,1,8000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-54608,RB,Jerick,Jerick McKinnon,McKinnon,1.5,1,8000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-128693,RB,Tank,Tank Bigsby,Bigsby,5.300000190734863,1,7500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,3.4000000953674316,1,7500,KC@JAC,KC,JAC,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
93961-83083,WR,Justin,Justin Watson,Watson,5.5,1,7000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-53498,WR,Richie,Richie James Jr.,James Jr.,1.100000023841858,1,7000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-27403,TE,Blake,Blake Bell,Bell,8.199999809265137,1,6500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-93143,TE,Noah,Noah Gray,Gray,4.599999904632568,1,6500,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-79979,WR,Jamal,Jamal Agnew,Agnew,-0.20000000298023224,1,6000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-89964,WR,Justyn,Justyn Ross,Ross,1.100000023841858,1,6000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-137516,WR,Parker,Parker Washington,Washington,,,5500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,-0.4000000059604645,1,5500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-102729,RB,Snoop,Snoop Conner,Conner,2.0399999618530273,5,5500,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-73088,WR,Kekoa,Kekoa Crawford,Crawford,,,5000,KC@JAC,KC,JAC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
93961-70023,WR,Cornell,Cornell Powell,Powell,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-155790,TE,Izaiah,Izaiah Gathings,Gathings,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-130317,WR,Juwan,Juwan Green,Green,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-94363,WR,Elijah,Elijah Cooks,Cooks,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-90398,TE,Matt,Matt Bushman,Bushman,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-103587,TE,Brenton,Brenton Strange,Strange,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-91055,WR,Kevin,Kevin Austin Jr.,Austin Jr.,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-130350,WR,Jaylon,Jaylon Moore,Moore,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-73398,QB,Chris,Chris Oladokun,Oladokun,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-71098,K,James,James McCourt,McCourt,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-65724,RB,JaMycal,JaMycal Hasty,Hasty,4.320000203450521,15,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-59455,TE,Sammis,Sammis Reyes,Reyes,,,5000,KC@JAC,JAC,KC,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
93961-71367,RB,La'Mical,La'Mical Perine,Perine,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-65607,WR,Jacob,Jacob Harris,Harris,1.100000023841858,1,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-88776,WR,Ty,Ty Fryfogle,Fryfogle,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-27986,QB,C.J.,C.J. Beathard,Beathard,0,4,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-89814,TE,Gerrit,Gerrit Prince,Prince,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-55895,TE,Kendall,Kendall Blanton,Blanton,2.25,2,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-91481,WR,Nikko,Nikko Remigio,Remigio,,,5000,KC@JAC,KC,JAC,IR,Wrist,,,,MVP - 1.5X Points/AnyFLEX
93961-112088,RB,Jerrion,Jerrion Ealy,Ealy,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-90456,WR,Ty,Ty Scott,Scott,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-85720,WR,Jaray,Jaray Jenkins,Jenkins,,,5000,KC@JAC,JAC,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
93961-73176,TE,Luke,Luke Farrell,Farrell,1.5,4,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-89437,WR,Tim,Tim Jones,Jones,1.125,4,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-42077,TE,James,James Winchester,Winchester,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-91358,WR,Oliver,Oliver Martin,Martin,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-87657,WR,Seth,Seth Williams,Williams,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-90861,RB,Derek,Derek Parish,Parish,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-94831,RB,Deneric,Deneric Prince,Prince,,,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-68975,TE,Josh,Josh Pederson,Pederson,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-95854,WR,Montrell,Montrell Washington,Washington,0.21333333651224773,15,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-86254,TE,Leonard,Leonard Taylor,Taylor,,,5000,KC@JAC,JAC,KC,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
93961-14194,QB,Blaine,Blaine Gabbert,Gabbert,5.159999847412109,1,5000,KC@JAC,KC,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-104447,TE,Jody,Jody Fortson,Fortson,2.529999923706055,10,5000,KC@JAC,KC,JAC,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
93961-71935,WR,Kendric,Kendric Pryor,Pryor,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
93961-94718,QB,Nathan,Nathan Rourke,Rourke,,,5000,KC@JAC,JAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
