Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94170-85671,WR,Justin,Justin Jefferson,Jefferson,19.450000762939453,2,16500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-80001,RB,Austin,Austin Ekeler,Ekeler,24.399999618530273,1,16000,LAC@MIN,LAC,MIN,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
94170-69189,QB,Justin,Justin Herbert,Herbert,21.530000686645508,2,15500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-22038,QB,Kirk,Kirk Cousins,Cousins,23.010000228881836,2,15000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-29253,WR,Keenan,Keenan Allen,Allen,19.149999618530273,2,13500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-71706,TE,T.J.,T.J. Hockenson,Hockenson,14.800000190734863,2,12000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-39829,WR,Mike,Mike Williams,Williams,9.550000190734863,2,11500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-129210,WR,Jordan,Jordan Addison,Addison,14.399999618530273,2,11000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-72776,RB,Alexander,Alexander Mattison,Mattison,7.650000095367432,2,10500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-91872,RB,Joshua,Joshua Kelley,Kelley,9.5,2,10000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-57299,TE,Gerald,Gerald Everett,Everett,4.75,2,9500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-92496,K,Cameron,Cameron Dicker,Dicker,11,2,9000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-55515,K,Greg,Greg Joseph,Joseph,4.5,2,9000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-12548,D,Los Angeles,Los Angeles Chargers,Chargers,2.5,2,8500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-63855,WR,K.J.,K.J. Osborn,Osborn,7.75,2,8500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-87418,WR,Joshua,Joshua Palmer,Palmer,1.850000023841858,2,8000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-12540,D,Minnesota,Minnesota Vikings,Vikings,3.5,2,8000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-89230,RB,Cam,Cam Akers,Akers,8.899999618530273,1,7500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-63907,TE,Josh,Josh Oliver,Oliver,3.5,2,7500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-120639,WR,Quentin,Quentin Johnston,Johnston,1.5499999523162842,2,7500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-87371,RB,Ty,Ty Chandler,Chandler,2.0999999046325684,2,7000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-104278,TE,Donald,Donald Parham Jr.,Parham Jr.,5.449999809265137,2,7000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-185878,RB,Elijah,Elijah Dotson,Dotson,2.9000000953674316,1,6500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-114100,RB,Isaiah,Isaiah Spiller,Spiller,0.30000001192092896,1,6500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-94621,WR,Derius,Derius Davis,Davis,1,2,6000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-89283,TE,Tre',Tre' McKitty,McKitty,1.4800000190734863,10,6000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-60930,RB,Myles,Myles Gaskin,Gaskin,3.700000047683716,2,5500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-92859,WR,Jalen,Jalen Nailor,Nailor,5.679999923706054,5,5500,LAC@MIN,MIN,LAC,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94170-70501,RB,C.J.,C.J. Ham,Ham,1.7000000476837158,1,5500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-28907,WR,Alex,Alex Erickson,Erickson,0,1,5500,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-52345,WR,Brandon,Brandon Powell,Powell,-1,2,5500,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-193538,RB,Aaron,Aaron Dykes,Dykes,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-114177,WR,Milton,Milton Wright,Wright,,,5000,LAC@MIN,LAC,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94170-23435,TE,Andrew,Andrew DePaola,DePaola,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-103824,QB,Easton,Easton Stick,Stick,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-28570,TE,Nick,Nick Vannett,Vannett,1.7,5,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-93853,WR,Thayer,Thayer Thomas,Thomas,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-73247,RB,Kene,Kene Nwangwu,Nwangwu,0.8076923076923077,13,5000,LAC@MIN,MIN,LAC,IR,Back,,,,MVP - 1.5X Points/AnyFLEX
94170-64926,WR,Michael,Michael Jacquet III,Jacquet III,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-103966,TE,Stone,Stone Smartt,Smartt,2.9000000953674316,1,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-96673,WR,Garett,Garett Maag,Maag,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-90400,QB,Jaren,Jaren Hall,Hall,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-178337,RB,Tyler,Tyler Hoosman,Hoosman,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-63403,RB,Tae,Tae Crowder,Crowder,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-72493,WR,Trishton,Trishton Jackson,Jackson,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-96942,WR,Keelan,Keelan Doss,Doss,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-185907,RB,Zach,Zach Ojile,Ojile,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-69168,WR,N'Keal,N'Keal Harry,Harry,3.5166667302449546,6,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-60849,WR,Blake,Blake Lynch,Lynch,,,5000,LAC@MIN,LAC,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94170-40371,TE,Johnny,Johnny Mundt,Mundt,2.2285714830671037,14,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-69173,TE,Hunter,Hunter Kampmoyer,Kampmoyer,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-89270,WR,Pokey,Pokey Wilson,Wilson,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-104124,WR,Darrius,Darrius Shepherd,Shepherd,,,5000,LAC@MIN,LAC,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94170-30272,TE,Colin,Colin Thompson,Thompson,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-91587,K,Jack,Jack Podlesny,Podlesny,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-103109,QB,Max,Max Duggan,Duggan,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-45637,WR,Michael,Michael Davis,Davis,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-86472,WR,John,John Hightower,Hightower,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-64843,WR,Jalen,Jalen Guyton,Guyton,3.700000047683716,2,5000,LAC@MIN,LAC,MIN,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
94170-136663,RB,DeWayne,DeWayne McBride,McBride,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-41562,QB,Nick,Nick Mullens,Mullens,3.190000057220459,4,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-63967,WR,Lucky,Lucky Jackson,Jackson,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-92256,WR,Malik,Malik Knowles,Knowles,,,5000,LAC@MIN,MIN,LAC,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94170-91875,TE,Michael,Michael Ezeike,Ezeike,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-170213,RB,Aaron,Aaron Shampklin,Shampklin,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-91504,WR,Blake,Blake Proehl,Proehl,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-88699,RB,Jaret,Jaret Patterson,Patterson,3.9000000953674316,2,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-86781,WR,Terrell,Terrell Bynum,Bynum,,,5000,LAC@MIN,LAC,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
94170-96254,TE,Nick,Nick Muse,Muse,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
94170-89214,RB,Abram,Abram Smith,Smith,,,5000,LAC@MIN,MIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
