Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94413-129315,QB,Anthony,Anthony Richardson,Richardson,19.829999923706055,2,15500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-104433,RB,Kyren,Kyren Williams,Williams,16.633333841959637,3,14500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-61798,QB,Gardner,Gardner Minshew II,Minshew II,8.073333104451498,3,14000,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-6654,QB,Matthew,Matthew Stafford,Stafford,14.633333841959635,3,13500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-103020,WR,Puka,Puka Nacua,Nacua,16.400000254313152,3,12500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-70027,RB,Zack,Zack Moss,Moss,20.100000381469727,2,12000,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,13.833333333333334,3,11000,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-92976,WR,Tutu,Tutu Atwell,Atwell,13.933333079020182,3,10000,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-64581,WR,Van,Van Jefferson,Jefferson,3.7666667302449546,3,9500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-87180,K,Matt,Matt Gay,Gay,11.666666666666666,3,9000,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-12538,D,Los Angeles,Los Angeles Rams,Rams,3.6666666666666665,3,9000,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-27292,K,Brett,Brett Maher,Maher,13,3,8500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-12535,D,Indianapolis,Indianapolis Colts,Colts,9.666666666666666,3,8500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-129305,WR,Josh,Josh Downs,Downs,6.633333206176758,3,8000,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-89675,RB,Jonathan,Jonathan Taylor,Taylor,12.03636308149858,11,8000,LAR@IND,IND,LAR,NA,Ankle,,,,MVP - 1.5X Points/AnyFLEX
94413-79970,WR,Cooper,Cooper Kupp,Kupp,18.211110432942707,9,8000,LAR@IND,LAR,IND,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94413-86312,WR,Alec,Alec Pierce,Pierce,3.5333334604899087,3,7500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-47870,TE,Tyler,Tyler Higbee,Higbee,6.233333587646484,3,7500,LAR@IND,LAR,IND,Q,Achilles,,,,MVP - 1.5X Points/AnyFLEX
94413-55970,RB,Royce,Royce Freeman,Freeman,4,4,7000,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-71105,WR,Ben,Ben Skowronek,Skowronek,1.1333333651224773,3,7000,LAR@IND,LAR,IND,Q,Achilles,,,,MVP - 1.5X Points/AnyFLEX
94413-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.6666666666666666,3,6500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-71143,TE,Kylen,Kylen Granson,Granson,5.633333206176758,3,6500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-70133,RB,Jake,Jake Funk,Funk,2.700000047683716,1,6500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-86646,RB,Trey,Trey Sermon,Sermon,2.5999999046325684,1,6500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-38264,WR,Demarcus,Demarcus Robinson,Robinson,5.3941174675436585,17,6000,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-55748,WR,James,James Washington,Washington,0,1,5500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-56142,WR,Juwann,Juwann Winfree,Winfree,0.7333333492279053,3,5500,LAR@IND,IND,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
94413-63697,TE,Brycen,Brycen Hopkins,Hopkins,2.5999999046325684,1,5500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-88685,WR,Austin,Austin Trammell,Trammell,0,1,5500,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
94413-131328,RB,Zach,Zach Evans,Evans,,,5000,LAR@IND,LAR,IND,,,,,,MVP - 1.5X Points/AnyFLEX
