Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94175-69017,QB,Jordan,Jordan Love,Love,21.670000076293945,2,16000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-87770,WR,Chris,Chris Olave,Olave,13.399999618530273,2,15500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-45859,QB,Derek,Derek Carr,Carr,11.65999984741211,2,15000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-40442,RB,Aaron,Aaron Jones,Jones,25.700000762939453,1,14500,NO@GB,GB,NO,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94175-169776,WR,Christian,Christian Watson,Watson,10.257143293108259,14,13500,NO@GB,GB,NO,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94175-93107,RB,AJ,AJ Dillon,Dillon,5.699999809265137,2,13000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-45631,RB,Jamaal,Jamaal Williams,Williams,4.550000190734863,2,12500,NO@GB,NO,GB,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
94175-73121,RB,Tony,Tony Jones Jr.,Jones Jr.,7.949999809265137,2,12000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-170287,WR,Rashid,Rashid Shaheed,Shaheed,12.399999618530273,2,11500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-94370,WR,Romeo,Romeo Doubs,Doubs,10.300000190734863,2,11000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-42104,RB,Alvin,Alvin Kamara,Kamara,12.213333129882812,15,11000,NO@GB,NO,GB,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
94175-120657,RB,Kendre,Kendre Miller,Miller,,,10500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-89455,WR,Jayden,Jayden Reed,Reed,11.649999618530273,2,10000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-12533,D,Green Bay,Green Bay Packers,Packers,9,2,9500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-28573,WR,Michael,Michael Thomas,Thomas,8.800000190734863,2,9000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-12542,D,New Orleans,New Orleans Saints,Saints,8.5,2,9000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-89348,K,Blake,Blake Grupe,Grupe,10,2,8500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-87705,K,Anders,Anders Carlson,Carlson,8,2,8500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-113228,TE,Luke,Luke Musgrave,Musgrave,5,2,8000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-45565,TE,Taysom,Taysom Hill,Hill,4.309999942779541,2,8000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-64808,TE,Juwan,Juwan Johnson,Johnson,3.700000047683716,2,7500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-72627,RB,Patrick,Patrick Taylor,Taylor,1.149999976158142,2,7500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-152631,WR,Samori,Samori Toure,Toure,1.9500000476837158,2,7000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,5.5,2,7000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-60712,TE,Foster,Foster Moreau,Moreau,3,1,6500,NO@GB,NO,GB,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
94175-45997,WR,Keith,Keith Kirkwood,Kirkwood,0,2,6500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-160303,TE,Tucker,Tucker Kraft,Kraft,,,6000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-11512,TE,Jimmy,Jimmy Graham,Graham,,,6000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-138786,WR,Malik,Malik Heath,Heath,0,2,5500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-104165,RB,Lew,Lew Nichols III,Nichols III,,,5500,NO@GB,GB,NO,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
94175-183040,K,Alex,Alex Quevedo,Quevedo,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-128515,RB,Ellis,Ellis Merriweather,Merriweather,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-115971,WR,Shaq,Shaq Davis,Davis,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-85762,RB,Eno,Eno Benjamin,Benjamin,5.93076911339393,13,5000,NO@GB,NO,GB,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
94175-185861,RB,Emanuel,Emanuel Wilson,Wilson,0.5,1,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-86793,QB,Jake,Jake Haener,Haener,,,5000,NO@GB,NO,GB,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
94175-185747,WR,Cody,Cody Chrest,Chrest,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-24849,QB,Jameis,Jameis Winston,Winston,16.306666056315105,3,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-28694,TE,Jesse,Jesse James,James,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-96922,K,Daniel,Daniel Whelan,Whelan,0,2,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-69276,WR,Bryan,Bryan Edwards,Edwards,0.75,4,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-52897,RB,Darrel,Darrel Williams,Williams,3.8200000762939452,5,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-71844,K,Blake,Blake Gillikin,Gillikin,0,17,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-130343,WR,Jeff,Jeff Cotton Jr.,Cotton Jr.,,,5000,NO@GB,GB,NO,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
94175-170290,WR,Dre,Dre Miller,Miller,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-157875,WR,Grant,Grant DuBose,DuBose,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-91699,K,Parker,Parker White,White,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-38837,QB,Danny,Danny Etling,Etling,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-85687,WR,Jontre,Jontre Kirklin,Kirklin,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-61112,TE,Josiah,Josiah Deguara,Deguara,1.5,1,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-60984,TE,Jake,Jake Bargas,Bargas,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-174907,WR,Sy,Sy Barnett,Barnett,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-86200,QB,Sean,Sean Clifford,Clifford,0,1,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-94269,RB,Henry,Henry Pearson,Pearson,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-92606,WR,Bo,Bo Melton,Melton,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-87621,WR,A.T.,A.T. Perry,Perry,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-88525,WR,Kawaan,Kawaan Baker,Baker,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-65231,RB,Adam,Adam Prentice,Prentice,0.6599999904632569,5,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-104019,TE,Matt,Matt Orzech,Orzech,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-87122,WR,Lynn,Lynn Bowden Jr.,Bowden Jr.,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-91989,RB,Jordan,Jordan Mims,Mims,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-63576,WR,Kirk,Kirk Merritt,Merritt,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-90971,TE,Austin,Austin Allen,Allen,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-89185,TE,Ben,Ben Sims,Sims,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-186983,WR,Jadakis,Jadakis Bonds,Bonds,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-25957,TE,J.P.,J.P. Holtz,Holtz,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-66155,TE,Michael,Michael Jacobson,Jacobson,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-54507,QB,Alex,Alex McGough,McGough,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-149742,RB,Nate,Nate McCrary,McCrary,,,5000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
94175-61172,TE,Tyler,Tyler Davis,Davis,0.9199999809265137,5,5000,NO@GB,GB,NO,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
94175-60791,TE,Tommy,Tommy Hudson,Hudson,,,5000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
94175-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,4.811111026340061,9,5000,NO@GB,NO,GB,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
