Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
93973-63759,RB,Tony,Tony Pollard,Pollard,21.200000762939453,1,16000,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-31716,QB,Dak,Dak Prescott,Prescott,6.320000171661377,1,15500,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-103564,WR,Garrett,Garrett Wilson,Wilson,11.899999618530273,1,14500,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-86631,WR,CeeDee,CeeDee Lamb,Lamb,9.699999809265137,1,14000,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-103064,RB,Breece,Breece Hall,Hall,15.199999809265137,1,13500,NYJ@DAL,NYJ,DAL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
93973-90406,QB,Zach,Zach Wilson,Wilson,9.199999809265137,1,13000,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-54140,RB,Dalvin,Dalvin Cook,Cook,7.400000095367432,1,11500,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-29501,WR,Brandin,Brandin Cooks,Cooks,3.200000047683716,1,11000,NYJ@DAL,DAL,NYJ,Q,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
93973-12530,D,Dallas,Dallas Cowboys,Cowboys,37,1,10000,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-12544,D,New York,New York Jets,Jets,20,1,9500,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-189471,K,Brandon,Brandon Aubrey,Aubrey,10,1,9000,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-22109,K,Greg,Greg Zuerlein,Zuerlein,11,1,9000,NYJ@DAL,NYJ,DAL,O,Groin,,,,MVP - 1.5X Points/AnyFLEX
93973-69956,WR,Michael,Michael Gallup,Gallup,1.5,1,8500,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
93973-56809,WR,Allen,Allen Lazard,Lazard,5.599999904632568,1,8500,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-71352,WR,Mecole,Mecole Hardman Jr.,Hardman Jr.,9.333333333333334,9,8000,NYJ@DAL,NYJ,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
93973-72297,RB,Rico,Rico Dowdle,Dowdle,2.4000000953674316,1,8000,NYJ@DAL,DAL,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
